tissue	celltype_major	celltype_sub	patient	expression_group	N
primary tumor	Macrophage	hC50_Mph-IL1B	patient13	PT	13
primary tumor	Macrophage	hC50_Mph-IL1B	patient14	PT	9
primary tumor	Macrophage	hC50_Mph-IL1B	patient15	PT	6
primary tumor	Macrophage	hC50_Mph-IL1B	patient16	PT	36
primary tumor	Macrophage	hC50_Mph-IL1B	patient17	PT	2
primary tumor	Macrophage	hC51_Mph-PLTP	patient08	PT	4
primary tumor	Macrophage	hC51_Mph-PLTP	patient10	PT	2
primary tumor	Macrophage	hC51_Mph-PLTP	patient11	PT	4
primary tumor	Macrophage	hC51_Mph-PLTP	patient12	PT	2
primary tumor	Macrophage	hC51_Mph-PLTP	patient13	PT	3
primary tumor	Macrophage	hC51_Mph-PLTP	patient15	PT	5
primary tumor	Macrophage	hC51_Mph-PLTP	patient16	PT	210
primary tumor	Macrophage	hC52_Mph-CXCL12	patient10	PT	1
primary tumor	Macrophage	hC52_Mph-CXCL12	patient16	PT	5
primary tumor	Macrophage	hC53_Mph-C1QC	patient08	PT	4
primary tumor	Macrophage	hC53_Mph-C1QC	patient09	PT	3
primary tumor	Macrophage	hC53_Mph-C1QC	patient10	PT	11
primary tumor	Macrophage	hC53_Mph-C1QC	patient11	PT	13
primary tumor	Macrophage	hC53_Mph-C1QC	patient12	PT	27
primary tumor	Macrophage	hC53_Mph-C1QC	patient13	PT	44
primary tumor	Macrophage	hC53_Mph-C1QC	patient14	PT	42
primary tumor	Macrophage	hC53_Mph-C1QC	patient15	PT	41
primary tumor	Macrophage	hC53_Mph-C1QC	patient16	PT	43
primary tumor	Macrophage	hC53_Mph-C1QC	patient17	PT	105
primary tumor	Macrophage	hC54_Mph-SPP1	patient08	PT	5
primary tumor	Macrophage	hC54_Mph-SPP1	patient10	PT	13
primary tumor	Macrophage	hC54_Mph-SPP1	patient11	PT	23
primary tumor	Macrophage	hC54_Mph-SPP1	patient12	PT	15
primary tumor	Macrophage	hC54_Mph-SPP1	patient13	PT	25
primary tumor	Macrophage	hC54_Mph-SPP1	patient14	PT	5
primary tumor	Macrophage	hC54_Mph-SPP1	patient15	PT	33
primary tumor	Macrophage	hC54_Mph-SPP1	patient16	PT	25
primary tumor	Macrophage	hC54_Mph-SPP1	patient17	PT	1
primary tumor	Macrophage	hC55_Mph-MKI67	patient08	PT	2
primary tumor	Macrophage	hC55_Mph-MKI67	patient09	PT	1
primary tumor	Macrophage	hC55_Mph-MKI67	patient10	PT	4
primary tumor	Macrophage	hC55_Mph-MKI67	patient11	PT	6
primary tumor	Macrophage	hC55_Mph-MKI67	patient12	PT	4
primary tumor	Macrophage	hC55_Mph-MKI67	patient13	PT	11
primary tumor	Macrophage	hC55_Mph-MKI67	patient14	PT	7
primary tumor	Macrophage	hC55_Mph-MKI67	patient15	PT	5
primary tumor	Macrophage	hC55_Mph-MKI67	patient16	PT	4
primary tumor	Macrophage	hC55_Mph-MKI67	patient17	PT	5
primary tumor	Macrophage	hC56_Mph-CD3E	patient08	PT	5
primary tumor	Macrophage	hC56_Mph-CD3E	patient09	PT	1
primary tumor	Macrophage	hC56_Mph-CD3E	patient10	PT	39
primary tumor	Macrophage	hC56_Mph-CD3E	patient11	PT	23
primary tumor	Macrophage	hC56_Mph-CD3E	patient12	PT	17
primary tumor	Macrophage	hC56_Mph-CD3E	patient13	PT	30
primary tumor	Macrophage	hC56_Mph-CD3E	patient14	PT	60
primary tumor	Macrophage	hC56_Mph-CD3E	patient15	PT	181
primary tumor	Macrophage	hC56_Mph-CD3E	patient16	PT	74
primary tumor	Macrophage	hC56_Mph-CD3E	patient17	PT	39
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient08	PT	1
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient10	PT	5
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient11	PT	7
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient12	PT	1
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient14	PT	3
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient15	PT	1
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient16	PT	2
primary tumor	Monocyte	hC43_MonoDC-CLEC10A	patient17	PT	2
primary tumor	Monocyte	hC44_Mono-CD14	patient08	PT	1
primary tumor	Monocyte	hC44_Mono-CD14	patient09	PT	5
primary tumor	Monocyte	hC44_Mono-CD14	patient10	PT	1
primary tumor	Monocyte	hC44_Mono-CD14	patient11	PT	9
primary tumor	Monocyte	hC44_Mono-CD14	patient12	PT	1
primary tumor	Monocyte	hC44_Mono-CD14	patient13	PT	34
primary tumor	Monocyte	hC44_Mono-CD14	patient14	PT	3
primary tumor	Monocyte	hC44_Mono-CD14	patient15	PT	4
primary tumor	Monocyte	hC44_Mono-CD14	patient16	PT	29
primary tumor	Monocyte	hC45_Mono-FCGR3A	patient08	PT	1
primary tumor	Monocyte	hC45_Mono-FCGR3A	patient10	PT	1
primary tumor	Monocyte	hC45_Mono-FCGR3A	patient14	PT	4
primary tumor	Monocyte	hC45_Mono-FCGR3A	patient15	PT	3
primary tumor	Monocyte	hC45_Mono-FCGR3A	patient16	PT	4
primary tumor	Monocyte	hC45_Mono-FCGR3A	patient17	PT	4
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient08	PT	1
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient09	PT	2
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient11	PT	9
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient12	PT	1
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient13	PT	17
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient14	PT	5
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient15	PT	3
primary tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient16	PT	6
primary tumor	Monocyte	hC47_Mono-CD3E	patient12	PT	1
primary tumor	Monocyte	hC47_Mono-CD3E	patient16	PT	9
