tissue	celltype_major	celltype_sub	patient	expression_group	N
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient08	MT	7
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient09	MT	1
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient10	MT	16
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient11	MT	94
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient12	MT	11
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient13	MT	78
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient14	MT	27
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient15	MT	53
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient16	MT	98
metastasis tumor	Macrophage	hC48_Mph-FCN1	patient17	MT	125
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient08	MT	3
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient09	MT	3
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient10	MT	6
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient11	MT	22
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient12	MT	133
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient13	MT	23
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient14	MT	6
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient15	MT	17
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient16	MT	45
metastasis tumor	Macrophage	hC49_Mph-NLRP3	patient17	MT	112
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient08	MT	2
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient09	MT	7
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient10	MT	10
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient11	MT	110
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient12	MT	21
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient13	MT	69
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient14	MT	61
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient15	MT	26
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient16	MT	41
metastasis tumor	Macrophage	hC50_Mph-IL1B	patient17	MT	85
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient08	MT	1
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient11	MT	1
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient12	MT	14
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient13	MT	7
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient14	MT	5
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient15	MT	2
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient16	MT	8
metastasis tumor	Macrophage	hC51_Mph-PLTP	patient17	MT	6
metastasis tumor	Macrophage	hC52_Mph-CXCL12	patient12	MT	4
metastasis tumor	Macrophage	hC52_Mph-CXCL12	patient13	MT	8
metastasis tumor	Macrophage	hC52_Mph-CXCL12	patient14	MT	4
metastasis tumor	Macrophage	hC52_Mph-CXCL12	patient15	MT	1
metastasis tumor	Macrophage	hC52_Mph-CXCL12	patient16	MT	1
metastasis tumor	Macrophage	hC52_Mph-CXCL12	patient17	MT	4
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient09	MT	9
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient10	MT	5
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient11	MT	38
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient12	MT	36
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient13	MT	82
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient14	MT	41
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient15	MT	53
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient16	MT	141
metastasis tumor	Macrophage	hC53_Mph-C1QC	patient17	MT	102
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient08	MT	5
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient09	MT	12
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient10	MT	18
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient11	MT	82
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient12	MT	39
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient13	MT	24
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient14	MT	17
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient15	MT	127
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient16	MT	652
metastasis tumor	Macrophage	hC54_Mph-SPP1	patient17	MT	169
metastasis tumor	Macrophage	hC55_Mph-MKI67	patient11	MT	5
metastasis tumor	Macrophage	hC55_Mph-MKI67	patient12	MT	1
metastasis tumor	Macrophage	hC55_Mph-MKI67	patient13	MT	3
metastasis tumor	Macrophage	hC55_Mph-MKI67	patient14	MT	3
metastasis tumor	Macrophage	hC55_Mph-MKI67	patient15	MT	4
metastasis tumor	Macrophage	hC55_Mph-MKI67	patient16	MT	4
metastasis tumor	Macrophage	hC55_Mph-MKI67	patient17	MT	3
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient08	MT	24
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient09	MT	15
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient10	MT	72
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient11	MT	69
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient12	MT	34
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient13	MT	93
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient14	MT	185
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient15	MT	93
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient16	MT	252
metastasis tumor	Macrophage	hC56_Mph-CD3E	patient17	MT	95
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient08	MT	2
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient10	MT	3
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient11	MT	21
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient12	MT	4
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient13	MT	7
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient14	MT	24
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient15	MT	3
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient16	MT	6
metastasis tumor	Monocyte	hC43_MonoDC-CLEC10A	patient17	MT	27
metastasis tumor	Monocyte	hC44_Mono-CD14	patient08	MT	1
metastasis tumor	Monocyte	hC44_Mono-CD14	patient09	MT	1
metastasis tumor	Monocyte	hC44_Mono-CD14	patient11	MT	5
metastasis tumor	Monocyte	hC44_Mono-CD14	patient12	MT	7
metastasis tumor	Monocyte	hC44_Mono-CD14	patient13	MT	8
metastasis tumor	Monocyte	hC44_Mono-CD14	patient14	MT	1
metastasis tumor	Monocyte	hC44_Mono-CD14	patient15	MT	3
metastasis tumor	Monocyte	hC44_Mono-CD14	patient16	MT	18
metastasis tumor	Monocyte	hC44_Mono-CD14	patient17	MT	4
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient08	MT	2
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient10	MT	7
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient11	MT	18
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient12	MT	4
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient13	MT	15
