p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.16533467228198e-277	2.20284227845984	0.335	0.094	7.58002693971365e-273	10	PRMT9
1.17893177771147e-276	1.66261448649096	0.317	0.083	2.82318792808566e-272	10	IVD
4.60714465275856e-276	0.832476091186263	0.895	0.57	1.10327292999609e-271	10	HLA-DPB1
1.21974636031194e-274	1.67721120270858	0.298	0.075	2.920926609039e-270	10	SCAMP4
5.3465348618474e-272	1.406801117065	0.415	0.128	1.2803347033666e-267	10	RAP1GDS1
3.16722817932028e-271	1.20258907575426	0.543	0.199	7.58456132101828e-267	10	EIF4A3
3.47131052782004e-270	1.61395006367574	0.339	0.094	8.31274732097065e-266	10	FGD2
1.06918788837705e-267	1.71573790332365	0.275	0.067	2.56038423629652e-263	10	QDPR
1.0749720155214e-267	0.93511094446683	0.897	0.756	2.57423548556909e-263	10	SRP14
3.92840629437329e-267	1.61808033734841	0.357	0.103	9.40735455313572e-263	10	ARHGAP27
8.92583219010044e-267	0.985784972613504	0.576	0.214	2.13746903456335e-262	10	BRI3
9.35503294760355e-267	1.32840188613181	0.471	0.162	2.24024973996262e-262	10	OAS1
1.35420854712691e-266	1.86681183836553	0.268	0.065	3.2429232078048e-262	10	CREB3L2
4.26666891510843e-265	1.32495867069636	0.529	0.194	1.02173920510102e-260	10	TIMM13
5.66353500685742e-264	1.59394875296146	0.319	0.086	1.35624672809215e-259	10	PI4KA
2.63856787523072e-263	1.75231749718581	0.27	0.066	6.318578490815e-259	10	RBM47
3.14538734645944e-263	1.67758634562859	0.309	0.082	7.53225907856643e-259	10	STT3A
1.16297361993165e-261	1.71103132394572	0.268	0.065	2.78497292765033e-257	10	SLC39A6
1.8600067879917e-260	1.48613345753873	0.615	0.255	4.45415825520372e-256	10	OGT
1.10646438989862e-259	1.29452460139299	0.763	0.436	2.64965027449024e-255	10	SEC61G
1.24986070857568e-258	1.23613321206012	0.346	0.097	2.99304143882618e-254	10	CD302
3.64590987016012e-257	1.80449257165705	0.321	0.09	8.73086036607244e-253	10	EDEM1
1.32666524321183e-256	1.29800834998512	0.481	0.168	3.17696525791938e-252	10	MDFIC
3.93671922915296e-256	1.58664011887171	0.328	0.091	9.42726153805259e-252	10	KIAA0100
8.42546278211272e-255	1.4199774880091	0.447	0.151	2.01764557243253e-250	10	MAP3K2
2.72592902893324e-253	1.50651645804355	0.382	0.118	6.52778224558644e-249	10	ITPR2
1.47124130078948e-250	1.46743846396453	0.368	0.112	3.52318154300057e-246	10	MIIP
2.32352947762635e-250	1.25177476790757	0.495	0.178	5.56415604007183e-246	10	NDUFC2
1.79870745637496e-247	1.65648554639571	0.267	0.067	4.30736474578113e-243	10	FES
5.53304669202444e-247	1.33568808552035	0.457	0.16	1.32499869133909e-242	10	RNF5
5.91426149116271e-247	1.16504396693052	0.718	0.364	1.41628819928873e-242	10	P4HB
1.4244897097873e-246	1.55408744458101	0.264	0.065	3.41122550802764e-242	10	GPATCH11
1.53304403877758e-245	1.18368192048957	0.778	0.44	3.67118055966067e-241	10	BST2
5.08973189491021e-245	1.37256145682253	0.523	0.203	1.21883809687415e-240	10	DNAJC7
1.00964063128069e-244	1.09355261954787	0.711	0.331	2.41778641972786e-240	10	PYCARD
5.33843795455072e-244	1.52589697655296	0.299	0.08	1.27839573697626e-239	10	ARMH1
1.80786628441967e-243	1.22330494579876	0.632	0.277	4.32929739129978e-239	10	DBNL
2.57010830128118e-243	1.20884235431176	0.579	0.238	6.15463834907803e-239	10	FAM96A
1.22515002657868e-242	1.3420716855188	0.444	0.152	2.93386676864795e-238	10	CCS
3.0753989449896e-242	1.25256148464749	0.601	0.255	7.3646578535666e-238	10	KIF5B
2.71061745766722e-240	1.22644454269451	0.696	0.351	6.4911156258757e-236	10	ZNF706
9.62950424440391e-239	1.28014453225116	0.48	0.172	2.30597738140741e-234	10	UVRAG
2.02200091880975e-238	1.3799889061956	0.349	0.105	4.84208560027371e-234	10	MARCH2
1.11129678312388e-237	1.44876137762646	0.293	0.079	2.66122240654675e-233	10	SEPT11
1.29232765423298e-237	1.52156040325487	0.327	0.095	3.09473703359171e-233	10	AGPAT2
1.44120941403653e-237	1.61850659770315	0.295	0.081	3.45126418379329e-233	10	GALNT2
8.62450590816249e-236	1.2414497397211	0.509	0.195	2.06531042982767e-231	10	SMARCB1
6.29841692897894e-234	1.27747694958376	0.468	0.167	1.50828190198259e-229	10	NAGK
8.38909430815005e-234	1.52713894978178	0.33	0.098	2.00893641397269e-229	10	OTULINL
1.23165073546969e-233	1.33496286080327	0.481	0.18	2.94943401622927e-229	10	AP3S1
1.31693753915415e-233	1.22950593223086	0.462	0.165	3.15367032501244e-229	10	MANF
6.80872572772903e-233	1.20204246518349	0.606	0.265	1.63048555001927e-228	10	FERMT3
8.96198055432262e-233	1.2618291748071	0.507	0.196	2.14612548334364e-228	10	BAG1
1.79174120323489e-232	1.31830610722167	0.477	0.177	4.29068265938658e-228	10	SND1
4.8808804104054e-232	1.36744714342291	0.381	0.123	1.16882443187978e-227	10	PEA15
6.66224370131968e-232	1.64881730105651	0.296	0.082	1.59540749915502e-227	10	TTC7A
1.99927240183754e-231	1.2235068869606	0.634	0.286	4.78765762068035e-227	10	SIVA1
8.29540665104905e-230	1.52838081898456	0.274	0.072	1.98650103072672e-225	10	USP24
9.9920712456083e-229	1.11134660992924	0.344	0.101	2.39280130118582e-224	10	SLA2
1.37072978888524e-227	2.34045686474316	0.263	0.072	3.28248662544348e-223	10	ETV3
3.15797660683314e-227	1.13938170085274	0.617	0.268	7.56240658038333e-223	10	SPCS3
2.89265453531554e-225	1.35892121075835	0.376	0.122	6.92703981572011e-221	10	TSPYL2
1.10600325419691e-224	1.13870297173034	0.57	0.237	2.64854599282534e-220	10	SSR1
3.78842155825778e-224	0.996169150145763	0.724	0.36	9.0721331055599e-220	10	ATP6V0B
5.25627741589278e-224	1.28245703396224	0.365	0.115	1.25872075278384e-219	10	LILRB1
6.72951761464796e-224	1.32114872274813	0.391	0.13	1.61151758317975e-219	10	UNC119
4.32637224259598e-223	1.4349286045182	0.274	0.074	1.03603636093446e-218	10	AGPAT5
7.39339016030311e-222	1.20810316639805	0.458	0.164	1.77049514168779e-217	10	INPP4A
5.70032591131091e-219	1.40341649227693	0.319	0.096	1.36505704598162e-214	10	BTK
2.76733707666112e-218	1.19449393132069	0.494	0.192	6.62694209748039e-214	10	DNAJC4
3.29344137357523e-217	0.824645074636952	0.873	0.689	7.88680405730062e-213	10	GABARAP
3.80653232841585e-217	1.35628386688422	0.332	0.102	9.11550296685744e-213	10	NFX1
4.52788741240915e-215	1.11769251355656	0.511	0.201	1.08429319864962e-210	10	PTRHD1
1.14286975831359e-213	1.26622588254687	0.442	0.163	2.73683021023355e-209	10	SEC61A1
4.39221035764641e-213	1.02051015297778	0.637	0.282	1.05180261434559e-208	10	PRKCB
8.6894830989525e-212	1.3696281798689	0.32	0.097	2.08087051770616e-207	10	SH2D3C
2.94271539552789e-210	1.1433936562709	0.488	0.188	7.04692055767063e-206	10	CHMP5
4.25732835420586e-210	1.21991533414661	0.519	0.211	1.01950242098168e-205	10	NRDC
4.4011059473081e-210	1.09193417385704	0.599	0.265	1.05393284120187e-205	10	MYDGF
4.20289721730953e-209	1.08616595521954	0.535	0.219	1.00646779662911e-204	10	CHMP4B
3.28470645431238e-208	1.2900586334719	0.301	0.089	7.86588654614185e-204	10	SMCO4
8.13728328698905e-208	1.33194533761516	0.37	0.124	1.94863522873527e-203	10	SINHCAF
7.13411202064234e-207	1.07864249296698	0.513	0.203	1.70840580558322e-202	10	TPP1
7.2244471889091e-207	1.20407849283861	0.457	0.172	1.73003836832806e-202	10	TMX1
8.70436895416931e-207	1.1699343256156	0.56	0.244	2.08443523345492e-202	10	APEX1
1.59669358301778e-206	0.817328529478858	0.416	0.145	3.82360212325268e-202	10	HVCN1
1.88904864055357e-206	0.593181665856109	0.656	0.29	4.52370477953362e-202	10	PPP1R15A
2.38275173243135e-206	1.28416969301255	0.49	0.196	5.70597557365336e-202	10	NBPF26
5.81264906373109e-206	1.2191489296773	0.463	0.176	1.39195507129168e-201	10	TRIM44
6.71093012447858e-206	1.14852444885484	0.437	0.161	1.60706643690889e-201	10	UBL7
1.08191256965898e-205	1.07312555301056	0.486	0.187	2.59085603056236e-201	10	APPL1
4.32954006050103e-205	1.09714005484432	0.534	0.223	1.03679495828818e-200	10	SFT2D1
9.51930120174966e-205	1.27886782906966	0.415	0.151	2.27958705878299e-200	10	HINT2
2.1929165862438e-202	1.22627275180234	0.434	0.162	5.25137734907802e-198	10	CNDP2
3.84725085830642e-202	1.28640986731335	0.334	0.107	9.2130116303864e-198	10	MKKS
2.58521853747887e-201	1.6554005290972	0.287	0.086	6.19082283170064e-197	10	FAM53C
8.08308138670901e-200	1.3278442106907	0.283	0.082	1.93565549967521e-195	10	ARHGAP18
9.08309451591461e-200	0.796171663396684	0.575	0.241	2.17512864372607e-195	10	AP1S2
1.86541414313632e-199	1.3436177762387	0.29	0.086	4.46710724856855e-195	10	MEF2D
7.75649855609733e-199	0.822548215873524	0.707	0.353	1.85744870922863e-194	10	HLA-DRB5
1.47623730905421e-198	1.23062112981116	0.352	0.116	3.53514548399211e-194	10	MYCBP
5.57446032032444e-198	1.15634649998893	0.515	0.214	1.33491601290809e-193	10	ODC1
1.46626793066037e-197	1.00133159176051	0.659	0.317	3.51127181355239e-193	10	TRIM22
1.55073571735736e-197	1.35328792651726	0.313	0.097	3.71354682235567e-193	10	RMC1
6.81693944750496e-197	1.00753700105813	0.617	0.282	1.63245248949401e-192	10	H2AFY
6.20583753648555e-195	1.13861245340991	0.612	0.287	1.4861119148622e-190	10	RPN2
1.72838385600063e-194	1.73056162375016	0.648	0.34	4.13896081996471e-190	10	NR3C1
8.95274104200298e-194	1.19106698022246	0.663	0.337	2.14391289732845e-189	10	RNF149
3.35943503028251e-193	0.970164176233148	0.515	0.208	8.04483906701752e-189	10	GRINA
8.59815643074885e-193	1.04951298689105	0.639	0.317	2.05900052047143e-188	10	NAPA
1.41496150966222e-192	1.12472381249009	0.509	0.211	3.38840832718813e-188	10	GRSF1
1.68414918863378e-191	0.936318604569467	0.6	0.265	4.03303206202132e-187	10	IQGAP2
2.24446551945859e-190	0.945852949607983	0.741	0.407	5.37482157944748e-186	10	GNAS
4.16477172110138e-190	1.10894268422069	0.44	0.168	9.97337884052147e-186	10	IGF2R
4.94433910467412e-190	0.791806482507966	0.303	0.096	1.18402088539631e-185	10	PLAUR
5.12786424235712e-190	1.02577750813078	0.406	0.147	1.22796965011726e-185	10	PLEKHO1
1.64855830943204e-189	1.27029544566685	0.29	0.088	3.94780258359691e-185	10	DMXL1
8.34435677078625e-189	1.41092410608992	0.29	0.089	1.99822311590018e-184	10	MED13L
8.61344629356426e-189	1.2485556531276	0.299	0.092	2.06266198391983e-184	10	ITPR1
1.58128867574033e-188	1.41428238307955	0.326	0.109	3.78671199179537e-184	10	PRKCD
3.85352312268747e-188	1.09567013902695	0.538	0.233	9.22803182189969e-184	10	OS9
3.52656765563957e-187	1.12875168023513	0.517	0.217	8.44507156496008e-183	10	NIN
7.34842964922928e-187	1.14160305130489	0.389	0.139	1.75972844810094e-182	10	ITCH
8.04922422955503e-187	1.00991595893795	0.537	0.231	1.92754772625154e-182	10	TRABD
9.05365237925129e-187	1.07831099066213	0.678	0.355	2.16807813525931e-182	10	SELPLG
8.24944118439252e-186	1.13624971937217	0.291	0.088	1.97549368042648e-181	10	BEX4
1.36634291799315e-185	1.03478227004217	0.701	0.385	3.27198138571819e-181	10	SYNGR2
1.74297120663934e-185	1.37134133312959	0.269	0.079	4.17389314853923e-181	10	SERTAD2
1.87699273477826e-185	1.19507052586469	0.371	0.13	4.4948345019735e-181	10	NOTCH2
1.54348311906628e-184	1.23863067778004	0.293	0.091	3.69617902522802e-180	10	SLC30A5
7.32581213531705e-184	1.38315821863476	0.275	0.083	1.75431223204437e-179	10	HSD17B12
1.93178643860434e-182	1.24810283997091	0.403	0.149	4.62604898452581e-178	10	NFATC2IP
1.57343633320489e-180	1.12342730974054	0.412	0.157	3.76790798712575e-176	10	TMEM14C
