Treatment	Tissue	MajorCellType	SubCellType	cell_count
"""III"""	"""LN"""	"""Stromal"""	"""c81_Pericyte_RGS5"""	5
"""III"""	"""LN"""	"""Stromal"""	"""c82_SMC_MYH11"""	14
"""III"""	"""LN"""	"""T"""	"""c01_CD4_Tn_CCR7"""	3
"""III"""	"""LN"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	339
"""III"""	"""LN"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	2
"""III"""	"""LN"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	9
"""III"""	"""LN"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	1095
"""III"""	"""LN"""	"""T"""	"""c07_CD4_Th17_CTSH"""	3
"""III"""	"""LN"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	305
"""III"""	"""LN"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	45
"""III"""	"""LN"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	3
"""III"""	"""LN"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	54
"""III"""	"""LN"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	212
"""III"""	"""LN"""	"""T"""	"""c14_CD4_MT"""	135
"""III"""	"""LN"""	"""T"""	"""c15_CD8_Tn_CCR7"""	9
"""III"""	"""LN"""	"""T"""	"""c16_CD8_Tn_SELL"""	280
"""III"""	"""LN"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	8
"""III"""	"""LN"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	20
"""III"""	"""LN"""	"""T"""	"""c19_CD8_Tem_CMC1"""	17
"""III"""	"""LN"""	"""T"""	"""c20_CD8_Tem_GZMK"""	93
"""III"""	"""LN"""	"""T"""	"""c21_CD8_Trm_XCL1"""	2
"""III"""	"""LN"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	567
"""III"""	"""LN"""	"""T"""	"""c23_CD8_Tex_LAYN"""	65
"""III"""	"""LN"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	4
"""III"""	"""LN"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	1
"""III"""	"""LN"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	1
"""III"""	"""LN"""	"""T"""	"""c28_CD8_IEL_CD160"""	1
"""III"""	"""LN"""	"""T"""	"""c29_T_MKI67"""	79
"""III"""	"""LN"""	"""T"""	"""c30_gdT_TRDV2"""	4
"""III"""	"""LN"""	"""T"""	"""c31_DNT"""	27
"""III"""	"""Normal"""	"""B"""	"""c39_NaiveB_TCL1A"""	25
"""III"""	"""Normal"""	"""B"""	"""c40_NaiveB_IGHD"""	455
"""III"""	"""Normal"""	"""B"""	"""c41_MemB_CD27"""	192
"""III"""	"""Normal"""	"""B"""	"""c42_MemB_GPR183"""	2403
"""III"""	"""Normal"""	"""B"""	"""c43_GCB_LRMP"""	269
"""III"""	"""Normal"""	"""B"""	"""c44_GCB_MKI67"""	179
"""III"""	"""Normal"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	109
"""III"""	"""Normal"""	"""B"""	"""c46_PlasmaB_IGHA1"""	11812
"""III"""	"""Normal"""	"""B"""	"""c47_PlasmaB_IGHG1"""	269
"""III"""	"""Normal"""	"""B"""	"""c48_PlasmaB_MKI67"""	10
"""III"""	"""Normal"""	"""Epi"""	"""c84_Coloncyte_CA2"""	8163
"""III"""	"""Normal"""	"""Epi"""	"""c85_Coloncyte_SLC26A3"""	2401
"""III"""	"""Normal"""	"""Epi"""	"""c86_Coloncyte_BEST4"""	1323
"""III"""	"""Normal"""	"""Epi"""	"""c87_Goblet_MUC2"""	3869
"""III"""	"""Normal"""	"""Epi"""	"""c88_EEC_PCSK1N"""	191
"""III"""	"""Normal"""	"""Epi"""	"""c89_Tuft_PTGS1"""	463
"""III"""	"""Normal"""	"""Epi"""	"""c90_Epi_MKI67"""	1518
"""III"""	"""Normal"""	"""Epi"""	"""c91_Epi_Tumor"""	1128
"""III"""	"""Normal"""	"""ILC"""	"""c33_ILC_GZMK"""	11
"""III"""	"""Normal"""	"""ILC"""	"""c34_ILC_NR4A2"""	191
"""III"""	"""Normal"""	"""ILC"""	"""c35_ILC_FCGR3A"""	1
"""III"""	"""Normal"""	"""ILC"""	"""c37_ILC_SLC4A10"""	146
"""III"""	"""Normal"""	"""Mye"""	"""c49_Mono_CD14"""	3
"""III"""	"""Normal"""	"""Mye"""	"""c52_Mast_TPSAB1"""	311
"""III"""	"""Normal"""	"""Mye"""	"""c53_Neu_CXCR2"""	1
"""III"""	"""Normal"""	"""Mye"""	"""c55_pDC_GZMB"""	4
"""III"""	"""Normal"""	"""Mye"""	"""c57_cDC_CLEC9A"""	18
"""III"""	"""Normal"""	"""Mye"""	"""c58_cDC_CD1C"""	11
"""III"""	"""Normal"""	"""Mye"""	"""c59_cDC_IL1B"""	163
"""III"""	"""Normal"""	"""Mye"""	"""c60_cDC_LAMP3"""	5
"""III"""	"""Normal"""	"""Mye"""	"""c61_Mph_FCGR3A"""	4
"""III"""	"""Normal"""	"""Mye"""	"""c62_Mph_S100A8"""	27
"""III"""	"""Normal"""	"""Mye"""	"""c63_Mph_CCL20"""	25
"""III"""	"""Normal"""	"""Mye"""	"""c64_Mph_SPP1"""	4
"""III"""	"""Normal"""	"""Mye"""	"""c65_Mph_APOE"""	99
"""III"""	"""Normal"""	"""Stromal"""	"""c66_Endo_LYVE1"""	28
"""III"""	"""Normal"""	"""Stromal"""	"""c67_Endo_ACKR1"""	171
"""III"""	"""Normal"""	"""Stromal"""	"""c68_Endo_FABP5"""	159
"""III"""	"""Normal"""	"""Stromal"""	"""c69_Endo_CXCL12"""	45
"""III"""	"""Normal"""	"""Stromal"""	"""c70_Endo_COL4A1"""	3
"""III"""	"""Normal"""	"""Stromal"""	"""c72_Fibro_SOX6"""	679
"""III"""	"""Normal"""	"""Stromal"""	"""c73_Fibro_ADAMDEC1"""	1782
"""III"""	"""Normal"""	"""Stromal"""	"""c74_Fibro_C7"""	373
"""III"""	"""Normal"""	"""Stromal"""	"""c75_Fibro_CCL19"""	86
"""III"""	"""Normal"""	"""Stromal"""	"""c76_Fibro_PI16"""	366
"""III"""	"""Normal"""	"""Stromal"""	"""c77_Fibro_ACTA2"""	241
"""III"""	"""Normal"""	"""Stromal"""	"""c78_Fibro_DES"""	7
"""III"""	"""Normal"""	"""Stromal"""	"""c79_Fibro_FAP"""	3
"""III"""	"""Normal"""	"""Stromal"""	"""c80_Fibro_MKI67"""	3
"""III"""	"""Normal"""	"""Stromal"""	"""c81_Pericyte_RGS5"""	56
"""III"""	"""Normal"""	"""Stromal"""	"""c82_SMC_MYH11"""	231
"""III"""	"""Normal"""	"""Stromal"""	"""c83_Glia_PLP1"""	440
"""III"""	"""Normal"""	"""T"""	"""c01_CD4_Tn_CCR7"""	82
"""III"""	"""Normal"""	"""T"""	"""c02_CD4_Tn_SELL"""	7
"""III"""	"""Normal"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	1113
"""III"""	"""Normal"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	134
"""III"""	"""Normal"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	2142
"""III"""	"""Normal"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	1392
"""III"""	"""Normal"""	"""T"""	"""c07_CD4_Th17_CTSH"""	61
"""III"""	"""Normal"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	395
"""III"""	"""Normal"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	17
"""III"""	"""Normal"""	"""T"""	"""c10_CD4_Temra_GZMB"""	5
"""III"""	"""Normal"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	8
"""III"""	"""Normal"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	273
"""III"""	"""Normal"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	135
"""III"""	"""Normal"""	"""T"""	"""c14_CD4_MT"""	138
"""III"""	"""Normal"""	"""T"""	"""c15_CD8_Tn_CCR7"""	15
"""III"""	"""Normal"""	"""T"""	"""c16_CD8_Tn_SELL"""	193
"""III"""	"""Normal"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	71
"""III"""	"""Normal"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	664
"""III"""	"""Normal"""	"""T"""	"""c19_CD8_Tem_CMC1"""	89
"""III"""	"""Normal"""	"""T"""	"""c20_CD8_Tem_GZMK"""	995
"""III"""	"""Normal"""	"""T"""	"""c21_CD8_Trm_XCL1"""	1751
"""III"""	"""Normal"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	710
"""III"""	"""Normal"""	"""T"""	"""c23_CD8_Tex_LAYN"""	150
"""III"""	"""Normal"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	13
"""III"""	"""Normal"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	31
"""III"""	"""Normal"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	13
"""III"""	"""Normal"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	214
"""III"""	"""Normal"""	"""T"""	"""c28_CD8_IEL_CD160"""	2083
"""III"""	"""Normal"""	"""T"""	"""c29_T_MKI67"""	56
"""III"""	"""Normal"""	"""T"""	"""c30_gdT_TRDV2"""	31
"""III"""	"""Normal"""	"""T"""	"""c31_DNT"""	19
"""III"""	"""Tumor"""	"""B"""	"""c39_NaiveB_TCL1A"""	47
"""III"""	"""Tumor"""	"""B"""	"""c40_NaiveB_IGHD"""	1004
"""III"""	"""Tumor"""	"""B"""	"""c41_MemB_CD27"""	141
"""III"""	"""Tumor"""	"""B"""	"""c42_MemB_GPR183"""	2627
"""III"""	"""Tumor"""	"""B"""	"""c43_GCB_LRMP"""	78
"""III"""	"""Tumor"""	"""B"""	"""c44_GCB_MKI67"""	82
"""III"""	"""Tumor"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	85
"""III"""	"""Tumor"""	"""B"""	"""c46_PlasmaB_IGHA1"""	2884
"""III"""	"""Tumor"""	"""B"""	"""c47_PlasmaB_IGHG1"""	1696
"""III"""	"""Tumor"""	"""B"""	"""c48_PlasmaB_MKI67"""	109
"""III"""	"""Tumor"""	"""Epi"""	"""c84_Coloncyte_CA2"""	3190
"""III"""	"""Tumor"""	"""Epi"""	"""c85_Coloncyte_SLC26A3"""	1734
"""III"""	"""Tumor"""	"""Epi"""	"""c86_Coloncyte_BEST4"""	244
"""III"""	"""Tumor"""	"""Epi"""	"""c87_Goblet_MUC2"""	1752
"""III"""	"""Tumor"""	"""Epi"""	"""c88_EEC_PCSK1N"""	35
"""III"""	"""Tumor"""	"""Epi"""	"""c89_Tuft_PTGS1"""	67
"""III"""	"""Tumor"""	"""Epi"""	"""c90_Epi_MKI67"""	2773
"""III"""	"""Tumor"""	"""Epi"""	"""c91_Epi_Tumor"""	4377
"""III"""	"""Tumor"""	"""ILC"""	"""c33_ILC_GZMK"""	28
"""III"""	"""Tumor"""	"""ILC"""	"""c34_ILC_NR4A2"""	907
"""III"""	"""Tumor"""	"""ILC"""	"""c35_ILC_FCGR3A"""	13
"""III"""	"""Tumor"""	"""ILC"""	"""c36_ILC_SYNE2"""	2
"""III"""	"""Tumor"""	"""ILC"""	"""c37_ILC_SLC4A10"""	148
"""III"""	"""Tumor"""	"""ILC"""	"""c38_ILC_MKI67"""	13
"""III"""	"""Tumor"""	"""Mye"""	"""c49_Mono_CD14"""	41
"""III"""	"""Tumor"""	"""Mye"""	"""c50_Mono_FCGR3A"""	17
"""III"""	"""Tumor"""	"""Mye"""	"""c51_Mono_NFKBIZ"""	4
"""III"""	"""Tumor"""	"""Mye"""	"""c52_Mast_TPSAB1"""	352
"""III"""	"""Tumor"""	"""Mye"""	"""c53_Neu_CXCR2"""	12
"""III"""	"""Tumor"""	"""Mye"""	"""c54_pDC_LILRA4"""	2
"""III"""	"""Tumor"""	"""Mye"""	"""c55_pDC_GZMB"""	65
"""III"""	"""Tumor"""	"""Mye"""	"""c57_cDC_CLEC9A"""	50
"""III"""	"""Tumor"""	"""Mye"""	"""c58_cDC_CD1C"""	15
"""III"""	"""Tumor"""	"""Mye"""	"""c59_cDC_IL1B"""	185
"""III"""	"""Tumor"""	"""Mye"""	"""c60_cDC_LAMP3"""	100
"""III"""	"""Tumor"""	"""Mye"""	"""c61_Mph_FCGR3A"""	13
"""III"""	"""Tumor"""	"""Mye"""	"""c62_Mph_S100A8"""	234
"""III"""	"""Tumor"""	"""Mye"""	"""c63_Mph_CCL20"""	365
"""III"""	"""Tumor"""	"""Mye"""	"""c64_Mph_SPP1"""	109
"""III"""	"""Tumor"""	"""Mye"""	"""c65_Mph_APOE"""	181
"""III"""	"""Tumor"""	"""Stromal"""	"""c66_Endo_LYVE1"""	33
"""III"""	"""Tumor"""	"""Stromal"""	"""c67_Endo_ACKR1"""	273
"""III"""	"""Tumor"""	"""Stromal"""	"""c68_Endo_FABP5"""	121
"""III"""	"""Tumor"""	"""Stromal"""	"""c69_Endo_CXCL12"""	60
"""III"""	"""Tumor"""	"""Stromal"""	"""c70_Endo_COL4A1"""	246
"""III"""	"""Tumor"""	"""Stromal"""	"""c71_Endo_MKI67"""	11
"""III"""	"""Tumor"""	"""Stromal"""	"""c72_Fibro_SOX6"""	553
"""III"""	"""Tumor"""	"""Stromal"""	"""c73_Fibro_ADAMDEC1"""	833
"""III"""	"""Tumor"""	"""Stromal"""	"""c74_Fibro_C7"""	179
"""III"""	"""Tumor"""	"""Stromal"""	"""c75_Fibro_CCL19"""	92
"""III"""	"""Tumor"""	"""Stromal"""	"""c76_Fibro_PI16"""	6
"""III"""	"""Tumor"""	"""Stromal"""	"""c77_Fibro_ACTA2"""	120
"""III"""	"""Tumor"""	"""Stromal"""	"""c78_Fibro_DES"""	37
"""III"""	"""Tumor"""	"""Stromal"""	"""c79_Fibro_FAP"""	1226
"""III"""	"""Tumor"""	"""Stromal"""	"""c80_Fibro_MKI67"""	35
"""III"""	"""Tumor"""	"""Stromal"""	"""c81_Pericyte_RGS5"""	233
"""III"""	"""Tumor"""	"""Stromal"""	"""c82_SMC_MYH11"""	153
"""III"""	"""Tumor"""	"""Stromal"""	"""c83_Glia_PLP1"""	157
"""III"""	"""Tumor"""	"""T"""	"""c01_CD4_Tn_CCR7"""	61
"""III"""	"""Tumor"""	"""T"""	"""c02_CD4_Tn_SELL"""	23
"""III"""	"""Tumor"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	1760
"""III"""	"""Tumor"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	87
"""III"""	"""Tumor"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	1846
"""III"""	"""Tumor"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	1677
"""III"""	"""Tumor"""	"""T"""	"""c07_CD4_Th17_CTSH"""	591
"""III"""	"""Tumor"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	1259
"""III"""	"""Tumor"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	1137
"""III"""	"""Tumor"""	"""T"""	"""c10_CD4_Temra_GZMB"""	26
"""III"""	"""Tumor"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	35
"""III"""	"""Tumor"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	1163
"""III"""	"""Tumor"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	1692
"""III"""	"""Tumor"""	"""T"""	"""c14_CD4_MT"""	788
"""III"""	"""Tumor"""	"""T"""	"""c15_CD8_Tn_CCR7"""	25
"""III"""	"""Tumor"""	"""T"""	"""c16_CD8_Tn_SELL"""	334
"""III"""	"""Tumor"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	56
"""III"""	"""Tumor"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	589
"""III"""	"""Tumor"""	"""T"""	"""c19_CD8_Tem_CMC1"""	128
"""III"""	"""Tumor"""	"""T"""	"""c20_CD8_Tem_GZMK"""	5445
"""III"""	"""Tumor"""	"""T"""	"""c21_CD8_Trm_XCL1"""	626
"""III"""	"""Tumor"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	1469
"""III"""	"""Tumor"""	"""T"""	"""c23_CD8_Tex_LAYN"""	3404
"""III"""	"""Tumor"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	39
"""III"""	"""Tumor"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	83
"""III"""	"""Tumor"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	19
"""III"""	"""Tumor"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	1312
"""III"""	"""Tumor"""	"""T"""	"""c28_CD8_IEL_CD160"""	624
"""III"""	"""Tumor"""	"""T"""	"""c29_T_MKI67"""	792
"""III"""	"""Tumor"""	"""T"""	"""c30_gdT_TRDV2"""	76
"""III"""	"""Tumor"""	"""T"""	"""c31_DNT"""	88
"""III"""	"""Tumor"""	"""T"""	"""c32_DPT"""	3
"""IV"""	"""Blood"""	"""B"""	"""c39_NaiveB_TCL1A"""	1478
"""IV"""	"""Blood"""	"""B"""	"""c41_MemB_CD27"""	476
"""IV"""	"""Blood"""	"""B"""	"""c42_MemB_GPR183"""	1
"""IV"""	"""Blood"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	33
"""IV"""	"""Blood"""	"""B"""	"""c48_PlasmaB_MKI67"""	1
"""IV"""	"""Blood"""	"""ILC"""	"""c33_ILC_GZMK"""	169
"""IV"""	"""Blood"""	"""ILC"""	"""c34_ILC_NR4A2"""	1
"""IV"""	"""Blood"""	"""ILC"""	"""c35_ILC_FCGR3A"""	603
"""IV"""	"""Blood"""	"""ILC"""	"""c36_ILC_SYNE2"""	22
"""IV"""	"""Blood"""	"""ILC"""	"""c38_ILC_MKI67"""	23
"""IV"""	"""Blood"""	"""Mye"""	"""c49_Mono_CD14"""	2127
"""IV"""	"""Blood"""	"""Mye"""	"""c50_Mono_FCGR3A"""	642
"""IV"""	"""Blood"""	"""Mye"""	"""c51_Mono_NFKBIZ"""	29
"""IV"""	"""Blood"""	"""Mye"""	"""c52_Mast_TPSAB1"""	3
"""IV"""	"""Blood"""	"""Mye"""	"""c54_pDC_LILRA4"""	27
"""IV"""	"""Blood"""	"""Mye"""	"""c56_tDC_SIGLEC6"""	5
"""IV"""	"""Blood"""	"""Mye"""	"""c57_cDC_CLEC9A"""	2
"""IV"""	"""Blood"""	"""Mye"""	"""c58_cDC_CD1C"""	121
"""IV"""	"""Blood"""	"""Mye"""	"""c59_cDC_IL1B"""	1
"""IV"""	"""Blood"""	"""Mye"""	"""c60_cDC_LAMP3"""	1
"""IV"""	"""Blood"""	"""T"""	"""c01_CD4_Tn_CCR7"""	1421
"""IV"""	"""Blood"""	"""T"""	"""c02_CD4_Tn_SELL"""	1113
"""IV"""	"""Blood"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	2
"""IV"""	"""Blood"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	1316
"""IV"""	"""Blood"""	"""T"""	"""c10_CD4_Temra_GZMB"""	180
"""IV"""	"""Blood"""	"""T"""	"""c11_CD4_Treg_FOXP3"""	345
"""IV"""	"""Blood"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	2
"""IV"""	"""Blood"""	"""T"""	"""c14_CD4_MT"""	25
"""IV"""	"""Blood"""	"""T"""	"""c15_CD8_Tn_CCR7"""	1430
"""IV"""	"""Blood"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	416
"""IV"""	"""Blood"""	"""T"""	"""c19_CD8_Tem_CMC1"""	266
"""IV"""	"""Blood"""	"""T"""	"""c20_CD8_Tem_GZMK"""	1
"""IV"""	"""Blood"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	842
"""IV"""	"""Blood"""	"""T"""	"""c25_CD8_Temra_TYROBP"""	278
"""IV"""	"""Blood"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	190
"""IV"""	"""Blood"""	"""T"""	"""c29_T_MKI67"""	46
"""IV"""	"""Blood"""	"""T"""	"""c30_gdT_TRDV2"""	311
"""IV"""	"""Blood"""	"""T"""	"""c31_DNT"""	1736
"""IV"""	"""Blood"""	"""T"""	"""c32_DPT"""	226
"""IV"""	"""Normal"""	"""B"""	"""c39_NaiveB_TCL1A"""	17
"""IV"""	"""Normal"""	"""B"""	"""c40_NaiveB_IGHD"""	1188
"""IV"""	"""Normal"""	"""B"""	"""c41_MemB_CD27"""	16
"""IV"""	"""Normal"""	"""B"""	"""c42_MemB_GPR183"""	630
"""IV"""	"""Normal"""	"""B"""	"""c43_GCB_LRMP"""	98
"""IV"""	"""Normal"""	"""B"""	"""c44_GCB_MKI67"""	47
"""IV"""	"""Normal"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	16
"""IV"""	"""Normal"""	"""B"""	"""c46_PlasmaB_IGHA1"""	2297
"""IV"""	"""Normal"""	"""B"""	"""c47_PlasmaB_IGHG1"""	107
"""IV"""	"""Normal"""	"""B"""	"""c48_PlasmaB_MKI67"""	3
"""IV"""	"""Normal"""	"""Epi"""	"""c84_Coloncyte_CA2"""	3743
"""IV"""	"""Normal"""	"""Epi"""	"""c85_Coloncyte_SLC26A3"""	479
"""IV"""	"""Normal"""	"""Epi"""	"""c86_Coloncyte_BEST4"""	533
"""IV"""	"""Normal"""	"""Epi"""	"""c87_Goblet_MUC2"""	849
"""IV"""	"""Normal"""	"""Epi"""	"""c88_EEC_PCSK1N"""	78
"""IV"""	"""Normal"""	"""Epi"""	"""c89_Tuft_PTGS1"""	145
"""IV"""	"""Normal"""	"""Epi"""	"""c90_Epi_MKI67"""	617
"""IV"""	"""Normal"""	"""Epi"""	"""c91_Epi_Tumor"""	332
"""IV"""	"""Normal"""	"""ILC"""	"""c33_ILC_GZMK"""	3
"""IV"""	"""Normal"""	"""ILC"""	"""c34_ILC_NR4A2"""	56
"""IV"""	"""Normal"""	"""ILC"""	"""c37_ILC_SLC4A10"""	65
"""IV"""	"""Normal"""	"""Mye"""	"""c49_Mono_CD14"""	2
"""IV"""	"""Normal"""	"""Mye"""	"""c50_Mono_FCGR3A"""	1
"""IV"""	"""Normal"""	"""Mye"""	"""c52_Mast_TPSAB1"""	22
"""IV"""	"""Normal"""	"""Mye"""	"""c55_pDC_GZMB"""	1
"""IV"""	"""Normal"""	"""Mye"""	"""c57_cDC_CLEC9A"""	7
"""IV"""	"""Normal"""	"""Mye"""	"""c58_cDC_CD1C"""	1
"""IV"""	"""Normal"""	"""Mye"""	"""c59_cDC_IL1B"""	32
"""IV"""	"""Normal"""	"""Mye"""	"""c60_cDC_LAMP3"""	5
"""IV"""	"""Normal"""	"""Mye"""	"""c61_Mph_FCGR3A"""	1
"""IV"""	"""Normal"""	"""Mye"""	"""c62_Mph_S100A8"""	5
"""IV"""	"""Normal"""	"""Mye"""	"""c63_Mph_CCL20"""	9
"""IV"""	"""Normal"""	"""Mye"""	"""c65_Mph_APOE"""	5
"""IV"""	"""Normal"""	"""Stromal"""	"""c66_Endo_LYVE1"""	16
"""IV"""	"""Normal"""	"""Stromal"""	"""c67_Endo_ACKR1"""	9
"""IV"""	"""Normal"""	"""Stromal"""	"""c68_Endo_FABP5"""	21
"""IV"""	"""Normal"""	"""Stromal"""	"""c69_Endo_CXCL12"""	12
"""IV"""	"""Normal"""	"""Stromal"""	"""c72_Fibro_SOX6"""	114
"""IV"""	"""Normal"""	"""Stromal"""	"""c73_Fibro_ADAMDEC1"""	188
"""IV"""	"""Normal"""	"""Stromal"""	"""c74_Fibro_C7"""	76
"""IV"""	"""Normal"""	"""Stromal"""	"""c75_Fibro_CCL19"""	13
"""IV"""	"""Normal"""	"""Stromal"""	"""c76_Fibro_PI16"""	66
"""IV"""	"""Normal"""	"""Stromal"""	"""c77_Fibro_ACTA2"""	21
"""IV"""	"""Normal"""	"""Stromal"""	"""c78_Fibro_DES"""	4
"""IV"""	"""Normal"""	"""Stromal"""	"""c80_Fibro_MKI67"""	1
"""IV"""	"""Normal"""	"""Stromal"""	"""c81_Pericyte_RGS5"""	11
"""IV"""	"""Normal"""	"""Stromal"""	"""c82_SMC_MYH11"""	57
"""IV"""	"""Normal"""	"""Stromal"""	"""c83_Glia_PLP1"""	23
"""IV"""	"""Normal"""	"""T"""	"""c01_CD4_Tn_CCR7"""	7
"""IV"""	"""Normal"""	"""T"""	"""c03_CD4_Tn_NR4A2"""	566
"""IV"""	"""Normal"""	"""T"""	"""c04_CD4_Tcm_ANXA1"""	9
"""IV"""	"""Normal"""	"""T"""	"""c05_CD4_Tcm_GPR183"""	1115
"""IV"""	"""Normal"""	"""T"""	"""c06_CD4_Trm_HSPA1A"""	268
"""IV"""	"""Normal"""	"""T"""	"""c07_CD4_Th17_CTSH"""	19
"""IV"""	"""Normal"""	"""T"""	"""c08_CD4_Tfh_CXCL13_IL6ST"""	188
"""IV"""	"""Normal"""	"""T"""	"""c09_CD4_Th1_CXCL13_HAVCR2"""	12
"""IV"""	"""Normal"""	"""T"""	"""c10_CD4_Temra_GZMB"""	1
"""IV"""	"""Normal"""	"""T"""	"""c12_CD4_Treg_KLRB1"""	87
"""IV"""	"""Normal"""	"""T"""	"""c13_CD4_Treg_TNFRSF9"""	102
"""IV"""	"""Normal"""	"""T"""	"""c14_CD4_MT"""	84
"""IV"""	"""Normal"""	"""T"""	"""c15_CD8_Tn_CCR7"""	4
"""IV"""	"""Normal"""	"""T"""	"""c16_CD8_Tn_SELL"""	157
"""IV"""	"""Normal"""	"""T"""	"""c17_CD8_Tcm_GPR183"""	4
"""IV"""	"""Normal"""	"""T"""	"""c18_CD8_Tcm_ANXA1"""	261
"""IV"""	"""Normal"""	"""T"""	"""c19_CD8_Tem_CMC1"""	2
"""IV"""	"""Normal"""	"""T"""	"""c20_CD8_Tem_GZMK"""	239
"""IV"""	"""Normal"""	"""T"""	"""c21_CD8_Trm_XCL1"""	669
"""IV"""	"""Normal"""	"""T"""	"""c22_CD8_Trm_HSPA1B"""	113
"""IV"""	"""Normal"""	"""T"""	"""c23_CD8_Tex_LAYN"""	11
"""IV"""	"""Normal"""	"""T"""	"""c24_CD8_Temra_CX3CR1"""	1
"""IV"""	"""Normal"""	"""T"""	"""c26_CD8_MAIT_KLRB1"""	2
"""IV"""	"""Normal"""	"""T"""	"""c27_CD8_MAIT_SLC4A10"""	60
"""IV"""	"""Normal"""	"""T"""	"""c28_CD8_IEL_CD160"""	341
"""IV"""	"""Normal"""	"""T"""	"""c29_T_MKI67"""	19
"""IV"""	"""Normal"""	"""T"""	"""c30_gdT_TRDV2"""	10
"""IV"""	"""Normal"""	"""T"""	"""c31_DNT"""	1
"""IV"""	"""Normal"""	"""T"""	"""c32_DPT"""	2
"""IV"""	"""Tumor"""	"""B"""	"""c39_NaiveB_TCL1A"""	11
"""IV"""	"""Tumor"""	"""B"""	"""c40_NaiveB_IGHD"""	941
"""IV"""	"""Tumor"""	"""B"""	"""c41_MemB_CD27"""	12
"""IV"""	"""Tumor"""	"""B"""	"""c42_MemB_GPR183"""	893
"""IV"""	"""Tumor"""	"""B"""	"""c43_GCB_LRMP"""	58
"""IV"""	"""Tumor"""	"""B"""	"""c44_GCB_MKI67"""	40
"""IV"""	"""Tumor"""	"""B"""	"""c45_PlasmaB_TXNDC5"""	6
"""IV"""	"""Tumor"""	"""B"""	"""c46_PlasmaB_IGHA1"""	1085
"""IV"""	"""Tumor"""	"""B"""	"""c47_PlasmaB_IGHG1"""	150
"""IV"""	"""Tumor"""	"""B"""	"""c48_PlasmaB_MKI67"""	1
"""IV"""	"""Tumor"""	"""Epi"""	"""c84_Coloncyte_CA2"""	1434
