dataset_id	object_label	sample_label	tissue_site	review_class	score_margin_n	score_margin_q1	score_margin_median	score_margin_mean	score_margin_q3	top_score_n	top_score_q1	top_score_median	top_score_mean	top_score_q3
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	pericyte_review	82	0.343280611103585	0.667298622330728	0.703434450295271	1.0329846958563	82	2.51426638715819	2.89913801770979	2.6742462236759	3.09835836332979
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	caf_ecm_review	667	0	0	0.148908777276173	0	667	0	0	0.344052248750687	0
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	endothelial_review	333	0.12839373574417	0.277521497045623	0.589399277882408	0.587324906965536	333	0.224749328548814	0.346324844164242	0.801815971126867	0.703399518006263
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	epithelial_review	558	0.777484261169652	2.85011862524157	2.24148890736037	3.20495015319397	558	1.67701198712572	3.03209540646332	2.4742958021211	3.35090424829806
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	immune_review	2045	0.736468550159075	1.15997162820936	1.24016750743045	1.78303736866372	2045	0.842532764787559	1.46009660116544	1.3692221099007	1.92441366737282
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	pericyte_review	181	0.865913406941536	1.59854827855622	1.42560520243285	1.91869264249624	181	2.58244384635145	3.18295021456968	2.82537681902542	3.48787099451881
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	caf_ecm_review	52	0	0	0.243788970574422	0.0201513293367663	52	0	0	0.47926700199969	0.267396858153751
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	endothelial_review	36	0	0.0995953137621879	0.216693396994816	0.302444855355438	36	0.622811947361957	0.647240818960598	0.692613652295956	0.773047165748741
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	epithelial_review	815	2.89535946468283	3.21848035136242	3.10889306787797	3.4834677157636	815	3.15662845416555	3.4465276271607	3.34543992307122	3.68541367539835
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	immune_review	1851	0.981750742022127	1.36336063743102	1.34192808792196	1.72823682478365	1851	1.29420483658603	1.65133227116805	1.59542004103902	1.91685656056055
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	pericyte_review	4	0	0.0149929287339654	0.142017736382245	0.15701066511621	4	0.728546948935701	0.914762221106791	1.22839585302543	1.41461112519652
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	caf_ecm_review	581	0	0.0068993335077463	0.529939935935854	1.1218491726306	581	0	0.0558775324396896	1.23680135112568	2.75007577585872
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	endothelial_review	1000	0.113684822278418	0.221101229175842	0.390499973636951	0.37921751634549	1000	0.180713408649155	0.287753739955007	0.532452037374846	0.443789994166716
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	epithelial_review	565	1.78061231537781	2.22177921952897	2.04040199011162	2.52394279041124	565	1.99384429230886	2.38453384323287	2.21939738332111	2.68310169929484
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	immune_review	4680	1.23902555982698	1.69510357303508	1.56768491494454	1.97274803322017	4680	1.45831473043267	1.79486078031116	1.67871123580258	2.05066085990604
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	pericyte_review	167	1.19333220444343	1.87293116574837	1.63289334548993	2.20640316274292	167	3.20866877332638	3.49329607630029	3.15731748275606	3.80598313439701
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	caf_ecm_review	298	0	0.220154599362898	0.67910052276514	1.29783785499417	298	0	1.59776947781583	1.46963685411371	2.8726995327457
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	endothelial_review	480	0.112075071726294	0.221100987795903	0.47483931831389	0.402193708161798	480	0.188428923499731	0.290375740858433	0.651172144028571	0.469865421287041
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	epithelial_review	386	1.66038956310695	2.0486746285666	1.9223267706753	2.40622820661783	386	2.58782646216592	2.92661291091477	2.70926304650695	3.20338171861504
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	immune_review	2105	1.34616203269998	1.78924165081617	1.63498875540607	2.0669022722941	2105	1.58985022607312	1.92323203189107	1.76539748703766	2.14778858551504
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	pericyte_review	49	1.04015929734352	1.41038666461125	1.49284952454372	1.98078570185648	49	2.93487439114099	3.46503192915035	3.09411192380296	3.61218232273382
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	Pt08_T3	liver metastasis	caf_ecm_review	177	0	0.0755544962928929	0.523996556542995	0.980379365078577	177	0	0.364906728622018	1.42135304059069	3.03399440863595
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	Pt08_T3	liver metastasis	endothelial_review	80	0.161093124485353	0.338024391403845	0.536547659305165	0.667406908510728	80	0.328513865751393	0.453733849785852	0.78507333051278	0.764327081404096
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	Pt08_T3	liver metastasis	epithelial_review	2386	1.6627462878783	2.01472119185061	1.97098763544279	2.35081298098201	2386	2.43833031807602	2.76419161910482	2.67783400627791	3.03964537839016
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	Pt08_T3	liver metastasis	immune_review	1576	1.08950442821841	1.47704209840245	1.46553096126011	1.84881237717242	1576	1.41303539311297	1.78317266821841	1.74247816291256	2.1220382444537
GSE245552	gse245552_Pt08_T3_working_qc_sparse_matrix	Pt08_T3	liver metastasis	pericyte_review	43	0.429504639154215	0.961218138191301	1.0883396721379	1.59327987532269	43	2.05264727126662	2.50420163740259	2.42013580435943	2.8569120101937
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	Pt08_T4	liver metastasis	caf_ecm_review	44	0	0	0.203726512417619	0	44	0	0	0.485195849291074	0.0200754490644214
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	Pt08_T4	liver metastasis	endothelial_review	105	0.121653932576553	0.260806359345508	0.419208116006553	0.610916148156397	105	0.245490630549256	0.461113051543298	0.697016953663039	0.859761283841177
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	Pt08_T4	liver metastasis	epithelial_review	3011	2.11761785925817	2.64267596256037	2.49482249635495	3.0096838295746	3011	2.49434227049483	3.11527760991795	2.91115742868777	3.46648849723368
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	Pt08_T4	liver metastasis	immune_review	927	0.897014631465432	1.24732189379587	1.22770284459337	1.58197525848262	927	1.27937209109509	1.62510460657488	1.57568079132358	1.89055517097505
GSE245552	gse245552_Pt08_T4_working_qc_sparse_matrix	Pt08_T4	liver metastasis	pericyte_review	9	0.387186078054993	1.00713886568183	1.11025281560506	2.08569361950865	9	1.10269964339184	2.85890695466532	2.39674060460065	3.16084141928498
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	Pt09_T1	primary tumor	caf_ecm_review	888	0	0.0616545124260723	0.433170391859127	0.8124706458553	888	0	0.127088552520432	1.14473237709626	2.40684311297224
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	Pt09_T1	primary tumor	endothelial_review	630	0.0720218151751692	0.164622163617487	0.265932661594767	0.294030877070819	630	0.169113811793229	0.258231069057427	0.393612882206953	0.371059063797605
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	Pt09_T1	primary tumor	epithelial_review	419	0.108309060205863	0.296255612076178	0.944111183542382	2.19624517756444	419	0.217253953348926	0.617985376035122	1.25735418375185	2.75827055123015
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	Pt09_T1	primary tumor	immune_review	2538	0.694133443788869	1.22743879274302	1.21530152359952	1.7718978365272	2538	0.902372563326387	1.65025995603113	1.43716171596667	1.96440838975456
GSE245552	gse245552_Pt09_T1_working_qc_sparse_matrix	Pt09_T1	primary tumor	pericyte_review	58	0.15206454815454	1.07764581671998	0.962607572263559	1.50504905186649	58	0.75311568677071	2.62085198989614	2.13182465431901	3.17606462599301
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	Pt10_T1	primary tumor	caf_ecm_review	1435	0	0	0.00933170735833339	0	1435	0	0	0.0132870332177744	0
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	Pt10_T1	primary tumor	endothelial_review	642	0.0759738239612253	0.162218814602007	0.188234446805551	0.27147245405786	642	0.154323173700257	0.226879187174546	0.272735107909904	0.333689738648674
GSE245552	gse245552_Pt10_T1_working_qc_sparse_matrix	Pt10_T1	primary tumor	epithelial_review	957	0.322279779549069	1.31096351456904	1.2436305417111	1.92990164354487	957	0.618602773817578	2.09117405997847	1.81513782228635	2.73945879567599
