dataset_id	object_label	sample_label	tissue_site	review_class	cell_count	total_cells	fraction
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	endothelial_review	556	6002	0.0926357880706431
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	epithelial_review	2788	6002	0.464511829390203
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	immune_review	2249	6002	0.374708430523159
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	pericyte_review	87	6002	0.0144951682772409
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	caf_ecm_review	579	3269	0.177118384827164
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	endothelial_review	527	3269	0.161211379626797
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	epithelial_review	1031	3269	0.315386968491894
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	immune_review	968	3269	0.296115019883756
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	pericyte_review	164	3269	0.0501682471703885
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	caf_ecm_review	145	5969	0.024292176243927
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	endothelial_review	129	5969	0.0216116602445971
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	epithelial_review	2199	5969	0.368403417657899
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	immune_review	3164	5969	0.530072038867482
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	pericyte_review	332	5969	0.0556207069860948
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	caf_ecm_review	100	2220	0.045045045045045
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	endothelial_review	69	2220	0.0310810810810811
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	epithelial_review	1515	2220	0.682432432432432
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	immune_review	525	2220	0.236486486486486
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	pericyte_review	11	2220	0.00495495495495495
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	caf_ecm_review	73	3218	0.0226848974518334
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	endothelial_review	29	3218	0.00901180857675575
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	epithelial_review	2197	3218	0.68272218769422
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	immune_review	906	3218	0.281541330018645
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	pericyte_review	13	3218	0.00403977625854568
