dataset_id	object_label	sample_label	tissue_site	review_class	top_marker_program	marker_group	gene_symbol	present	cell_count	pct_expr	mean_log_norm
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	immune_context	PTPRC	TRUE	47	0.106382978723404	0.127158948522513
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	immune_context	PTPRC	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	inflammatory_caf	C3	TRUE	574	0.17595818815331	0.364545164791953
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	inflammatory_caf	C3	TRUE	47	0.297872340425532	0.614656956321692
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	inflammatory_caf	C3	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	inflammatory_caf	CFD	TRUE	574	0.0853658536585366	0.194012284907634
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	inflammatory_caf	CFD	TRUE	47	0.702127659574468	1.45907904691462
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	inflammatory_caf	CFD	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	inflammatory_caf	CXCL12	TRUE	574	0.111498257839721	0.162642503301496
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	inflammatory_caf	CXCL12	TRUE	47	0.170212765957447	0.295476571427523
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	inflammatory_caf	CXCL12	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	inflammatory_caf	CXCL14	TRUE	574	0.123693379790941	0.31278699995783
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	inflammatory_caf	CXCL14	TRUE	47	0.191489361702128	0.570541025700187
