dataset_id	object_label	object_path	file_size_bytes	cells
GSE245552	gse245552_Pt15_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt15_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	101484	4698
GSE245552	gse245552_Pt15_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt15_Z1_working_qc_sparse_matrix_stromal_first_pass_review.rds	101048	5170
GSE245552	gse245552_Pt16_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt16_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	5837	347
GSE245552	gse245552_Pt16_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt16_Z1_working_qc_sparse_matrix_stromal_first_pass_review.rds	5092	255
GSE245552	gse245552_Pt17_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt17_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	24310	1517
GSE245552	gse245552_Pt17_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt17_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	30998	1804
GSE245552	gse245552_Pt17_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt17_Z1_working_qc_sparse_matrix_stromal_first_pass_review.rds	59350	3570
GSE245552	gse245552_Pt18_T1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt18_T1_working_qc_sparse_matrix_stromal_first_pass_review.rds	67413	3264
GSE245552	gse245552_Pt18_T2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt18_T2_working_qc_sparse_matrix_stromal_first_pass_review.rds	92621	4759
GSE245552	gse245552_Pt18_Z1_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt18_Z1_working_qc_sparse_matrix_stromal_first_pass_review.rds	53717	2793
GSE245552	gse245552_Pt18_Z2_working_qc_sparse_matrix	I:/shengxinfenxi/bioinformatics-reproduction/projects/crlm-caf-ecm-spatial-niche/desktop_exchange/requests/20260708_core_geo_download/derived_stromal_first_pass_review_20260708/gse245552_Pt18_Z2_working_qc_sparse_matrix_stromal_first_pass_review.rds	119012	5952
