cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
3	8.13620649573041e-25	2.09349063189416	0.248	0.086	2.00655124597703e-20	MMP12
3	9.61428429042055e-25	0.7711700377951	0.76	0.563	2.37107479170352e-20	SEPW1
3	7.10834156277481e-24	0.536480421098019	0.885	0.76	1.75305919621152e-19	CAPG
3	7.73469061883293e-23	0.886624044078786	0.64	0.432	1.90752940041658e-18	TXNDC17
3	8.62251094027135e-23	1.47113269404529	0.371	0.179	2.12648364808972e-18	MRPL17
3	2.17856364036637e-22	1.20348912316186	0.48	0.276	5.37277364987154e-18	LINC00116
3	2.33697169178831e-22	0.950887912908346	0.64	0.447	5.76343958628832e-18	FBP1
3	2.91670575721275e-22	0.458650934830325	0.885	0.777	7.19317973843809e-18	NDUFB2
3	2.94052182072346e-22	0.504667273453801	0.89	0.749	7.25191491426819e-18	USMG5
3	3.50561011010972e-22	0.406702810301477	0.906	0.811	8.6455356535526e-18	AP2S1
3	4.0634844300971e-22	0.656922543140238	0.789	0.595	1.00213653015055e-17	TMEM176B
3	6.31943488006711e-22	0.582555290943137	0.791	0.637	1.55849903012215e-17	MYDGF
3	1.036400431307e-21	0.918120904160209	0.595	0.396	2.55597074368932e-17	DNPH1
3	1.34594530296501e-21	0.333886019610712	0.94	0.879	3.3193703061723e-17	PPIB
3	2.50814171180824e-21	0.901689073640607	0.614	0.417	6.18557908966147e-17	TOMM5
3	2.64118744200516e-21	1.50470782542415	0.35	0.168	6.51369646947313e-17	DCTPP1
3	3.54562035917707e-21	0.759373841002476	0.7	0.508	8.74420892980249e-17	PHPT1
3	4.38389682335543e-21	0.843282276042199	0.648	0.457	1.08115663457592e-16	TIMM8B
3	1.18785619218331e-20	1.52416727093176	0.366	0.185	2.92949094116249e-16	BOLA3
3	1.73879000639007e-20	0.85164479714712	0.663	0.477	4.28820391375919e-16	NENF
3	2.53444178232068e-20	0.423050963178917	0.93	0.809	6.25044032355926e-16	NDUFA4
3	2.76140131808733e-20	1.18454469412268	0.457	0.265	6.81016793066697e-16	CBR1
3	3.34516870729031e-20	0.680267533687031	0.762	0.591	8.24985506591937e-16	RPS27L
4	1.82669898809984e-172	2.02353332371317	0.974	0.254	4.50500504445183e-168	S100A12
4	9.84978145057066e-148	2.39377291866543	0.697	0.137	2.42915310133974e-143	CDA
4	9.40039220862089e-143	3.95395940938106	0.403	0.039	2.31832472649008e-138	ADAMTS2
4	1.88714099972615e-128	2.18123508459598	0.721	0.184	4.65406713352462e-124	RBP7
4	8.53829677331571e-114	2.98336606248336	0.408	0.053	2.10571475023512e-109	PADI4
4	3.90912713880702e-109	2.90166542943784	0.418	0.06	9.64068934972587e-105	RP6-159A1.4
4	7.04816145087264e-104	1.82016917313517	0.755	0.255	1.73821757701421e-99	SELL
4	9.84979315793503e-103	1.88381940721902	0.732	0.243	2.42915598860994e-98	ICAM3
4	6.15527437743914e-101	1.17809182084812	1	0.565	1.51801376696404e-96	S100A8
