relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_059.fastq.gz	32621238	gzip	@A00153:862:HGGWHDSX2:3:1246:17996:5572 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_060.fastq.gz	32174066	gzip	@A00153:862:HGGWHDSX2:3:1368:14814:1125 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_061.fastq.gz	31994371	gzip	@A00153:862:HGGWHDSX2:3:2144:29686:18082 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_062.fastq.gz	34106789	gzip	@A00153:862:HGGWHDSX2:3:1246:2682:10238 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_063.fastq.gz	35084458	gzip	@A00153:862:HGGWHDSX2:3:1228:10682:14920 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_064.fastq.gz	37293000	gzip	@A00153:862:HGGWHDSX2:3:2469:9833:17675 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_065.fastq.gz	33670759	gzip	@A00153:862:HGGWHDSX2:3:1164:12237:34867 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_066.fastq.gz	32881086	gzip	@A00153:862:HGGWHDSX2:3:1271:24153:9815 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_067.fastq.gz	32726603	gzip	@A00153:862:HGGWHDSX2:3:2270:32398:2425 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_068.fastq.gz	32915685	gzip	@A00153:862:HGGWHDSX2:3:2336:31783:5556 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_069.fastq.gz	33675643	gzip	@A00153:862:HGGWHDSX2:3:1371:4065:7780 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_070.fastq.gz	34582276	gzip	@A00153:862:HGGWHDSX2:3:1122:7202:13745 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_071.fastq.gz	33316132	gzip	@A00153:862:HGGWHDSX2:3:1613:15040:19398 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_072.fastq.gz	34124150	gzip	@A00153:862:HGGWHDSX2:3:1118:14163:35790 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_073.fastq.gz	33199097	gzip	@A00153:862:HGGWHDSX2:3:2536:1072:34914 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_074.fastq.gz	35293727	gzip	@A00153:862:HGGWHDSX2:3:2355:2031:10238 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_075.fastq.gz	32154327	gzip	@A00153:862:HGGWHDSX2:3:1374:8034:35540 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_076.fastq.gz	33459320	gzip	@A00153:862:HGGWHDSX2:3:2318:3613:16141 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_077.fastq.gz	33616727	gzip	@A00153:862:HGGWHDSX2:3:2145:27787:7560 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_078.fastq.gz	34683272	gzip	@A00153:862:HGGWHDSX2:3:1416:9408:17754 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_079.fastq.gz	33839596	gzip	@A00153:862:HGGWHDSX2:3:1156:13919:33739 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_080.fastq.gz	33783466	gzip	@A00153:862:HGGWHDSX2:3:1464:11125:24330 1:N:0:0	100	28:100
