timestamp	output_bytes	guest_available_bytes
2026-07-14T08:36:20+00:00	14666818231	64687620096
2026-07-14T08:36:30+00:00	14691267421	64663171072
2026-07-14T08:36:40+00:00	14715507756	64638918656
2026-07-14T08:36:50+00:00	14742644457	64611651584
2026-07-14T08:37:00+00:00	14768075434	64586088448
2026-07-14T08:37:10+00:00	14791922480	64562372608
2026-07-14T08:37:21+00:00	14818598092	64535826432
2026-07-14T08:37:31+00:00	14839690830	64514736128
2026-07-14T08:37:41+00:00	14861568279	64492855296
2026-07-14T08:37:51+00:00	14886536904	64467820544
2026-07-14T08:38:01+00:00	14914678558	64439746560
2026-07-14T08:38:11+00:00	14939936388	64414412800
2026-07-14T08:38:21+00:00	14965786103	64388235264
2026-07-14T08:38:31+00:00	14990500213	64363778048
2026-07-14T08:38:41+00:00	15015458876	64338558976
2026-07-14T08:38:52+00:00	15041103491	64313307136
2026-07-14T08:39:02+00:00	15066531757	64287748096
2026-07-14T08:39:12+00:00	15093343172	64261062656
2026-07-14T08:39:22+00:00	15118727222	64235679744
2026-07-14T08:39:32+00:00	15142878053	64211525632
2026-07-14T08:39:42+00:00	15168493009	64185913344
2026-07-14T08:39:52+00:00	15195660283	64158744576
2026-07-14T08:40:02+00:00	15220263873	64134123520
2026-07-14T08:40:12+00:00	15245492760	64108904448
2026-07-14T08:40:23+00:00	15269455443	64084877312
2026-07-14T08:40:33+00:00	15294480670	64059908096
2026-07-14T08:40:43+00:00	15321439723	64032497664
2026-07-14T08:40:53+00:00	15346817531	64007438336
2026-07-14T08:41:03+00:00	15371592535	63982792704
2026-07-14T08:41:13+00:00	15398701738	63955488768
2026-07-14T08:41:23+00:00	15423615369	63930638336
2026-07-14T08:41:33+00:00	15448965780	63905284096
2026-07-14T08:41:43+00:00	15473496284	63880884224
2026-07-14T08:41:54+00:00	15497893565	63856418816
2026-07-14T08:42:04+00:00	15525129298	63829118976
2026-07-14T08:42:14+00:00	15550976241	63803392000
2026-07-14T08:42:24+00:00	15576791232	63777214464
2026-07-14T08:42:34+00:00	15598151799	63756091392
2026-07-14T08:42:44+00:00	15625060652	63729115136
2026-07-14T08:42:54+00:00	15650162883	63704207360
2026-07-14T08:43:04+00:00	15675379087	63678865408
2026-07-14T08:43:14+00:00	15701539241	63652700160
2026-07-14T08:43:25+00:00	15725586794	63628648448
2026-07-14T08:43:35+00:00	15751088558	63603281920
2026-07-14T08:43:45+00:00	15775282728	63579017216
2026-07-14T08:43:55+00:00	15801012243	63553224704
2026-07-14T08:44:05+00:00	15827241460	63527124992
2026-07-14T08:44:15+00:00	15852012784	63502225408
2026-07-14T08:44:25+00:00	15876979155	63477383168
2026-07-14T08:44:35+00:00	15903011515	63451348992
2026-07-14T08:44:45+00:00	15928159435	63425736704
2026-07-14T08:44:55+00:00	15955304532	63399051264
2026-07-14T08:45:06+00:00	15981010491	63373344768
2026-07-14T08:45:16+00:00	16002324358	63351611392
2026-07-14T08:45:26+00:00	16029741622	63324610560
2026-07-14T08:45:36+00:00	16055437416	63298850816
2026-07-14T08:45:46+00:00	16079828547	63274516480
2026-07-14T08:45:56+00:00	16105102987	63249244160
2026-07-14T08:46:06+00:00	16132975615	63221370880
2026-07-14T08:46:16+00:00	16157027714	63197315072
2026-07-14T08:46:26+00:00	16181554961	63172722688
2026-07-14T08:46:37+00:00	16206297288	63148044288
2026-07-14T08:46:47+00:00	16232158022	63121960960
2026-07-14T08:46:57+00:00	16259443448	63094894592
2026-07-14T08:47:07+00:00	16286576240	63067688960
2026-07-14T08:47:17+00:00	16312497922	63041830912
2026-07-14T08:47:27+00:00	16338113511	63016087552
2026-07-14T08:47:37+00:00	16363951670	62990245888
2026-07-14T08:47:47+00:00	16387947873	62966312960
2026-07-14T08:47:57+00:00	16410822103	62943371264
2026-07-14T08:48:07+00:00	16436492627	62917554176
2026-07-14T08:48:18+00:00	16463065407	62891126784
2026-07-14T08:48:28+00:00	16489308344	62865010688
2026-07-14T08:48:38+00:00	16515591657	62838579200
2026-07-14T08:48:48+00:00	16541334012	62812983296
2026-07-14T08:48:58+00:00	16565318756	62788997120
2026-07-14T08:49:08+00:00	16589926091	62764384256
2026-07-14T08:49:18+00:00	16614670586	62739640320
2026-07-14T08:49:28+00:00	16636283908	62717964288
2026-07-14T08:49:38+00:00	16661427479	62692716544
2026-07-14T08:49:49+00:00	16687960292	62666215424
2026-07-14T08:49:59+00:00	16712263395	62642040832
2026-07-14T08:50:09+00:00	16733905625	62620401664
2026-07-14T08:50:19+00:00	16754740853	62599565312
2026-07-14T08:50:29+00:00	16778287502	62575951872
2026-07-14T08:50:39+00:00	16804396701	62549893120
2026-07-14T08:50:49+00:00	16830676097	62523482112
2026-07-14T08:50:59+00:00	16855438079	62498852864
2026-07-14T08:51:09+00:00	16881794714	62472294400
2026-07-14T08:51:19+00:00	16907225978	62447063040
2026-07-14T08:51:30+00:00	16930950175	62423339008
2026-07-14T08:51:40+00:00	16950511000	62403645440
2026-07-14T08:51:50+00:00	16977115346	62377168896
2026-07-14T08:52:00+00:00	17002150109	62352003072
2026-07-14T08:52:10+00:00	17028875453	62325272576
2026-07-14T08:52:20+00:00	17056507996	62297645056
2026-07-14T08:52:30+00:00	17082049778	62272229376
2026-07-14T08:52:40+00:00	17109113348	62245036032
2026-07-14T08:52:50+00:00	17132998206	62221279232
2026-07-14T08:53:01+00:00	17156358010	62197919744
2026-07-14T08:53:11+00:00	17180831654	62173446144
2026-07-14T08:53:21+00:00	17204897682	62149185536
2026-07-14T08:53:31+00:00	17227991852	62126280704
2026-07-14T08:53:41+00:00	17250163183	62103977984
2026-07-14T08:53:51+00:00	17271709395	62082428928
2026-07-14T08:54:01+00:00	17293645063	62060556288
2026-07-14T08:54:11+00:00	17317376732	62036824064
2026-07-14T08:54:21+00:00	17340742131	62013530112
2026-07-14T08:54:31+00:00	17365306382	61988962304
2026-07-14T08:54:42+00:00	17389161487	61965107200
2026-07-14T08:54:52+00:00	17410581692	61943685120
2026-07-14T08:55:02+00:00	17434433736	61919834112
2026-07-14T08:55:12+00:00	17457277841	61896663040
2026-07-14T08:55:22+00:00	17479459569	61874802688
2026-07-14T08:55:32+00:00	17500724802	61853405184
2026-07-14T08:55:42+00:00	17522958593	61831303168
2026-07-14T08:55:52+00:00	17547408897	61806723072
2026-07-14T08:56:02+00:00	17572688480	61781307392
2026-07-14T08:56:13+00:00	17598857186	61755400192
2026-07-14T08:56:23+00:00	17623142349	61731045376
2026-07-14T08:56:33+00:00	17649985496	61704265728
2026-07-14T08:56:43+00:00	17676181685	61677993984
2026-07-14T08:56:53+00:00	17697142047	61656981504
2026-07-14T08:57:03+00:00	17718740553	61635510272
2026-07-14T08:57:13+00:00	17744417358	61609832448
2026-07-14T08:57:23+00:00	17769791398	61584322560
2026-07-14T08:57:34+00:00	17796732939	61557448704
2026-07-14T08:57:44+00:00	17823171611	61530681344
2026-07-14T08:57:54+00:00	17848370952	61505867776
2026-07-14T08:58:04+00:00	17875656729	61478334464
2026-07-14T08:58:14+00:00	17902405506	61451767808
2026-07-14T08:58:24+00:00	17926408954	61427826688
2026-07-14T08:58:34+00:00	17951363644	61402738688
2026-07-14T08:58:44+00:00	17977690645	61376475136
2026-07-14T08:58:54+00:00	18003562904	61350666240
2026-07-14T08:59:05+00:00	18031812389	61322285056
2026-07-14T08:59:15+00:00	18057325917	61296816128
2026-07-14T08:59:25+00:00	18081264836	61272961024
2026-07-14T08:59:35+00:00	18106144579	61248036864
2026-07-14T08:59:45+00:00	18130351230	61223735296
2026-07-14T08:59:55+00:00	18156909832	61197307904
2026-07-14T09:00:05+00:00	18182844202	61171240960
2026-07-14T09:00:15+00:00	18206060555	61147820032
2026-07-14T09:00:25+00:00	18229216015	61124993024
2026-07-14T09:00:36+00:00	18255038755	61098995712
2026-07-14T09:00:46+00:00	18278240797	61075968000
2026-07-14T09:00:56+00:00	18304050156	61049962496
2026-07-14T09:01:06+00:00	18327989994	61026217984
2026-07-14T09:01:16+00:00	18354666214	60999536640
2026-07-14T09:01:26+00:00	18380483840	60973592576
2026-07-14T09:01:36+00:00	18405152978	60948983808
2026-07-14T09:01:46+00:00	18428613385	60925587456
2026-07-14T09:01:56+00:00	18454058312	60899811328
2026-07-14T09:02:07+00:00	18479913159	60874289152
2026-07-14T09:02:17+00:00	18506375745	60847656960
2026-07-14T09:02:27+00:00	18533388275	60820811776
2026-07-14T09:02:37+00:00	18560159614	60793901056
2026-07-14T09:02:47+00:00	18586162256	60768030720
2026-07-14T09:02:57+00:00	18611613225	60742381568
2026-07-14T09:03:07+00:00	18634649315	60719407104
2026-07-14T09:03:17+00:00	18659860361	60694327296
2026-07-14T09:03:27+00:00	18685184653	60668809216
2026-07-14T09:03:38+00:00	18711325548	60642787328
2026-07-14T09:03:48+00:00	18736267879	60617846784
2026-07-14T09:03:58+00:00	18763675515	60590370816
2026-07-14T09:04:08+00:00	18788872032	60565303296
2026-07-14T09:04:18+00:00	18815954286	60538150912
2026-07-14T09:04:28+00:00	18842227789	60511739904
2026-07-14T09:04:38+00:00	18869364962	60484800512
2026-07-14T09:04:48+00:00	18894460044	60459704320
2026-07-14T09:04:58+00:00	18920289156	60433539072
2026-07-14T09:05:09+00:00	18945085492	60408942592
