integration_feature	anchor_feature	integrated_correction_feature
C7	TRUE	TRUE
STC1	TRUE	TRUE
CCL8	TRUE	TRUE
SOD3	TRUE	TRUE
MT1X	TRUE	TRUE
HLA-DRB1	TRUE	TRUE
IGHV3-23	TRUE	TRUE
PCLAF	TRUE	TRUE
SCG5	TRUE	TRUE
CAVIN2	TRUE	TRUE
CCNB1	TRUE	TRUE
GDF15	TRUE	TRUE
GJA4	TRUE	TRUE
PLA2G2A	TRUE	TRUE
CRYAB	TRUE	TRUE
LIFR	TRUE	TRUE
HTRA1	TRUE	TRUE
WFDC2	TRUE	TRUE
CDC20	TRUE	TRUE
EDN1	TRUE	TRUE
CA2	TRUE	TRUE
MT2A	TRUE	TRUE
TRIM31	TRUE	TRUE
FXYD3	TRUE	TRUE
SPON2	TRUE	TRUE
COL4A2	TRUE	TRUE
SNCG	TRUE	TRUE
RGS16	TRUE	TRUE
NTS	TRUE	TRUE
HYAL2	TRUE	TRUE
CEACAM5	TRUE	TRUE
TYMS	TRUE	TRUE
FAM167B	TRUE	TRUE
CD83	TRUE	TRUE
SERPINA1	TRUE	TRUE
S100B	TRUE	TRUE
IGHV4-39	TRUE	TRUE
CTHRC1	TRUE	TRUE
MAFB	TRUE	TRUE
IGHV3-74	TRUE	TRUE
PLAU	TRUE	TRUE
KLRC1	TRUE	TRUE
PODXL	TRUE	TRUE
IGLV2-11	TRUE	TRUE
TPSAB1	TRUE	TRUE
ADIRF	TRUE	TRUE
MMP11	TRUE	TRUE
WNT5A	TRUE	TRUE
CALCRL	TRUE	TRUE
TPH1	TRUE	TRUE
SFRP4	TRUE	TRUE
EMP1	TRUE	TRUE
TNFAIP6	TRUE	TRUE
APLN	TRUE	TRUE
RRM2	TRUE	TRUE
EGFL6	TRUE	TRUE
ICAM1	TRUE	TRUE
TFPI	TRUE	TRUE
AGR2	TRUE	TRUE
THBS2	TRUE	TRUE
CD36	TRUE	TRUE
FLNA	TRUE	TRUE
JAM2	TRUE	TRUE
MYLK	TRUE	TRUE
IL6	TRUE	TRUE
BCL2A1	TRUE	TRUE
RRAD	TRUE	TRUE
ADAMTS4	TRUE	TRUE
APOD	TRUE	TRUE
EMCN	TRUE	TRUE
PLAUR	TRUE	TRUE
CAVIN3	TRUE	TRUE
XBP1	TRUE	TRUE
IGLV2-23	TRUE	TRUE
NUSAP1	TRUE	TRUE
FBN1	TRUE	TRUE
HMGB2	TRUE	TRUE
HEPACAM2	TRUE	TRUE
SMOC2	TRUE	TRUE
ISLR	TRUE	TRUE
GZMH	TRUE	TRUE
PCDH17	TRUE	TRUE
FEV	TRUE	TRUE
FBLN2	TRUE	TRUE
CD7	TRUE	TRUE
NEUROD1	TRUE	TRUE
CTSB	TRUE	TRUE
THBD	TRUE	TRUE
LYVE1	TRUE	TRUE
SELENOM	TRUE	TRUE
RGS2	TRUE	TRUE
ANXA1	TRUE	TRUE
FHL1	TRUE	TRUE
IGLV1-44	TRUE	TRUE
PRSS23	TRUE	TRUE
KLF2	TRUE	TRUE
COL5A1	TRUE	TRUE
IDO1	TRUE	TRUE
VSIG4	TRUE	TRUE
IFI6	TRUE	TRUE
TRBC2	TRUE	TRUE
IGLV2-8	TRUE	TRUE
AC020656.1	TRUE	TRUE
OLR1	TRUE	TRUE
PLPP3	TRUE	TRUE
ADM	TRUE	TRUE
XCL2	TRUE	TRUE
HLA-DQA2	TRUE	TRUE
OSR2	TRUE	TRUE
TRGC2	TRUE	TRUE
LTB	TRUE	TRUE
L1TD1	TRUE	TRUE
INSM1	TRUE	TRUE
SLIT3	TRUE	TRUE
LOXL2	TRUE	TRUE
LTBP4	TRUE	TRUE
CDH5	TRUE	TRUE
IGLV1-51	TRUE	TRUE
CD3D	TRUE	TRUE
CRYBA2	TRUE	TRUE
CTSE	TRUE	TRUE
FCER1A	TRUE	TRUE
KRT17	TRUE	TRUE
IGLV3-1	TRUE	TRUE
ATOH1	TRUE	TRUE
PMP22	TRUE	TRUE
BASP1	TRUE	TRUE
ACP5	TRUE	TRUE
PDGFRA	TRUE	TRUE
SLC2A3	TRUE	TRUE
ID1	TRUE	TRUE
VWA1	TRUE	TRUE
TFPI2	TRUE	TRUE
IGFBP4	TRUE	TRUE
IGLV3-21	TRUE	TRUE
EMILIN1	TRUE	TRUE
IGSF6	TRUE	TRUE
CXCL5	TRUE	TRUE
TRAC	TRUE	TRUE
ANPEP	TRUE	TRUE
TNF	TRUE	TRUE
TREM2	TRUE	TRUE
FGF7	TRUE	TRUE
PLAC9	TRUE	TRUE
THBS1	TRUE	TRUE
IGKV3-15	TRUE	TRUE
FTL	TRUE	TRUE
GSN	TRUE	TRUE
COL8A1	TRUE	TRUE
ASPN	TRUE	TRUE
S100P	TRUE	TRUE
IGHV3-48	TRUE	TRUE
TSPAN1	TRUE	TRUE
HSPG2	TRUE	TRUE
FABP5	TRUE	TRUE
MMRN2	TRUE	TRUE
NFKBIA	TRUE	TRUE
CPA3	TRUE	TRUE
HPGD	TRUE	TRUE
GADD45B	TRUE	TRUE
SPRY1	TRUE	TRUE
CH25H	TRUE	TRUE
UCN3	TRUE	TRUE
CCL22	TRUE	TRUE
SYNPO2	TRUE	TRUE
CD55	TRUE	TRUE
CD74	TRUE	TRUE
LAMC2	TRUE	TRUE
TCF4	TRUE	TRUE
MRC1	TRUE	TRUE
WTIP	TRUE	TRUE
TBX2	TRUE	TRUE
TNFAIP2	TRUE	TRUE
KLK1	TRUE	TRUE
SDC2	TRUE	TRUE
HEG1	TRUE	TRUE
KCTD12	TRUE	TRUE
FCN3	TRUE	TRUE
ABCA8	TRUE	TRUE
KLRC2	TRUE	TRUE
CD1E	TRUE	TRUE
CCNB2	TRUE	TRUE
TM4SF18	TRUE	TRUE
ALDOB	TRUE	TRUE
CCL14	TRUE	TRUE
