gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
RPS23	5	3.78616775143143	0.849205825615091	61542601	0.833318542576905	0	0	99.5948136142626	94.6497794412512	TRUE	TRUE	15
RPL19	5	3.89863175294184	0.826943500549962	61385561.5	0.831192146793487	0	0	99.6353322528363	95.0374281513167	TRUE	TRUE	16
RPL3	5	3.81689971660912	0.944879061303967	61129184	0.82772066328161	0	0	99.6353322528363	92.0632268413314	TRUE	TRUE	17
RPS3	5	4.09175925990685	0.82515943215041	60743742	0.822501579907348	0	0	99.7568881685575	95.2847212939447	TRUE	TRUE	18
TPT1	5	4.63818753121252	0.786090196555447	60475096.5	0.818863981351352	0	0	99.9189627228525	98.4961903488838	TRUE	TRUE	19
RPS18	5	4.18758343665913	0.835155262692246	60442414	0.818421443453616	0	0	99.8784440842788	96.4276166287929	TRUE	TRUE	20
RPL21	5	3.81870064318024	1.03666795183644	60346052.5	0.817116659069535	0	0	99.2301458670989	89.7774361716348	TRUE	TRUE	21
RPL18	5	3.71325150143521	0.776093087365164	60274365	0.816145973364831	0	0	99.5137763371151	94.6831974334982	TRUE	TRUE	22
RPL5	5	3.34502373878726	0.987289035428841	60266798.5	0.816043519054322	0	0	98.6223662884927	85.9677850554739	TRUE	TRUE	23
RPL18A	5	3.8032522877256	0.835609757488381	60230774.5	0.815555735524052	0	0	99.6353322528363	94.1819275497928	TRUE	TRUE	24
RPS16	5	3.5577938231265	0.808583111081623	59952738.5	0.811790984757279	0	0	99.4327390599676	93.0256650180457	TRUE	TRUE	25
RPS4X	5	3.92418518784273	0.822402359631356	59850127	0.810401572151341	0	0	99.7974068071313	94.9070979815533	TRUE	TRUE	26
RPS2	5	4.04818439284223	0.762985061557907	59318405.5	0.80320178894041	0	0	99.7163695299838	95.6790536024596	TRUE	TRUE	27
RPL34	5	3.91789347467616	0.912479779795619	59191943.5	0.801489428269607	0	0	99.7163695299838	94.8235530009357	TRUE	TRUE	28
RPL39	5	4.20967117350274	0.754144306261257	59048488	0.799546966848702	0	0	99.9594813614263	97.607271755113	TRUE	TRUE	29
RPL29	5	3.54532139213779	0.755001793513241	58959443.5	0.798341258416514	0	0	99.4327390599676	93.8009624381767	TRUE	TRUE	30
RPL14	5	3.428902139338	0.762470268321124	58822499.5	0.796486966062269	0	0	99.1085899513777	92.7482956823954	TRUE	TRUE	31
RPS5	5	3.11800846267158	0.959577162553264	58417583.5	0.791004194689215	0	0	96.6369529983793	82.1080069509424	TRUE	TRUE	32
RPS25	5	3.52575901092184	0.776517660353317	58257346	0.788834496337236	0	0	99.3517017828201	93.3431359443925	TRUE	TRUE	33
RPS28	5	3.79175302107196	0.771064920741938	58238148	0.788574545520722	0	0	99.7568881685575	94.9739339660473	TRUE	TRUE	34
RPL7	5	3.17972502849927	0.915753460978372	58208353	0.788171105861483	0	0	98.2171799027553	85.9243416655527	TRUE	TRUE	35
RPL22	5	2.9214350107017	0.915024487854263	58097196	0.786665982780364	0	0	96.8800648298217	81.8774228044379	TRUE	TRUE	36
RPS15A	5	3.98277375910898	0.675988307317345	57916897.5	0.784224648146997	0	0	99.837925445705	97.02245689079	TRUE	TRUE	37
RPL10A	5	3.21611289194461	0.873355214350442	57825791.5	0.782991025942111	0	0	97.8119935170178	85.9510760593504	TRUE	TRUE	38
EEF1B2	5	2.62420435425659	1.05161974415188	57697780.5	0.781257691012802	0	0	92.5445705024311	68.7875952412779	TRUE	TRUE	39
RPL12	5	3.64891693944662	0.676522569419967	57394105	0.77714576819894	0	0	99.5948136142626	95.4952546451009	TRUE	TRUE	40
RPS9	5	3.24904207863053	0.815857942758031	57333858	0.776329992761782	0	0	98.3387358184765	88.0497259724636	TRUE	TRUE	41
RPL35A	5	3.28770558521202	0.83674354437103	57268085	0.775439392435986	0	0	98.419773095624	88.9085683732121	TRUE	TRUE	42
RPL28	5	4.21908538015583	0.572785092879899	57042787.5	0.772388748145762	0	0	99.9189627228525	98.3190749899746	TRUE	TRUE	43
RPLP2	5	3.72219842057931	0.734171574734139	56968637	0.771384712151389	0	0	99.4327390599676	94.9238069776768	TRUE	TRUE	44
RPL37	5	3.48613424473536	0.766438919399264	56869386	0.770040802447779	0	0	99.1085899513777	92.6012565165085	TRUE	TRUE	45
RPL13A	5	3.7743332026644	0.762709608689254	56745541.5	0.768363884076289	0	0	99.7568881685575	94.2788397273092	TRUE	TRUE	46
RPSA	5	3.10024723207119	0.850684183123985	56592633	0.766293424162389	0	0	96.4748784440843	83.865793343136	TRUE	TRUE	47
RPL23A	5	3.56251420381396	0.697777114818733	56232705	0.761419813500522	0	0	99.1896272285251	93.5870872877957	TRUE	TRUE	48
RPS27	5	4.17042222252882	0.856534416776256	55914542.5	0.757111729238653	0	0	99.7568881685575	94.572918059083	TRUE	TRUE	49
RPS10	5	2.78692432354227	0.884970014404442	55707130.5	0.754303263838353	0	0	94.3679092382496	77.5898943991445	TRUE	TRUE	50
TRDC	6	1.89255310675147	1.67898875428319	57996993	0.813216579103939	0	0	69.949494949495	8.80197228144989	TRUE	TRUE	1
CCL5	6	3.98367647291712	1.92532462153357	57828108.5	0.810848530895756	0	0	98.1481481481482	59.2484008528785	TRUE	TRUE	2
KLRD1	6	1.9385502017788	1.43476150061228	57599493	0.80764295237826	0	0	81.523569023569	22.7611940298507	TRUE	TRUE	3
CD7	6	2.4830337576706	1.28887892599965	57120060	0.800920485505374	0	0	90.4461279461279	54.6242004264392	TRUE	TRUE	4
HOPX	6	1.69616839512666	1.29243756881982	56325379.5	0.78977771198795	0	0	74.0319865319865	19.9626865671642	TRUE	TRUE	5
CD63	6	1.93614407954429	1.10044072973028	54625276	0.765939366569031	0	0	82.7441077441077	42.2008262260128	TRUE	TRUE	6
KLRC2	6	1.35863522999361	1.160917576059	53870568.5	0.755357082563822	0	0	59.5117845117845	9.49493603411514	TRUE	TRUE	7
CTSW	6	1.43936218851603	0.933051683190283	50117757	0.702736276342853	0	0	61.9949494949495	24.4969349680171	TRUE	TRUE	8
NKG7	6	2.26237610591356	1.08824505246048	49906808	0.69977841223177	5.60829352825165e-273	5.71194310123675e-270	82.8282828282828	43.5334488272921	TRUE	TRUE	9
FCER1G	6	0.939132474065401	0.830258263891824	49127872.5	0.688856410419493	0	0	42.7609427609428	5.83355543710021	TRUE	TRUE	10
KIR2DL4	6	0.768428867091289	0.697106593924728	49078212.5	0.688160092675601	0	0	41.540404040404	4.1111407249467	TRUE	TRUE	11
ITGA1	6	1.0970744796403	0.743753707011988	48785927.5	0.684061759373676	0	0	54.0824915824916	18.5501066098081	TRUE	TRUE	12
TYROBP	6	0.9913278264637	0.852589990198145	48472344	0.679664784842024	0	0	41.8771043771044	7.06956289978678	TRUE	TRUE	13
XCL2	6	0.975541611273744	0.748464261036157	48447632.5	0.679318287541818	0	0	46.9276094276094	11.6337953091684	TRUE	TRUE	14
GNLY	6	1.86586929272182	1.34736713281484	47813909	0.67043240518637	0	0	47.6010101010101	16.1413912579957	TRUE	TRUE	15
CD160	6	0.807390017396886	0.678164719020135	47802111	0.670266977140811	0	0	40.6565656565657	7.09621535181237	TRUE	TRUE	16
KLRC1	6	1.0176086915535	0.854463130554308	47738124	0.669369770465853	0	0	40.4882154882155	7.38939232409382	TRUE	TRUE	17
TRGC2	6	1.24331051668758	0.780048346955942	47503881.5	0.666085291828645	6.99365973731656e-282	7.69274596465873e-279	52.6094276094276	22.0582356076759	TRUE	TRUE	18
GSTP1	6	1.26124074594065	0.645350474269303	47442094	0.665218925888236	8.87483502142841e-216	8.13496960847533e-213	62.3316498316498	33.5487739872068	TRUE	TRUE	19
GZMA	6	2.17513772983901	0.92889754685847	46905746	0.657698413820149	6.35231761018489e-170	4.59690478848617e-167	68.8552188552189	45.2525319829424	TRUE	TRUE	20
HCST	6	1.87027293308241	0.640837462478036	46756098	0.655600094091232	4.22467636952127e-151	2.5816527885659e-148	81.523569023569	57.6559168443497	TRUE	TRUE	21
CD247	6	1.43782647799252	0.648540745448559	46701789	0.654838589452629	2.27641019229111e-170	1.69186496967062e-167	64.2255892255892	41.7010927505331	TRUE	TRUE	22
TMSB4X	6	4.86818337873122	0.300928666164729	45977358	0.644680833521785	2.75500884542304e-122	1.32912260070681e-119	100	99.7667910447761	TRUE	TRUE	23
TMIGD2	6	0.683033863478466	0.524869755024044	45738740.5	0.641335009936339	0	0	36.9949494949495	9.26839019189766	TRUE	TRUE	24
ID2	6	1.5350909284214	0.597203102623073	45384331	0.636365585380278	8.24645955679005e-130	4.44645865396411e-127	68.5606060606061	43.4268390191898	TRUE	TRUE	25
ALOX5AP	6	1.44861556511414	0.565820196412596	45274170	0.634820940616183	2.02687275471437e-128	1.07186488234405e-125	68.2659932659933	42.2907782515992	TRUE	TRUE	26
IL2RB	6	0.893374648594115	0.510385146498204	45132073.5	0.632828505773352	6.13628351882873e-186	5.11338365103852e-183	46.6329966329966	21.5984808102345	TRUE	TRUE	27
XCL1	6	0.665346789103837	0.559303311274202	45026036	0.631341679499329	0	0	31.4814814814815	5.460421108742	TRUE	TRUE	28
FTL	6	2.96024339830001	0.423867723495301	44795070.5	0.628103149981065	2.2220818777862e-96	8.37055199414282e-94	95.7912457912458	89.7388059701492	TRUE	TRUE	29
MATK	6	0.608373986897777	0.451255317143825	44664025.5	0.62626567598291	0	0	34.2592592592593	9.1817697228145	TRUE	TRUE	30
CD96	6	1.05295886432021	0.466864429778442	44417849.5	0.622813869359462	4.81056261999463e-124	2.40519384522241e-121	55.0505050505051	32.1428571428572	TRUE	TRUE	31
PRF1	6	0.885761342790396	0.491323993097197	44291065.5	0.621036141835466	8.36036849505743e-161	5.7475443311396e-158	43.8131313131313	20.5490405117271	TRUE	TRUE	32
RARRES3	6	1.47596914006501	0.478925728518559	44249662.5	0.62045560128874	2.88107941509021e-96	1.07063247075089e-93	69.1919191919192	49.8667377398721	TRUE	TRUE	33
EVL	6	2.0091879612172	0.423178037233332	44048853	0.617639910229696	3.82721977257817e-83	1.23817313560149e-80	84.6801346801347	71.8216950959488	TRUE	TRUE	34
TRGC1	6	0.624206554195759	0.491756586409749	43910875	0.615705223768423	0	0	29.7558922558923	7.04291044776119	TRUE	TRUE	35
IFITM2	6	1.38354923054438	0.470068074137836	43574762	0.610992347291321	3.19545060949454e-85	1.05869513627097e-82	62.6683501683502	45.6723081023454	TRUE	TRUE	36
IL32	6	2.90270354315449	0.368085837305434	43498992.5	0.609929929907192	1.53085852573554e-71	3.93430641114034e-69	91.2878787878788	87.2534648187633	TRUE	TRUE	37
TRG-AS1	6	0.684269499730542	0.401569165300313	43446882.5	0.609199258992286	3.64249253507302e-159	2.44304639565788e-156	37.4579124579125	15.7882462686567	TRUE	TRUE	38
CTSD	6	0.952595448534087	0.407443008230477	43288892	0.606983963210642	8.19740025724019e-99	3.22029013819783e-96	50	30.090618336887	TRUE	TRUE	39
ACTG1	6	3.14815206259851	0.370636607064359	43163311	0.605223103794699	1.29371274063448e-65	2.98956358442921e-63	97.3063973063973	91.2746535181237	TRUE	TRUE	40
PTMA	6	3.35451664630591	0.275489429928158	43117106.5	0.604575238043638	8.48086595850248e-65	1.92739944622198e-62	99.1161616161616	96.6084754797441	TRUE	TRUE	41
ACTB	6	4.16785089285685	0.308407211040462	43005477.5	0.603010009420341	6.3224477904444e-63	1.39088793431544e-60	99.8737373737374	98.4375	TRUE	TRUE	42
SEPT7	6	1.44986448076977	0.388537716583481	42834499.5	0.600612606778069	6.18787494429494e-66	1.44203706011158e-63	70.0757575757576	53.86460554371	TRUE	TRUE	43
LSP1	6	1.10382586584464	0.381752576691451	42770968	0.599721786988578	1.07172494542031e-74	2.94713642741132e-72	57.0707070707071	38.8226279317697	TRUE	TRUE	44
STOM	6	0.662655565656723	0.337413481083257	42441889	0.595107539166541	5.01827712997167e-108	2.12304004303217e-105	37.6683501683502	18.7266791044776	TRUE	TRUE	45
CLIC3	6	0.502963864727842	0.362289617222722	42257911.5	0.592527861403211	7.23358345095016e-198	6.41665520379608e-195	26.0942760942761	7.85247867803838	TRUE	TRUE	46
