gene_id	gene_symbol	feature_type	seurat_feature_name	detected_cells_merged_raw	formal_merged_gene_filter_pass
ENSG00000071794	HLTF	Gene Expression	HLTF	19451	TRUE
ENSG00000239718	HLTF-AS1	Gene Expression	HLTF-AS1	0	FALSE
ENSG00000163755	HPS3	Gene Expression	HPS3	20899	TRUE
ENSG00000047457	CP	Gene Expression	CP	1293	TRUE
ENSG00000244468	AC093001.1	Gene Expression	AC093001.1	10	TRUE
ENSG00000163762	TM4SF18	Gene Expression	TM4SF18	6571	TRUE
ENSG00000169908	TM4SF1	Gene Expression	TM4SF1	27299	TRUE
ENSG00000240541	TM4SF1-AS1	Gene Expression	TM4SF1-AS1	954	TRUE
ENSG00000243885	AC108751.4	Gene Expression	AC108751.4	8	TRUE
ENSG00000169903	TM4SF4	Gene Expression	TM4SF4	1953	TRUE
ENSG00000018408	WWTR1	Gene Expression	WWTR1	14589	TRUE
ENSG00000241313	WWTR1-AS1	Gene Expression	WWTR1-AS1	78	TRUE
ENSG00000114744	COMMD2	Gene Expression	COMMD2	39663	TRUE
ENSG00000206199	ANKUB1	Gene Expression	ANKUB1	35	TRUE
ENSG00000082996	RNF13	Gene Expression	RNF13	47248	TRUE
ENSG00000070087	PFN2	Gene Expression	PFN2	15286	TRUE
ENSG00000242791	AC117395.1	Gene Expression	AC117395.1	55	TRUE
ENSG00000243944	AC117386.2	Gene Expression	AC117386.2	0	FALSE
ENSG00000243321	LINC01998	Gene Expression	LINC01998	0	FALSE
ENSG00000241048	AC117386.1	Gene Expression	AC117386.1	1	FALSE
ENSG00000244541	LINC01213	Gene Expression	LINC01213	44	TRUE
ENSG00000243550	LINC01214	Gene Expression	LINC01214	218	TRUE
ENSG00000196428	TSC22D2	Gene Expression	TSC22D2	32135	TRUE
ENSG00000120742	SERP1	Gene Expression	SERP1	120659	TRUE
ENSG00000144895	EIF2A	Gene Expression	EIF2A	55594	TRUE
ENSG00000198843	SELENOT	Gene Expression	SELENOT	65471	TRUE
ENSG00000163645	ERICH6	Gene Expression	ERICH6	43	TRUE
ENSG00000240137	ERICH6-AS1	Gene Expression	ERICH6-AS1	1166	TRUE
ENSG00000181788	SIAH2	Gene Expression	SIAH2	34256	TRUE
ENSG00000244265	SIAH2-AS1	Gene Expression	SIAH2-AS1	46	TRUE
ENSG00000239265	CLRN1-AS1	Gene Expression	CLRN1-AS1	15	TRUE
ENSG00000214237	MINDY4B	Gene Expression	MINDY4B	2	FALSE
ENSG00000260234	AC020636.2	Gene Expression	AC020636.2	0	FALSE
ENSG00000243273	AC020636.1	Gene Expression	AC020636.1	1	FALSE
ENSG00000163646	CLRN1	Gene Expression	CLRN1	12	TRUE
ENSG00000144893	MED12L	Gene Expression	MED12L	962	TRUE
ENSG00000174946	GPR171	Gene Expression	GPR171	12502	TRUE
ENSG00000174944	P2RY14	Gene Expression	P2RY14	1713	TRUE
ENSG00000138271	GPR87	Gene Expression	GPR87	10	TRUE
ENSG00000181631	P2RY13	Gene Expression	P2RY13	2474	TRUE
ENSG00000169313	P2RY12	Gene Expression	P2RY12	121	TRUE
ENSG00000152580	IGSF10	Gene Expression	IGSF10	907	TRUE
ENSG00000241151	LINC02066	Gene Expression	LINC02066	5	TRUE
ENSG00000197953	AADACL2	Gene Expression	AADACL2	276	TRUE
ENSG00000242908	AADACL2-AS1	Gene Expression	AADACL2-AS1	0	FALSE
ENSG00000114771	AADAC	Gene Expression	AADAC	971	TRUE
ENSG00000198829	SUCNR1	Gene Expression	SUCNR1	1155	TRUE
ENSG00000239941	AC108718.1	Gene Expression	AC108718.1	134	TRUE
ENSG00000152601	MBNL1	Gene Expression	MBNL1	122229	TRUE
ENSG00000229619	MBNL1-AS1	Gene Expression	MBNL1-AS1	5908	TRUE
ENSG00000243305	AC026347.1	Gene Expression	AC026347.1	75	TRUE
ENSG00000244545	AC092924.1	Gene Expression	AC092924.1	0	FALSE
ENSG00000169860	P2RY1	Gene Expression	P2RY1	17342	TRUE
ENSG00000244268	AC117394.2	Gene Expression	AC117394.2	16	TRUE
