gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
RPL10A	1	2.55876046241996	1.21933886615408	510594441.5	0.813393886361768	0	0	96.4502822405558	71.0858048515622	TRUE	TRUE	14
RPL11	1	3.19971518923883	1.07650638380921	510285886	0.812902347212682	0	0	99.5657837603126	89.1155364454163	TRUE	TRUE	15
RPL13	1	3.81722575639674	1.20495548256443	509786280.5	0.812106459074732	0	0	99.8263135041251	91.8744405147998	TRUE	TRUE	16
RPS18	1	3.81383170990298	1.22392722441535	509284554.5	0.811307192909927	0	0	99.9240121580547	91.6117576273425	TRUE	TRUE	17
RPL15	1	2.91571623528512	1.09061247513633	508629943.5	0.810264375867538	0	0	98.7082066869301	84.3329468910967	TRUE	TRUE	18
RPS23	1	3.05220574344472	1.13967337308348	508462937.5	0.809998329768433	0	0	99.1315675206253	83.8119836226758	TRUE	TRUE	19
RPL30	1	2.79359761662832	1.12306524824063	508218991.5	0.80960971569653	0	0	98.4693877551021	80.2870434233891	TRUE	TRUE	20
RPS24	1	3.3040884820403	1.05721209488793	506730707.5	0.807238829904641	0	0	99.7286148501954	89.522034545001	TRUE	TRUE	21
RPL32	1	3.3060551064189	1.15916798496325	506531769.5	0.806921915070061	0	0	99.587494572297	87.356001350102	TRUE	TRUE	22
RPS28	1	3.03579593628025	1.10025850176719	506106336	0.806244185389071	0	0	99.1532783326097	86.5767577007176	TRUE	TRUE	23
RPS27A	1	2.79576467733785	1.16839087932483	505750924	0.805678002280829	0	0	98.4042553191489	78.8180737566588	TRUE	TRUE	24
RPL7	1	2.75877916846458	1.1441016581161	505223569	0.804837908268676	0	0	97.8723404255319	78.5803384059992	TRUE	TRUE	25
RPS15A	1	2.98230961216316	1.17326271994682	504584306.5	0.803819541896037	0	0	98.8276161528441	81.9614633931585	TRUE	TRUE	26
RPS3	1	3.18813036687805	1.2174164163734	503976032.5	0.802850541232067	0	0	99.0338688666956	85.534831163876	TRUE	TRUE	27
RPL19	1	3.0303511437439	1.04916353480688	503179145	0.801581073004575	0	0	99.2184107685627	86.6618728262624	TRUE	TRUE	28
RPL8	1	3.21911660312111	1.09007533734255	502928910	0.801182440347009	0	0	99.468085106383	88.8954111207314	TRUE	TRUE	29
RPL41	1	3.52383312598251	1.18069902232246	501191669	0.798414957793956	0	0	99.7286148501954	91.1436244368461	TRUE	TRUE	30
