cluster	compartment	signature_score	mean_normalized_expression	mean_detection_fraction	marker_genes	signature_rank
6	Fibroblast	-0.172170099924771	0.0438847208070068	0.0423394330821672	COL1A2;COL3A1;MYH11;ACTA2	2
6	Myeloid	-0.176938130281871	0.0781174912240026	0.0813897859107762	CD14;CD68	3
6	B	-0.265258842425463	0.0329815299452067	0.0314555675158474	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
6	T/I/NK	-0.464855610223341	0.0212693627439866	0.018388948690348	CD3D;CD3E;TRAC;TRBC1	5
6	Epithelial	-0.946500964181171	0.101354887233701	0.0914364310489176	EPCAM;CD24	6
7	Epithelial	1.64688922007714	2.09402836215368	0.928356147180711	EPCAM;CD24	1
7	Myeloid	-0.040902159804449	0.106990695262343	0.123571518272008	CD14;CD68	2
7	Fibroblast	-0.223522536541392	0.0158655382355911	0.0197161873665704	COL1A2;COL3A1;MYH11;ACTA2	3
7	B	-0.319636852004019	0.00868447023138887	0.00924274770815019	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
7	Endothelial	-0.38262288141335	0.00711327902765514	0.00866507597639081	VWF;PECAM1	5
7	T/I/NK	-0.464997653681485	0.0216944335387882	0.0203126962200176	CD3D;CD3E;TRAC;TRBC1	6
8	Epithelial	1.52446756428196	2.00341374858763	0.979643600416233	EPCAM;CD24	1
8	Fibroblast	-0.225483836412421	0.0147553738147299	0.0302094172736733	COL1A2;COL3A1;MYH11;ACTA2	2
8	Myeloid	-0.227941364699242	0.0540339658434223	0.107700312174818	CD14;CD68	3
8	B	-0.319695587577696	0.00937988376680954	0.0152185223725286	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
8	Endothelial	-0.386457341689494	0.00503441074800779	0.00943028095733611	VWF;PECAM1	5
8	T/I/NK	-0.45731438773116	0.0252453993458993	0.0306646722164412	CD3D;CD3E;TRAC;TRBC1	6
9	Epithelial	0.843315660941079	1.45828067803867	0.870614613558428	EPCAM;CD24	1
9	Fibroblast	-0.231465513981039	0.0110477187295751	0.0128594038512266	COL1A2;COL3A1;MYH11;ACTA2	2
9	B	-0.321626560088969	0.00828907534410529	0.00968082300184648	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
9	Myeloid	-0.323566978262949	0.0222827445929291	0.0311263518860459	CD14;CD68	4
9	Endothelial	-0.387376661676122	0.0045104294499907	0.0053415985228172	VWF;PECAM1	5
9	T/I/NK	-0.481805165353961	0.0114548415599952	0.0124637298865735	CD3D;CD3E;TRAC;TRBC1	6
10	Epithelial	0.406129088061172	1.14454657018875	0.718329997140406	EPCAM;CD24	1
10	Fibroblast	-0.229751152115252	0.0117622091410157	0.0119030597655133	COL1A2;COL3A1;MYH11;ACTA2	2
10	B	-0.32257220055574	0.00788922443908973	0.00754932799542465	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
10	Myeloid	-0.334529842714318	0.017210596716798	0.0175865027166142	CD14;CD68	4
10	Endothelial	-0.382445344098491	0.00720681614018014	0.00586216757220475	VWF;PECAM1	5
10	T/I/NK	-0.47941109827736	0.0128011290717418	0.0104375178724621	CD3D;CD3E;TRAC;TRBC1	6
11	T/I/NK	1.87917633008346	1.33817498635382	0.569021039072563	CD3D;CD3E;TRAC;TRBC1	1
11	Fibroblast	-0.143715723418866	0.062475949000408	0.0330613997423787	COL1A2;COL3A1;MYH11;ACTA2	2
11	B	-0.224230733317764	0.0526128990546534	0.0287104622871046	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
11	Myeloid	-0.239519406774044	0.0543536867008196	0.0287677114641477	CD14;CD68	4
11	Endothelial	-0.348928701298742	0.0259597389190987	0.0142407327894662	VWF;PECAM1	5
11	Epithelial	-0.880871876111163	0.15045701046676	0.0857306426220123	EPCAM;CD24	6
12	T/I/NK	2.84015859831665	1.8793936923184	0.768348976765656	CD3D;CD3E;TRAC;TRBC1	1
12	B	-0.138433860325408	0.0893923740846488	0.0562855823972919	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	2
12	Fibroblast	-0.160976851329114	0.053624829633964	0.0341591014002154	COL1A2;COL3A1;MYH11;ACTA2	3
12	Myeloid	-0.294325610255063	0.0332854465918658	0.0209262963532851	CD14;CD68	4
12	Endothelial	-0.364906966926505	0.0170512992772016	0.0114633020464687	VWF;PECAM1	5
12	Epithelial	-0.928220773862791	0.114927671833521	0.0746268656716418	EPCAM;CD24	6
13	Myeloid	4.23998387636599	1.65901798271462	0.703491078355314	CD14;CD68	1
13	Endothelial	-0.126846734009889	0.151079386066835	0.146547711404189	VWF;PECAM1	2
13	Fibroblast	-0.163332920830407	0.0514584002760857	0.0516291698991466	COL1A2;COL3A1;MYH11;ACTA2	3
