author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
FOLR2+Mac	Myeloid	15	0		0	8
IL1B+Mono	Myeloid	15	0		0	9
SPP1+Mac	Myeloid	15	0		0	10
FCN1+Mono	Myeloid	2	28	FCN1;S100A8;VCAN;S100A4;MNDA;S100A9;S100A6;COTL1;CTSS;S100A12;CLEC12A;LST1;CEBPD;CSTA;FOS;CSF3R;CORO1A;CFP;AP1S2;CD300E;CD36;CD37;CD48;EVI2B;TKT;STXBP2;RGS2;FGR	0.388888888888889	1
CALHM6+Mac	Myeloid	2	4	FCN1;C1orf162;FOS;FGL2	0.0416666666666667	2
IL1B+Mono	Myeloid	2	4	S100A12;NEAT1;SLC11A1;CD300E	0.0416666666666667	3
CD1C+cDC	Myeloid	2	2	COTL1;CORO1A	0.0204081632653061	4
CCL19+mDC	Myeloid	2	0		0	5
FOLR2+Mac	Myeloid	2	0		0	6
LILR4A+pDC	Myeloid	2	0		0	7
MKI67+Mac	Myeloid	2	0		0	8
SPP1+Mac	Myeloid	2	0		0	9
TMSB4X+Mac	Myeloid	2	0		0	10
FOLR2+Mac	Myeloid	3	43	SELENOP;C1QA;C1QC;C1QB;MS4A6A;FOLR2;ITM2B;CD74;SLCO2B1;MAF;RNASE1;MS4A4A;SLC40A1;STAB1;MS4A7;MRC1;HLA-DRA;HLA-DQA1;CD14;DAB2;A2M;CD163;PLTP;FCGR3A;CTSC;HLA-DQB1;HLA-DMA;F13A1;MAFB;GPR34;SDC3;VSIG4;HLA-DMB;TMEM176B;CSF1R;GPR155;PLD3;SERPING1;APOE;MSR1;HLA-DQA2;ADAP2;KLF2	0.754385964912281	1
SPP1+Mac	Myeloid	3	9	C1QA;C1QC;C1QB;RNASE1;A2M;PLD3;SERPING1;APOE;MSR1	0.0989010989010989	2
CD1C+cDC	Myeloid	3	5	HLA-DPA1;CST3;HLA-DQB1;HLA-DRB1;HLA-DPB1	0.0526315789473684	3
TMSB4X+Mac	Myeloid	3	2	SELENOP;SLC40A1	0.0204081632653061	4
CALHM6+Mac	Myeloid	3	0		0	5
CCL19+mDC	Myeloid	3	0		0	6
FCN1+Mono	Myeloid	3	0		0	7
IL1B+Mono	Myeloid	3	0		0	8
LILR4A+pDC	Myeloid	3	0		0	9
MKI67+Mac	Myeloid	3	0		0	10
CD1C+cDC	Myeloid	4	20	HLA-DPB1;PPA1;RPS23;RPS11;HLA-DQB1;RPS3A;RPS6;RPS18;HLA-DPA1;RPL23A;JAML;RPS4X;COTL1;LGALS2;CLEC10A;RPL37;CD1C;HLA-DRB1;CD1E;CST3	0.25	1
TMSB4X+Mac	Myeloid	4	17	PPA1;RPS11;RPS3A;RPS6;RPS4X;LGALS2;RPL4;RPS2;RPL19;RPL7A;RPL15;RPL10A;TMSB4X;RPS3;RPL3;RPSA;RPL5	0.204819277108434	2
CALHM6+Mac	Myeloid	4	3	PPA1;CLEC10A;RPSA	0.0309278350515464	3
CCL19+mDC	Myeloid	4	1	PPA1	0.0101010101010101	4
FCN1+Mono	Myeloid	4	1	COTL1	0.0101010101010101	5
FOLR2+Mac	Myeloid	4	1	HLA-DQB1	0.0101010101010101	6
IL1B+Mono	Myeloid	4	0		0	7
LILR4A+pDC	Myeloid	4	0		0	8
MKI67+Mac	Myeloid	4	0		0	9
SPP1+Mac	Myeloid	4	0		0	10
CD1C+cDC	Myeloid	5	6	CST7;CD52;LTB;RPS4X;RPL23A;CORO1A	0.0638297872340426	1
TMSB4X+Mac	Myeloid	5	4	RPS3;RPS4X;RPSA;RPL3	0.0416666666666667	2
CALHM6+Mac	Myeloid	5	2	RPSA;TSC22D3	0.0204081632653061	3
CCL19+mDC	Myeloid	5	2	CST7;MALAT1	0.0204081632653061	4
FCN1+Mono	Myeloid	5	2	CD52;CORO1A	0.0204081632653061	5
LILR4A+pDC	Myeloid	5	1	LTB	0.0101010101010101	6
FOLR2+Mac	Myeloid	5	0		0	7
IL1B+Mono	Myeloid	5	0		0	8
MKI67+Mac	Myeloid	5	0		0	9
SPP1+Mac	Myeloid	5	0		0	10
CALHM6+Mac	Myeloid	6	10	JUNB;ZFP36;FOS;ATF3;DUSP1;KLF4;NR4A2;ZFP36L1;NFKBIA;ZFP36L2	0.111111111111111	1
CCL19+mDC	Myeloid	6	3	CD83;MALAT1;RGS1	0.0309278350515464	2
IL1B+Mono	Myeloid	6	3	NEAT1;IER3;NFKBIA	0.0309278350515464	3
FCN1+Mono	Myeloid	6	2	FOS;RGS2	0.0204081632653061	4
FOLR2+Mac	Myeloid	6	2	KLF2;MAFB	0.0204081632653061	5
