gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
CDKN1A	1	1.33837016958296	1.0226033131769	21010685.5	0.765604522523598	0	0	68.8719657306045	23.9396723319553	TRUE	TRUE	6
JUNB	1	2.9130946550423	1.11280219497483	20893513.5	0.761334913466191	0	0	96.2398857686816	77.3771244832338	TRUE	TRUE	7
YBX3	1	2.40289366508844	0.765765942018775	20862529	0.760205874943001	0	0	96.1922893860067	82.2921451538815	TRUE	TRUE	8
C2CD4B	1	1.49350437281526	1.11377761212276	20840755.5	0.759412474362559	0	0	69.0147548786292	24.712907671107	TRUE	TRUE	9
NDRG1	1	1.64188582289527	0.872140956277437	20684934	0.753734523250188	0	0	84.007615421228	52.9168580615526	TRUE	TRUE	10
MT-ND1	2	5.11214967692998	0.799435196760748	20653846.5	0.823322618180601	0	0	100	99.7965795223386	TRUE	TRUE	1
MT-CYB	2	5.82578657837227	0.808263782054617	20564441	0.819758653940828	0	0	100	99.9321931741129	TRUE	TRUE	2
MT-ATP6	2	6.0986419174184	0.763233747724962	20336270.5	0.810663111691515	0	0	100	99.9698636329391	TRUE	TRUE	3
MT-ND4	2	5.64618971039063	0.728137634429357	20297280	0.809108836532931	0	0	100	99.9773977247043	TRUE	TRUE	4
MT-CO1	2	6.18825833490525	0.751608023717318	19864049.5	0.791839004032932	0	0	100	99.9773977247043	TRUE	TRUE	5
MT-CO3	2	6.57282306515726	0.814319151236589	19629359.5	0.782483575480637	0	0	100	100	TRUE	TRUE	6
MT-ND2	2	4.4243256180085	0.686399134293318	19116065.5	0.762022178133833	2.38390219641047e-298	8.72121834346485e-295	99.94708994709	99.52535221879	TRUE	TRUE	7
MT-CO2	2	6.16310055147997	0.74746132242395	19041519.5	0.759050556944778	1.14065147120822e-291	3.48519720075053e-288	100	99.9773977247043	TRUE	TRUE	8
MT-ND3	2	4.90698533057712	0.717761170832191	18540625.5	0.739083459798445	9.28712244676706e-249	1.82418985831177e-245	100	99.7589090635124	TRUE	TRUE	9
MT-ND5	2	3.58086188788945	0.556223337794176	17830865	0.710790334198757	7.77009178706368e-194	3.56116256754107e-191	99.1005291005291	98.3726361787087	TRUE	TRUE	10
PRCP	3	1.75567351862287	0.841590082939651	18299270	0.744729202810875	5.8927055052394e-273	1.62043508688578e-268	82.8726287262873	56.502477849527	TRUE	TRUE	1
COL15A1	3	2.04788637200336	1.0541543321005	18121300	0.737486320650862	3.49374561700739e-264	4.80372553610432e-260	84.0650406504065	51.103769334735	TRUE	TRUE	2
HSPG2	3	2.42961108204844	0.809391514434696	17941007.5	0.730148919224588	5.04738566939734e-228	3.46995146306894e-224	93.3875338753388	77.211292986935	TRUE	TRUE	3
IGFBP7	3	3.65070343057857	0.832341606052398	17840019	0.726038969204829	3.65360483692876e-218	1.6745079901784e-214	98.9159891598916	91.237423036492	TRUE	TRUE	4
COL4A2	3	1.77601245788791	0.896025051263766	17549597.5	0.714219624926389	1.28670276948332e-219	7.07660789160434e-216	79.2953929539296	48.6033939029884	TRUE	TRUE	5
COL4A1	3	2.18753847882886	1.03058296259861	17543496.5	0.71397133125859	2.35051279101498e-210	9.23382160573157e-207	83.9024390243903	55.1359062922361	TRUE	TRUE	6
PRSS23	3	1.87098862623408	0.780939934419668	17437201	0.709645401154417	5.46596532959525e-198	1.87885725748175e-194	84.1734417344173	59.7912599489413	TRUE	TRUE	7
FKBP1A	3	2.63855471146057	0.653444914367579	17402853.5	0.708247553792552	7.31476340398711e-186	2.23498532051379e-182	95.5555555555556	85.132902838264	TRUE	TRUE	8
COL6A2	3	1.06712012380906	0.680467974499329	17104959	0.696124079276534	1.58399958098083e-238	1.45194681591306e-234	61.1924119241192	28.1273464484157	TRUE	TRUE	9
S100A6	3	2.88307866364836	0.718210978668323	17084445	0.695289216745599	1.48603849678405e-163	4.08645726230647e-160	95.8807588075881	87.1977774440607	TRUE	TRUE	10
COL4A1	4	3.24032427054118	2.19997738833807	20248486	0.899546505811283	0	0	94.4244604316547	54.2126713597629	TRUE	TRUE	1
COL4A2	4	2.5117632983218	1.71096344025416	19516713	0.867037218687444	0	0	90.4676258992806	47.6250463134494	TRUE	TRUE	2
COL15A1	4	2.64037452626918	1.70604855709872	19434949	0.863404822640591	0	0	92.5059952038369	50.4927751018896	TRUE	TRUE	3
SPARC	4	2.96249550466844	1.54698565173573	19287095	0.856836353814318	0	0	93.6450839328537	69.1070766950723	TRUE	TRUE	4
HSPG2	4	2.84357032171948	1.2639007143663	19127080.5	0.849727650262154	0	0	96.7026378896882	77.01370878103	TRUE	TRUE	5
RGCC	4	1.73939849088949	1.36209965932588	18415316	0.818107248177005	0	0	78.8968824940048	23.2752871433864	TRUE	TRUE	6
INSR	4	1.83632012897368	1.33900008955636	18322012	0.813962183347061	0	0	80.8752997601918	34.4497962208225	TRUE	TRUE	7
PLVAP	4	2.49087562868265	1.13061604893525	17973918.5	0.798498000414045	0	0	91.4268585131894	69.8258614301593	TRUE	TRUE	8
ADGRF5	4	1.52274177709032	1.0361825037479	17953943.5	0.797610603625288	0	0	81.6546762589928	35.8354946276399	TRUE	TRUE	9
NOTCH4	4	1.32614894633296	0.933228728815684	17594287.5	0.781632752338329	0	0	77.6378896882494	29.3442015561319	TRUE	TRUE	10
CPE	5	2.66118480665804	2.27163844797039	16807168.5	0.946475561274034	0	0	96.4816262705239	21.6148084125612	TRUE	TRUE	1
ADGRG6	5	1.53431491935747	1.26902040289452	15098501	0.850253997773127	0	0	81.6262705238468	21.4131374243734	TRUE	TRUE	2
CLU	5	3.14015012376117	1.58869673384682	14660885.5	0.82561020509712	0	0	98.2017200938233	61.4520311149525	TRUE	TRUE	3
NPC2	5	2.41086922956657	1.06472381759943	13889481	0.782169484721953	1.03122926646582e-250	2.02555525703882e-247	94.7615324472244	69.9942379717661	TRUE	TRUE	4
LIFR	5	1.81996724566541	1.01402867672873	13563178	0.763794122145538	3.12344832011868e-244	5.72611369032958e-241	87.4120406567631	46.9749351771824	TRUE	TRUE	5
CLDN5	5	2.45099783241757	1.14335480853317	13454726.5	0.75768680583384	2.45470872853593e-213	2.93487110113084e-210	90.4612978889758	63.5983866320945	TRUE	TRUE	6
LEPR	5	1.1265887112604	0.806037611836007	13420342.5	0.755750512061403	0	0	70.2892885066458	25.7202535292423	TRUE	TRUE	7
IL1R1	5	1.29142014142669	0.80804851520757	13359884	0.752345864055328	1.43282591071176e-253	3.03086767066637e-250	76.1532447224394	35.6237395563238	TRUE	TRUE	8
ITM2B	5	3.34418648044719	0.674295147035962	13257541.5	0.746582568760842	7.36219458501501e-188	7.23046388904742e-185	99.374511336982	94.0363007778738	TRUE	TRUE	9
PDCD4	5	1.25114382193981	0.769714566749728	13102044.5	0.737825941471038	2.80422478299718e-218	3.67206558607807e-215	72.9476153244723	38.5407663497551	TRUE	TRUE	10
SRGN	6	2.498495912221	1.35218097481324	12161386	0.861878090465908	0	0	91.9678714859438	67.1348909437425	TRUE	TRUE	1
SRP14	6	3.27420796978871	1.24096397280444	12075470.5	0.855789254285441	0	0	96.9879518072289	87.3720618338392	TRUE	TRUE	2
SEMA3G	6	1.21947932669891	1.19442907141451	11877765.5	0.841777890130438	0	0	69.6787148594378	1.96230676925249	TRUE	TRUE	3
SLC9A3R2	6	2.20941582271454	1.46825327248311	11731909.5	0.831441067439094	1.9221880048088e-306	1.70510477239475e-303	86.6465863453815	47.5753511682078	TRUE	TRUE	4
EFNB2	6	1.36382653168887	1.0168233894887	11069187	0.784473887644883	5.43281567558206e-296	4.26848566465231e-293	72.5903614457831	27.8393449565893	TRUE	TRUE	5
ICAM2	6	1.62221802669152	1.05270745491235	11037796.5	0.782249241194325	1.19897237073722e-231	7.01500877083038e-229	76.8072289156627	43.8130867509	TRUE	TRUE	6
CAV1	6	2.89959755567476	1.03125579136082	10976502	0.777905296629449	1.34360332055044e-190	6.05700782160929e-188	93.2730923694779	81.5486694430719	TRUE	TRUE	7
CXCL12	6	1.31911884456054	1.09212413932948	10928395.5	0.774495986345325	0	0	66.2650602409639	14.265546693019	TRUE	TRUE	8
IGFBP3	6	1.95123342718319	1.5196341929779	10928255	0.774486029102646	0	0	70.281124497992	20.2936401496435	TRUE	TRUE	9
RHOB	6	1.98221721041112	1.09913219419627	10907282	0.772999671446427	7.62546008317619e-200	3.74450940762968e-197	82.8313253012048	54.1116679607539	TRUE	TRUE	10
CCL21	7	4.06453913776596	4.04380090266335	11088768.5	0.956023921357653	0	0	91.460396039604	1.25391849529781	TRUE	TRUE	1
TFPI	7	2.91738826233967	2.21546460389075	11000025.5	0.948372897634591	0	0	95.7920792079208	46.4298153953326	TRUE	TRUE	2
TFF3	7	2.77822254208294	2.67101791570957	10691720	0.921792179217922	0	0	86.1386138613861	9.38349007314524	TRUE	TRUE	3
AKAP12	7	2.23726242208024	1.96445458483179	10190420	0.87857233999262	0	0	83.539603960396	16.9905956112853	TRUE	TRUE	4
MMRN1	7	2.4022238455864	1.75869648512349	10132828.5	0.87360705898176	0	0	88.490099009901	38.7321490769767	TRUE	TRUE	5
LYVE1	7	1.87089054975801	1.79347343398318	9917426.5	0.855036063951223	0	0	73.3910891089109	7.41901776384535	TRUE	TRUE	6
PPFIBP1	7	1.8730899639622	1.35259854938292	9625780	0.82989160985064	1.69977477452912e-263	8.4985648226866e-261	80.0742574257426	42.6819923371648	TRUE	TRUE	7
PROX1	7	1.2924234962809	1.2708040016978	9241633	0.796772177217722	0	0	60.3960396039604	2.06199930337861	TRUE	TRUE	8
EFEMP1	7	1.33436748129477	1.22841017765722	9186740	0.792039548782464	0	0	63.2425742574258	6.93834900731453	TRUE	TRUE	9
TIMP3	7	2.12302751832838	1.11963670254851	8943677	0.771083746305665	8.46620238160407e-160	2.06028406452859e-157	84.4059405940594	57.2831765935214	TRUE	TRUE	10
RGCC	8	1.84840898548392	1.36651395076312	5934843.5	0.806384108202617	1.71106328637327e-185	2.35262646559892e-181	80.8764940239044	27.6311302093991	TRUE	TRUE	1
SLC9A3R2	8	2.02709109320564	1.23021309854204	5873534	0.79805381162751	1.85975070303236e-130	1.27853211456717e-126	88.2470119521912	48.8370506786713	TRUE	TRUE	2
GSN	8	2.52374094025773	1.12473513552264	5787279	0.786334098840977	4.97969464468561e-108	1.52151803371344e-104	95.2191235059761	71.857308505559	TRUE	TRUE	3
VAMP5	8	1.55379412368961	0.923905741932052	5705801	0.775263450664975	5.01361606768181e-117	1.96956326064546e-113	82.6693227091634	43.8032876338585	TRUE	TRUE	4
RAMP2	8	2.42496879632571	0.965095644162739	5694095	0.773672923067976	1.03745127160844e-98	2.19452865522773e-95	93.4262948207171	72.6075983902872	TRUE	TRUE	5
