cluster	rank	gene	score_mean_log_normalized_difference	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	technical_gene_excluded	marker_method
3	24	RPL30	1.2001398801803589	2.9251463413238525	1.7250064611434937	0.9383892442239916	False	mean_log_normalized_expression_difference
3	25	RPS14	1.1940497159957886	2.9845809936523438	1.7905312776565552	0.9306878997519906	False	mean_log_normalized_expression_difference
3	26	MT-CO1	1.1853854656219482	4.797266006469727	3.6118805408477783	0.992298655527999	False	mean_log_normalized_expression_difference
3	27	RPS6	1.1785258054733276	2.7001049518585205	1.5215791463851929	0.9329069312100248	False	mean_log_normalized_expression_difference
3	28	RPS3A	1.1628550291061401	2.6646952629089355	1.5018402338027954	0.9168515859548362	False	mean_log_normalized_expression_difference
3	29	RPS23	1.1514546871185303	2.635986804962158	1.484532117843628	0.9062785537136144	False	mean_log_normalized_expression_difference
3	30	RPL3	1.1297063827514648	2.6136560440063477	1.4839496612548828	0.9084975851716486	False	mean_log_normalized_expression_difference
3	31	RPS20	1.1281803846359253	2.5433223247528076	1.4151419401168823	0.9198538049862942	False	mean_log_normalized_expression_difference
3	32	RPL19	1.125090479850769	2.6507976055145264	1.5257071256637573	0.9027542096332072	False	mean_log_normalized_expression_difference
3	33	RPS16	1.0894103050231934	2.68241810798645	1.5930078029632568	0.916329460905887	False	mean_log_normalized_expression_difference
3	34	RPL31	1.0755481719970703	2.574174642562866	1.498626470565796	0.9169821172170735	False	mean_log_normalized_expression_difference
3	35	RPS4X	1.075128436088562	2.3718526363372803	1.2967242002487183	0.8668581125179481	False	mean_log_normalized_expression_difference
3	36	ARL4C	1.0748974084854126	1.5279698371887207	0.4530724585056305	0.6576164991515467	False	mean_log_normalized_expression_difference
3	37	CD3D	1.0720881223678589	1.3256984949111938	0.25361037254333496	0.6014880563895053	False	mean_log_normalized_expression_difference
3	38	RPS8	1.0686579942703247	2.6612000465393066	1.592542052268982	0.9269024931471087	False	mean_log_normalized_expression_difference
3	39	SPOCK2	1.066037893295288	1.2644356489181519	0.198397696018219	0.6240699647565592	False	mean_log_normalized_expression_difference
3	40	CALM1	1.064103126525879	2.1949143409729004	1.1308112144470215	0.8556324239655397	False	mean_log_normalized_expression_difference
3	41	RPS11	1.0581700801849365	2.901970624923706	1.8438005447387695	0.9369534003393812	False	mean_log_normalized_expression_difference
3	42	RPL34	1.055182695388794	2.5552361011505127	1.5000534057617188	0.9168515859548362	False	mean_log_normalized_expression_difference
3	43	RPS25	1.0538520812988281	2.35866379737854	1.304811716079712	0.9037984597311056	False	mean_log_normalized_expression_difference
3	44	TMSB4X	1.0521564483642578	4.518609046936035	3.4664525985717773	0.9806813731888787	False	mean_log_normalized_expression_difference
3	45	ZFP36L2	1.0446279048919678	2.0885190963745117	1.043891191482544	0.7794021668189531	False	mean_log_normalized_expression_difference
3	46	RPL18	1.037882685661316	2.4081010818481445	1.3702183961868286	0.8726014880563895	False	mean_log_normalized_expression_difference
3	47	RPL17	1.0358695983886719	2.434758424758911	1.3988888263702393	0.9036679284688683	False	mean_log_normalized_expression_difference
