dataset_id	cluster	working_cluster_field	rank	names	scores	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	marker_method
GSE189926	17	leiden_0.5	12	HCAR3	2.2204713821411133	3.1079819202423096	0.8875106573104858	0.9357870007830854	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	13	G0S2	2.2168469429016113	3.301254987716675	1.084407925605774	0.9675019577133908	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	14	FPR1	2.194556713104248	2.7183830738067627	0.5238263010978699	0.9334377447141738	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	15	NAMPT	2.166821002960205	3.5419840812683105	1.375163197517395	0.9933437744714174	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	16	IFITM3	2.164813995361328	3.324082612991333	1.1592686176300049	0.9933437744714174	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	17	BCL2A1	2.1588597297668457	3.137404441833496	0.9785445928573608	0.9690681284259984	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	18	SAT1	2.056089162826538	4.286289691925049	2.2302005290985107	0.9988253719655442	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	19	CXCR2	1.942655324935913	2.3062520027160645	0.36359673738479614	0.8684416601409554	mean_log_normalized_expression_difference
GSE189926	17	leiden_0.5	20	H3-3A	1.9291934967041016	3.878964424133301	1.9497709274291992	0.9964761158966328	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	1	CXCL8	2.6263527870178223	4.693470001220703	2.067117214202881	0.9825072886297376	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	2	IGHA1	2.41389799118042	4.157077789306641	1.7431796789169312	1.0	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	3	IGHA2	2.333064079284668	3.8021368980407715	1.469072937965393	1.0	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	4	G0S2	2.000730514526367	3.0922036170959473	1.09147310256958	0.8492294877134527	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	5	SRGN	1.9877068996429443	4.294225215911865	2.306518316268921	0.994585589337776	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	6	JCHAIN	1.9785974025726318	3.0957231521606445	1.1171257495880127	0.990420658059142	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	7	S100A9	1.9670320749282837	3.6041061878204346	1.6370741128921509	0.8900458142440649	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	8	PLAUR	1.9606329202651978	3.0276706218719482	1.0670377016067505	0.9312786339025406	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	9	NAMPT	1.844764232635498	3.2290239334106445	1.3842597007751465	0.9750104123281966	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	10	SAT1	1.8080658912658691	4.045759677886963	2.2376937866210938	0.9875052061640983	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	11	IGKC	1.7729096412658691	4.087801933288574	2.314892292022705	0.9958350687213661	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	12	FTH1	1.7534935474395752	5.019350051879883	3.2658565044403076	0.9979175343606831	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	13	SOD2	1.7433748245239258	3.276012659072876	1.5326378345489502	0.9700124947938359	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	14	BCL2A1	1.7385867834091187	2.7281594276428223	0.9895726442337036	0.8854643898375677	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	15	RGS2	1.658949375152588	2.6122312545776367	0.953281819820404	0.8663057059558518	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	16	IL1B	1.5942869186401367	2.7554819583892822	1.1611950397491455	0.8021657642648896	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	17	C5AR1	1.516107201576233	1.9076859951019287	0.3915787935256958	0.7859225322782174	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	18	S100A8	1.4757839441299438	2.6304261684417725	1.1546422243118286	0.793002915451895	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	19	COTL1	1.3806860446929932	2.508953809738159	1.128267765045166	0.8342357351103706	mean_log_normalized_expression_difference
GSE189926	18	leiden_0.5	20	IFITM2	1.3792598247528076	3.0223989486694336	1.643139123916626	0.9158683881715952	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	1	IGFBP7	3.4471967220306396	3.654041290283203	0.20684464275836945	0.9314655172413793	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	2	PLVAP	3.2351722717285156	3.277902841567993	0.04273056983947754	0.9107758620689655	mean_log_normalized_expression_difference
