dataset_id	object_label	sample_label	tissue_site	marker_program	n	q1	median	mean	q3
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		endothelial	10064	0	0	0.0259774846424192	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		epithelial_tumor	10064	0	0	0.124694741881357	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_LM		immune_context	10064	0.711331270520194	1.21852193614502	1.14128157815692	1.58003319400895
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		fibroblast_ecm	7839	0	0	0.000241471357286088	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		caf_activation	7839	0	0	0.00965169034789078	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		inflammatory_caf	7839	0	0	0.0328408725947635	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		pericyte_like	7839	0	0	0.0112166913800518	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		endothelial	7839	0	0	0.0478346015430039	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		epithelial_tumor	7839	0	0	0.00246294057393242	0
GSE178318	gse178318_working_qc_sparse_matrix	COL18_PBMC		immune_context	7839	0.599977254967412	1.05253076863422	1.0540545615588	1.48012156977925
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	fibroblast_ecm	3854	0	0	0.0631511371494249	0
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	caf_activation	3854	0	0	0.0317709477960568	0
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	inflammatory_caf	3854	0	0	0.0571446091323577	0
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	pericyte_like	3854	0	0	0.0240233258440215	0
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	endothelial	3854	0	0	0.0559118683130665	0
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	epithelial_tumor	3854	0	0	1.09564864800363	2.63154519150833
GSE245552	gse245552_Pt01_T1_working_qc_sparse_matrix	Pt01_T1	primary tumor	immune_context	3854	0	0.691373191138943	0.8456825579649	1.5432785356234
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	fibroblast_ecm	6002	0	0	0.118458905355878	0
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	caf_activation	6002	0	0	0.0830141729661111	0
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	inflammatory_caf	6002	0	0	0.0502694839355086	0
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	pericyte_like	6002	0	0	0.0735718973836064	0
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	endothelial	6002	0	0	0.114104665272267	0.134965076436891
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	epithelial_tumor	6002	0	0.478686910181072	1.33761199424968	2.86251751396165
GSE245552	gse245552_Pt01_T2_working_qc_sparse_matrix	Pt01_T2	liver metastasis	immune_context	6002	0.148229697521307	0.783399967763967	0.861303892045822	1.4664138217351
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	fibroblast_ecm	3269	0	0	0.418032228008637	0
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	caf_activation	3269	0	0	0.224965602287992	0.0600505495899689
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	inflammatory_caf	3269	0	0	0.217245405654092	0.212405475314753
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	pericyte_like	3269	0	0	0.229391115313688	0
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	endothelial	3269	0	0	0.189339427838764	0
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	epithelial_tumor	3269	0	0	0.986828978837876	2.68370042120352
GSE245552	gse245552_Pt02_T1_working_qc_sparse_matrix	Pt02_T1	primary tumor	immune_context	3269	0	0.133990299084922	0.537634194052171	0.888689215865989
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	fibroblast_ecm	5969	0	0	0.118933766591231	0
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	caf_activation	5969	0	0	0.0918770514380489	0
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	inflammatory_caf	5969	0	0	0.0524753822994919	0
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	pericyte_like	5969	0	0	0.185968690099996	0
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	endothelial	5969	0	0	0.0698901133856151	0
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	epithelial_tumor	5969	0	0.248004147663482	1.28716897180162	3.22130710324774
GSE245552	gse245552_Pt02_T2_working_qc_sparse_matrix	Pt02_T2	liver metastasis	immune_context	5969	0	0.799753341996636	0.87468156693918	1.6164534255413
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	fibroblast_ecm	2220	0	0	0.0416291286991937	0
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	caf_activation	2220	0	0	0.0254948282263463	0
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	inflammatory_caf	2220	0	0	0.0478999572907503	0
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	pericyte_like	2220	0	0	0.0261749986430778	0
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	endothelial	2220	0	0	0.0372020054083647	0
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	epithelial_tumor	2220	0	2.91500408083645	2.11015693807891	3.28450082411947
GSE245552	gse245552_Pt03_T1_working_qc_sparse_matrix	Pt03_T1	primary tumor	immune_context	2220	0	0.185149846599625	0.471307896162479	0.661838570970801
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	fibroblast_ecm	3218	0	0	0.03446401974825	0
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	caf_activation	3218	0	0	0.0307112243965024	0
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	inflammatory_caf	3218	0	0	0.103685845301123	0.124156864256628
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	pericyte_like	3218	0	0	0.0248883345868628	0
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	endothelial	3218	0	0	0.0472417832113241	0
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	epithelial_tumor	3218	0	2.95152190506057	2.15942816802142	3.33277036881414
GSE245552	gse245552_Pt03_T2_working_qc_sparse_matrix	Pt03_T2	liver metastasis	immune_context	3218	0	0	0.416575144545295	0.835774095886903
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	fibroblast_ecm	1997	0	0	0.128176744439349	0
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	caf_activation	1997	0	0	0.0694422973213247	0
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	inflammatory_caf	1997	0	0	0.0680912925060822	0
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	pericyte_like	1997	0	0	0.0516898660875934	0
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	endothelial	1997	0	0	0.0955551966709448	0
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	epithelial_tumor	1997	0	0	0.642613989562502	0.403261549833978
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	immune_context	1997	0	0.203287304465309	0.616977587435557	1.14140752544794
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	fibroblast_ecm	3389	0	0	0.188823590535199	0
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	caf_activation	3389	0	0	0.132435477527417	0
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	inflammatory_caf	3389	0	0	0.0720082624632869	0.122063738746028
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	pericyte_like	3389	0	0	0.0686698397732659	0
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	endothelial	3389	0	0	0.0171277458971498	0
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	epithelial_tumor	3389	2.50425245544805	3.27469199113356	2.75062358042721	3.56425546456308
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	immune_context	3389	0	0	0.151669555064174	0
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	fibroblast_ecm	1971	0	0	0.0040522630459589	0
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	caf_activation	1971	0	0	0.00612291511143081	0
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	inflammatory_caf	1971	0	0	0.0637658902687549	0.0922726988119764
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	pericyte_like	1971	0	0	0.00735106875126355	0
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	endothelial	1971	0	0	0.167314911494255	0
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	epithelial_tumor	1971	0	0.109158663384179	1.32735145900365	3.19456664264935
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	immune_context	1971	0	0.357362954350158	0.661681267686409	1.13529312417188
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	fibroblast_ecm	3393	0	0	0.0280811184441225	0
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	caf_activation	3393	0	0	0.0211725470978374	0
