dataset_id	group_field	group_value	metric	n	min	q1	median	mean	q3	max	gsm	tissue_site	sample_title
GSE245552	sample_label	Pt17_T1	nCount_RNA	1677	287	1942	2992	6469.30471079308	5776	83822	GSM7844844	primary tumor	Pt17_T1, scRNAseq
GSE245552	sample_label	Pt17_T1	nFeature_RNA	1677	158	982	1399	1622.13237924866	1952	8428	GSM7844844	primary tumor	Pt17_T1, scRNAseq
GSE245552	sample_label	Pt17_T1	percent.mt	1677	0	0	0	0	0	0	GSM7844844	primary tumor	Pt17_T1, scRNAseq
GSE245552	sample_label	Pt17_T2	nCount_RNA	1907	387	2250	3133	6647.14263240692	5862	79583	GSM7844845	liver metastasis	Pt17_T2, scRNAseq
GSE245552	sample_label	Pt17_T2	nFeature_RNA	1907	169	1154.5	1494	2058.69900367069	2262	9971	GSM7844845	liver metastasis	Pt17_T2, scRNAseq
GSE245552	sample_label	Pt17_T2	percent.mt	1907	0	0	0	0	0	0	GSM7844845	liver metastasis	Pt17_T2, scRNAseq
GSE245552	sample_label	Pt17_Z1	nCount_RNA	4801	301	1026	1469	3876.06769423037	4612	34393	GSM7844846	colon adjacent tissue	Pt17_Z1, scRNAseq
GSE245552	sample_label	Pt17_Z1	nFeature_RNA	4801	144	657	873	1129.64257446365	1300	6360	GSM7844846	colon adjacent tissue	Pt17_Z1, scRNAseq
GSE245552	sample_label	Pt17_Z1	percent.mt	4801	0	0	0	1.60521799942982	0	49.9503968253968	GSM7844846	colon adjacent tissue	Pt17_Z1, scRNAseq
GSE245552	sample_label	Pt18_T1	nCount_RNA	4639	154	773	2675	6048.91140331968	9063.5	62084	GSM7844847	primary tumor	Pt18_T1, scRNAseq
GSE245552	sample_label	Pt18_T1	nFeature_RNA	4639	131	459	1309	2060.14119422289	3469	8538	GSM7844847	primary tumor	Pt18_T1, scRNAseq
GSE245552	sample_label	Pt18_T1	percent.mt	4639	0	0	0	0	0	0	GSM7844847	primary tumor	Pt18_T1, scRNAseq
GSE245552	sample_label	Pt18_T2	nCount_RNA	7009	208	755	2297	4893.81181338279	7114	45088	GSM7844848	liver metastasis	Pt18_T2, scRNAseq
GSE245552	sample_label	Pt18_T2	nFeature_RNA	7009	171	593	1442	2004.27978313597	3126	7908	GSM7844848	liver metastasis	Pt18_T2, scRNAseq
GSE245552	sample_label	Pt18_T2	percent.mt	7009	0	0	0	0	0	0	GSM7844848	liver metastasis	Pt18_T2, scRNAseq
GSE245552	sample_label	Pt18_Z1	nCount_RNA	3089	263	1872	4322	5988.30948527031	8477	48537	GSM7844849	colon adjacent tissue	Pt18_Z1, scRNAseq
GSE245552	sample_label	Pt18_Z1	nFeature_RNA	3089	159	995	1352	1572.64001294917	1908	6628	GSM7844849	colon adjacent tissue	Pt18_Z1, scRNAseq
GSE245552	sample_label	Pt18_Z1	percent.mt	3089	0	0	0	8.73417404766373	15.7759359817091	49.9575911789652	GSM7844849	colon adjacent tissue	Pt18_Z1, scRNAseq
GSE245552	sample_label	Pt18_Z2	nCount_RNA	7442	240	1628.25	3189	3646.40916420317	4132	56131	GSM7844850	liver adjacent tissue	Pt18_Z2, scRNAseq
GSE245552	sample_label	Pt18_Z2	nFeature_RNA	7442	164	1015	1734.5	1679.05065842515	2094	7481	GSM7844850	liver adjacent tissue	Pt18_Z2, scRNAseq
GSE245552	sample_label	Pt18_Z2	percent.mt	7442	0	0	0	0.00298157827831583	0	22.1889055472264	GSM7844850	liver adjacent tissue	Pt18_Z2, scRNAseq
