dataset_id	group_field	group_value	metric	n	min	q1	median	mean	q3	max
GSE225857_nonimmune	batch	s0920	nFeature_RNA	18903	203	1552	2229	2188.60858064857	2787	5194
GSE225857_nonimmune	batch	s0920	percent.mt	18903	0.241716184912881	11.7970279900293	15.9484221241941	17.6458592851668	22.3297822044788	40
GSE225857_nonimmune	batch	s0920	percent.ribo	18903	0.892857142857143	12.5996392918676	17.4281442100017	16.6063072158979	20.7820657112802	45.2031602708804
GSE225857_nonimmune	batch	s0920	doublet.score	18903	0.00180744668032293	0.0258563535911602	0.0445974259203831	0.0581749163309212	0.0735603194619588	0.668604651162789
GSE225857_nonimmune	batch	s1231	nCount_RNA	10862	1164	3330.25	5202	6185.19305836862	8068.75	24851
GSE225857_nonimmune	batch	s1231	nFeature_RNA	10862	305	1330	1880	1998.86365310256	2549	5223
GSE225857_nonimmune	batch	s1231	percent.mt	10862	0.184388444990781	11.7145141219707	15.449867053199	16.829087183028	21.0581931202717	39.9829254410928
GSE225857_nonimmune	batch	s1231	percent.ribo	10862	0.730434782608696	6.47020008252014	8.38868422227623	8.846661143387	10.5934578929816	47.0869687587954
GSE225857_nonimmune	batch	s1231	doublet.score	10862	0.00319222761970854	0.0173080838933008	0.0291612903225807	0.0400642986483642	0.04586541680616	0.647058823529411
GSE225857_nonimmune	doublet	singlet	nCount_RNA	41892	276	3625	6055	6878.55738565836	9137.25	24927
GSE225857_nonimmune	doublet	singlet	nFeature_RNA	41892	203	1425	2087	2130.10901842834	2752	5352
GSE225857_nonimmune	doublet	singlet	percent.mt	41892	0.184388444990781	11.9938263064458	16.592633567015	18.2276884090294	23.7260805950021	40
GSE225857_nonimmune	doublet	singlet	percent.ribo	41892	0.32379924446843	8.10748929357925	12.0050199907435	12.9476598777121	17.4906070197388	53.7444933920705
GSE225857_nonimmune	doublet	singlet	doublet.score	41892	0.00180744668032293	0.0228827553668318	0.0381056069678824	0.0510248406728962	0.0638830897703549	0.668604651162789
GSE225857_nonimmune	predicted.doublet	False	nCount_RNA	41892	276	3625	6055	6878.55738565836	9137.25	24927
GSE225857_nonimmune	predicted.doublet	False	nFeature_RNA	41892	203	1425	2087	2130.10901842834	2752	5352
GSE225857_nonimmune	predicted.doublet	False	percent.mt	41892	0.184388444990781	11.9938263064458	16.592633567015	18.2276884090294	23.7260805950021	40
GSE225857_nonimmune	predicted.doublet	False	percent.ribo	41892	0.32379924446843	8.10748929357925	12.0050199907435	12.9476598777121	17.4906070197388	53.7444933920705
GSE225857_nonimmune	predicted.doublet	False	doublet.score	41892	0.00180744668032293	0.0228827553668318	0.0381056069678824	0.0510248406728962	0.0638830897703549	0.668604651162789
