cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
2	5.43777529445711e-199	0.960422602954199	0.941	0.591	1.34106414311901e-194	ATP2B1
2	2.25147228392821e-193	1.37312932571181	0.757	0.33	5.55258094662374e-189	EHD1
2	1.20584204329671e-187	1.92373514136568	0.551	0.193	2.97384764717836e-183	TGM2
2	2.03883906724208e-185	1.43424036651158	0.703	0.291	5.02818490763242e-181	SLC7A5
2	3.41582422351547e-184	1.16456736369827	0.864	0.4	8.42410570003384e-180	THBS1
2	1.15437699279871e-172	1.131891293321	0.817	0.445	2.84692453964018e-168	BASP1
2	2.3608427407625e-169	1.90803039065028	0.492	0.158	5.82231036726849e-165	GPAT3
2	2.57096303909663e-169	0.523100135502524	0.999	0.887	6.34050904702012e-165	TIMP1
2	1.17401089428737e-165	1.06367212945381	0.826	0.469	2.89534566749152e-161	SLC43A2
2	2.08584159042876e-164	1.04901654335042	0.846	0.491	5.1441025303154e-160	ANPEP
2	2.47996659967895e-162	1.1202281335227	0.826	0.388	6.11609362812822e-158	EREG
2	2.91537630476836e-160	0.920500308173319	0.866	0.554	7.18990104281972e-156	EZR
2	6.7194841651908e-158	1.29063071516225	0.709	0.332	1.65715918481936e-153	ISG20
2	8.82040641353089e-158	1.0907618529648	0.829	0.413	2.17528862970499e-153	AQP9
2	2.29583213167711e-157	1.00553348541835	0.881	0.473	5.66198120314208e-153	CXCL8
2	2.96714124201184e-154	1.06287664684606	0.81	0.438	7.31756373104959e-150	BCL3
2	8.24475192259794e-152	2.22438861418848	0.312	0.066	2.0333207191511e-147	SERPINB2
2	1.64741559298057e-144	0.740248504638385	0.906	0.651	4.06285633540867e-140	ATP1B3
2	5.97902081070108e-144	1.12529084467962	0.739	0.416	1.4745461123351e-139	DNTTIP2
2	6.10523663140524e-142	0.806427840127146	0.917	0.618	1.50567345803716e-137	MAP3K8
2	2.55539565601786e-140	1.17707658307681	0.726	0.354	6.30211676687125e-136	RETN
2	2.27260748438239e-139	0.994176365741837	0.807	0.466	5.60470457798384e-135	NFKB1
2	2.29723691596513e-138	0.732143929070854	0.909	0.645	5.6654456821532e-134	PLSCR1
2	1.77214846373657e-136	0.995126453800557	0.831	0.432	4.37047254126714e-132	CXCL2
2	4.11700094692077e-136	0.778552000040018	0.894	0.62	1.0153347735296e-131	SELK
2	8.63451482625633e-134	2.46205666524267	0.244	0.046	2.12944404645133e-129	PTGES
2	2.00349086725732e-131	1.03942304311791	0.77	0.401	4.94100917682999e-127	CD300E
2	3.79889581994208e-130	1.77538241173336	0.392	0.117	9.36883687114115e-126	SMAD3
2	3.23576198320651e-127	1.68648653846432	0.43	0.142	7.98003620298389e-123	ECE1
2	3.84418382452409e-126	0.900487613925988	0.83	0.492	9.4805261480413e-122	SERPINB9
2	1.65314648421209e-123	0.85327981636796	0.825	0.546	4.07698985936386e-119	EMD
2	4.80688594483189e-123	0.942068667816003	0.773	0.47	1.18547421171444e-118	DSE
2	5.96216717587138e-123	0.966363175047381	0.792	0.448	1.4703896689134e-118	LILRA5
2	9.03455651296365e-123	0.843522752057443	0.825	0.556	2.2281023272271e-118	CHMP4B
2	1.16011990979798e-122	1.334458187443	0.586	0.272	2.86108772154377e-118	PDE4A
2	2.55605089083655e-122	0.866201947676215	0.799	0.549	6.30373270698111e-118	BID
2	2.76170900353305e-121	0.989519138905404	0.742	0.417	6.8109267445132e-117	C15orf48
2	7.58063053560793e-119	0.801872219921904	0.829	0.565	1.86953510269163e-114	CTNNB1
2	8.88730674519221e-119	1.04294956619487	0.725	0.376	2.1917875894993e-114	RGCC
2	5.02895870917896e-118	0.676817533423301	0.899	0.653	1.24024179685772e-113	TPM4
2	7.31504523566504e-118	0.550528947115462	0.958	0.78	1.80403645601971e-113	TNFRSF1B
2	8.33323183644861e-118	0.589100006231133	0.949	0.736	2.05514163550496e-113	FLNA
3	6.61555184335258e-154	1.02152579229607	0.832	0.528	1.63152739560761e-149	NCF1
3	5.62683804406518e-146	0.890871400288015	0.883	0.569	1.38769079842736e-141	TXNIP
3	7.33096556118943e-133	0.697710000934654	0.979	0.707	1.80796272670054e-128	S100A8
3	1.50629717469112e-116	0.642936581420413	0.902	0.718	3.71483009222323e-112	C10orf54
3	2.78646437866853e-115	0.787481942201912	0.85	0.617	6.87197845067232e-111	CSF3R
3	8.94015592426985e-115	0.963981940378533	0.8	0.425	2.20482125404343e-110	S100A12
3	2.12845016026672e-108	1.38036006504919	0.544	0.254	5.24918378524979e-104	MEGF9
3	5.71286926195819e-106	0.709242013032094	0.851	0.639	1.40890781738413e-101	MNDA
