relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_031.fastq.gz	32998228	gzip	@A00153:862:HGGWHDSX2:3:2452:16595:17394 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_032.fastq.gz	33404858	gzip	@A00153:862:HGGWHDSX2:3:1548:28149:14794 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_033.fastq.gz	31063805	gzip	@A00153:862:HGGWHDSX2:3:1515:21612:21574 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_034.fastq.gz	31897771	gzip	@A00153:862:HGGWHDSX2:3:2666:18295:6277 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_035.fastq.gz	34313063	gzip	@A00153:862:HGGWHDSX2:3:2519:29731:17409 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_036.fastq.gz	30171367	gzip	@A00153:862:HGGWHDSX2:3:2256:23927:24424 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_037.fastq.gz	34457548	gzip	@A00153:862:HGGWHDSX2:3:1138:20609:6464 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_038.fastq.gz	35630929	gzip	@A00153:862:HGGWHDSX2:3:1157:23430:11443 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_039.fastq.gz	33030506	gzip	@A00153:862:HGGWHDSX2:3:1363:15429:22952 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_040.fastq.gz	31054929	gzip	@A00153:862:HGGWHDSX2:3:2513:16604:14653 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_041.fastq.gz	34598597	gzip	@A00153:862:HGGWHDSX2:3:2667:4336:30827 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_042.fastq.gz	31053593	gzip	@A00153:862:HGGWHDSX2:3:2171:11975:26929 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_043.fastq.gz	31763733	gzip	@A00153:862:HGGWHDSX2:3:1475:4951:18208 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_044.fastq.gz	31706331	gzip	@A00153:862:HGGWHDSX2:3:1562:16559:29700 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_045.fastq.gz	32648900	gzip	@A00153:862:HGGWHDSX2:3:1444:23086:2550 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_046.fastq.gz	36211295	gzip	@A00153:862:HGGWHDSX2:3:2519:19027:18693 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_047.fastq.gz	32960739	gzip	@A00153:862:HGGWHDSX2:3:2463:23818:20290 3:N:0:0	100	91:100
