annotation	N	fraction
Intron (ENST00000519416.5/6867, intron 1 of 12)	4	0.000124769955394741
Intron (ENST00000261769.10/999, intron 2 of 15)	4	0.000124769955394741
Intron (ENST00000342505.5/3716, intron 1 of 24)	4	0.000124769955394741
Intron (ENST00000689652.1/102723392, intron 3 of 4)	4	0.000124769955394741
Intron (ENST00000461023.5/8312, intron 1 of 7)	4	0.000124769955394741
Intron (ENST00000539966.6/8428, intron 2 of 10)	4	0.000124769955394741
Intron (ENST00000435224.3/25841, intron 1 of 16)	4	0.000124769955394741
Intron (ENST00000359263.9/26509, intron 3 of 53)	4	0.000124769955394741
Intron (ENST00000539966.6/8428, intron 1 of 10)	4	0.000124769955394741
Intron (ENST00000523949.5/665, intron 5 of 5)	4	0.000124769955394741
Intron (ENST00000257215.10/747, intron 1 of 19)	4	0.000124769955394741
Intron (ENST00000705257.1/100506047, intron 1 of 2)	4	0.000124769955394741
Exon (ENST00000628622.1/ENST00000628622.1, exon 1 of 3)	4	0.000124769955394741
Intron (ENST00000220592.10/27161, intron 1 of 18)	4	0.000124769955394741
Intron (ENST00000649865.1/3480, intron 2 of 20)	4	0.000124769955394741
Exon (ENST00000671359.1/ENST00000671359.1, exon 1 of 4)	4	0.000124769955394741
Exon (ENST00000448322.2/ENST00000448322.2, exon 1 of 8)	4	0.000124769955394741
Exon (ENST00000690958.1/ENST00000690958.1, exon 1 of 1)	4	0.000124769955394741
Exon (ENST00000633556.3/202, exon 4 of 22)	4	0.000124769955394741
Exon (ENST00000481773.1/ENST00000481773.1, exon 1 of 3)	4	0.000124769955394741
Intron (ENST00000638617.1/10095, intron 8 of 16)	4	0.000124769955394741
Exon (ENST00000612409.1/449520, exon 3 of 6)	4	0.000124769955394741
Exon (ENST00000688906.1/ENST00000688906.1, exon 1 of 3)	4	0.000124769955394741
Intron (ENST00000502574.1/80301, intron 5 of 5)	4	0.000124769955394741
Intron (ENST00000494792.1/9679, intron 6 of 9)	4	0.000124769955394741
Exon (ENST00000650238.2/101929567, exon 4 of 5)	4	0.000124769955394741
Exon (ENST00000689042.1/ENST00000689042.1, exon 1 of 1)	4	0.000124769955394741
Intron (ENST00000353383.6/10743, intron 2 of 5)	4	0.000124769955394741
Exon (ENST00000703056.1/ENST00000703056.1, exon 1 of 1)	4	0.000124769955394741
Exon (ENST00000623759.2/ENST00000623759.2, exon 1 of 1)	4	0.000124769955394741
Exon (ENST00000558921.1/51621, exon 2 of 2)	4	0.000124769955394741
Exon (ENST00000607414.2/ENST00000607414.2, exon 1 of 1)	4	0.000124769955394741
Exon (ENST00000615251.1/ENST00000615251.1, exon 1 of 1)	4	0.000124769955394741
Intron (ENST00000521746.5/59339, intron 3 of 8)	4	0.000124769955394741
Intron (ENST00000643167.1/ENST00000643167.1, intron 1 of 3)	4	0.000124769955394741
Intron (ENST00000463526.1/84319, intron 1 of 3)	4	0.000124769955394741
Intron (ENST00000373290.7/23555, intron 1 of 7)	4	0.000124769955394741
Intron (ENST00000586321.1/105371912, intron 1 of 2)	4	0.000124769955394741
