cluster	gene	avg_log_normalized_expression	pct_expressing	cluster_cell_count
0	VWF	0.00860543189065707	0.0116903456762501	17878
0	PLVAP	0.0142579179441083	0.015829511130999	17878
1	CD3D	0.827555575139103	0.376680324922723	13911
1	CD3E	0.745241742563836	0.380490259506865	13911
1	TRAC	0.930784568985126	0.415282869671483	13911
1	CD4	0.28425096335366	0.173100424124793	13911
1	IL7R	0.743428914306584	0.314571202645389	13911
1	CCR7	0.250656196124851	0.137373301703688	13911
1	LTB	0.689303854376322	0.340953202501617	13911
1	MALAT1	3.51779503596157	0.949967651498814	13911
1	FOXP3	0.175891043134317	0.0997771547696068	13911
1	IL2RA	0.19931394227056	0.112860326360434	13911
1	CTLA4	0.263318010888982	0.157788800230034	13911
1	CD8A	0.320032440888167	0.146574653152182	13911
1	CD8B	0.101842023497652	0.0618934656027604	13911
1	GZMK	0.206485791426181	0.100639781467903	13911
1	CCL5	1.06843875721619	0.50291136510675	13911
1	NKG7	0.399499584920658	0.189202789159658	13911
1	GNLY	0.139047289337754	0.0984832147221623	13911
1	GZMB	0.182810226318365	0.109769247358206	13911
1	PRF1	0.166217136207733	0.0958953346272734	13911
1	KLRD1	0.158734457509071	0.155919775717058	13911
1	FCER1G	0.222378096906687	0.151390985551003	13911
1	TRDC	0.0310658071839008	0.0162461361512472	13911
1	MS4A1	0.555583781856598	0.194953633814967	13911
1	CD79A	0.401325938415368	0.182301775573287	13911
1	CD74	1.91457678114814	0.689166846380562	13911
1	CD37	0.761579025183922	0.399683703543958	13911
1	CD27	0.150450394454413	0.102724462655453	13911
1	MZB1	0.168780602741634	0.134785421608799	13911
1	JCHAIN	0.803264667578348	0.476313708575947	13911
1	XBP1	0.322856906182528	0.211990511106319	13911
1	SDC1	0.0208474000288198	0.0228596075048523	13911
1	LYZ	0.338752970697832	0.293221191862555	13911
1	LST1	0.236319657530646	0.146215225361225	13911
1	S100A8	0.547346146848773	0.2670548486809	13911
1	S100A9	0.938454636625519	0.385737905254834	13911
1	FCGR3A	0.174460587382708	0.119976996621379	13911
1	VCAN	0.0199879292011151	0.0309826755804759	13911
1	C1QA	0.0502929255857121	0.0640500323485012	13911
1	C1QB	0.0685024968945412	0.0831715908274028	13911
1	C1QC	0.0527755625007291	0.0695133347710445	13911
1	APOE	0.052116672630094	0.0656315146287111	13911
1	SPP1	0.0644578842948241	0.0688663647473223	13911
1	CD1C	0.0235544668294029	0.0164617928258213	13911
1	CLEC10A	0.00569270458763163	0.00790741140104953	13911
1	FCER1A	0.00524924547830464	0.00380993458414205	13911
1	CLEC9A	0.00169341340451471	0.00129394004744447	13911
1	XCR1	4.75569589709888e-05	7.18855581913594e-05	13911
1	IL3RA	0.0190968702927795	0.0154553950111423	13911
1	LAMP3	0.00905879630402383	0.0141614549636978	13911
1	FSCN1	0.0435626303885477	0.0419811659837539	13911
1	CCL19	0.00154228276390281	0.00287542232765437	13911
1	TPSAB1	0.0627716828123146	0.0791459995686867	13911
1	TPSB2	0.117421172242384	0.135072963841564	13911
1	CPA3	0.0347571760061388	0.0477320106390626	13911
1	KIT	0.0200424292240786	0.0164617928258213	13911
1	MKI67	0.0460232740848404	0.0323485011861117	13911
1	TOP2A	0.0549600100306442	0.0386744303069513	13911
1	STMN1	0.316748865431211	0.19143124146359	13911
1	EPCAM	0.0229439531453779	0.0346488390482352	13911
1	KRT8	0.0844460290912376	0.10948170512544	13911
1	KRT18	0.0561218730682058	0.0685069369563655	13911
1	KRT19	0.0415009403833965	0.0506793185249084	13911
1	COL1A1	0.0446127746376342	0.0649845446049889	13911
1	COL1A2	0.0257338360341705	0.0397527136798217	13911
1	COL3A1	0.0339403319458738	0.0494572640356552	13911
1	RGS5	0.0459861358416747	0.061605923369995	13911
1	PECAM1	0.102521976004024	0.0820933074545324	13911
1	VWF	0.0076425002319816	0.0118611171015743	13911
1	PLVAP	0.0183399251015092	0.0273165121127166	13911
10	CD3D	0.0438908506232358	0.0650907845152449	2919
