gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	resolution	positive_direction	passes_primary_filter	rank
JCHAIN	22	5.13391977048367	3.9971896078439	16212653.5	0.934864909623565	1.53201801330277e-110	6.60772135954263e-107	100	50.6023961607732	0.8	TRUE	TRUE	3
IGKC	22	6.59091178484165	4.24130074207114	16027071	0.92416372692758	4.03291167766478e-93	1.15961894278276e-89	100	86.3121273477789	0.8	TRUE	TRUE	4
IGKV1-39	22	1.67814525853533	1.48955368947516	15554564	0.896917711101022	1.2745921413206e-172	1.64922663645825e-168	87.6288659793815	18.7464342845637	0.8	TRUE	TRUE	5
IGKV3-20	22	1.59486780599049	1.38963659807736	15547824.5	0.896529093527815	6.46955843486483e-166	6.69689871826598e-162	88.659793814433	19.676037273612	0.8	TRUE	TRUE	6
IGKV1-5	22	1.49557397155221	1.33427180039362	15424346.5	0.889409022201397	9.48138870142197e-178	2.45364117509748e-173	86.0824742268041	17.2250623650621	0.8	TRUE	TRUE	7
IGLL5	22	2.30541705317026	1.53170850130086	14980759.5	0.86383061082875	1.76099916389508e-77	3.64576134902871e-74	94.8453608247423	51.3809806136946	0.8	TRUE	TRUE	8
IGKV1D-39	22	1.25701816257746	1.11758102563171	14873887	0.857668056990555	5.89302323788154e-176	1.01668401241012e-171	79.8969072164949	14.2013356750529	0.8	TRUE	TRUE	9
IGKV3-11	22	1.08427734534559	0.983741732119399	14739800.5	0.849936271215683	2.8679108650177e-213	1.48434462640721e-208	76.8041237113402	10.7637063304733	0.8	TRUE	TRUE	10
KRT4	23	2.62959673287171	2.48142210127288	11054256.5	0.972964338964672	0	0	100	4.16051866756092	0.8	TRUE	TRUE	1
SPRR3	23	2.10332563610427	1.99112021724374	11025108.5	0.970398814584797	0	0	98.4251968503937	5.13637379834563	0.8	TRUE	TRUE	2
KRT13	23	3.38501636728716	3.18807691638011	11016195.5	0.9696143175765	0	0	100	4.94634473507713	0.8	TRUE	TRUE	3
KRT5	23	2.09929450806285	1.95703052836803	10980375	0.966461498650697	0	0	99.2125984251969	4.4846858931366	0.8	TRUE	TRUE	4
S100A2	23	1.86006263271876	1.73851588709275	10909347.5	0.960209859330964	0	0	98.4251968503937	4.43438408227141	0.8	TRUE	TRUE	5
KRT6A	23	1.64959925048424	1.53439309334052	10890697	0.958568295160288	0	0	97.6377952755906	4.03532304940756	0.8	TRUE	TRUE	6
FABP5	23	3.02111846836553	2.57047914451142	10822881.5	0.952599366980536	8.28780435957619e-114	7.94355352293675e-111	100	26.6118935837246	0.8	TRUE	TRUE	7
