p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	marker_rank
5.96159006593146e-214	7.34997595215074	0.23	0.003	2.00667121619253e-209	13	UHRF1	5
2.53064284532072e-133	7.29621625783451	0.122	0.001	8.51814381734953e-129	13	KIF15	6
0	7.26783302702425	0.432	0.007	0	13	MKI67	7
4.35624875751786e-98	7.16817046053829	0.176	0.004	1.46631333178051e-93	13	ASPM	8
8.90598395825837e-145	7.10550268750703	0.216	0.004	2.99775420034977e-140	13	CDCA5	9
4.30790099112042e-85	7.09876518303004	0.135	0.003	1.45003947361113e-80	13	SPC24	10
8.21189958872427e-227	6.865098732819	0.102	0.001	2.76412540156459e-222	6	TCL1B	1
0	6.37348014458132	0.183	0.002	0	6	RP11-164H13.1	2
0	5.81298987225939	0.76	0.016	0	6	TCL1A	3
5.08750570420917e-193	4.85759613729005	0.135	0.005	1.71245442003681e-188	6	RP11-428G5.5	4
0	4.79308103096389	0.594	0.032	0	6	FCER2	5
1.05125574820174e-217	4.62378415269431	0.228	0.017	3.53852684844704e-213	6	BCL7A	6
0	4.51086216131155	0.869	0.028	0	6	IGHD	7
0	4.27973220646178	0.328	0.021	0	6	FAM129C	8
5.44532454941615e-230	4.21782148445607	0.238	0.017	1.83289624333348e-225	6	RP11-231C14.7	9
2.59775199784742e-135	4.15240148074401	0.14	0.01	8.74403322475442e-131	6	SNX22	10
0	4.65292673185311	0.753	0.085	0	5	HSPA6	1
0	3.99934572885067	0.975	0.335	0	5	HSPA1A	2
0	3.8849038031681	0.933	0.275	0	5	HSPA1B	3
1.75499844664062e-256	3.7626979572837	0.442	0.092	5.90732477139234e-252	5	BAG3	4
0	3.71302746788114	0.989	0.518	0	5	DNAJB1	5
9.48562003758642e-173	3.56794926795862	0.234	0.034	3.19285970465159e-168	5	DNAJA4	6
0	3.49161643694332	0.781	0.233	0	5	CACYBP	7
3.40127881747559e-261	3.4637726531854	0.565	0.162	1.14487044996228e-256	5	ZFAND2A	8
9.79113851843086e-84	3.35141428781587	0.146	0.026	3.29569722530383e-79	5	NKRF	9
1.26971798958049e-106	3.24087550230649	0.161	0.025	4.27387075292792e-102	5	TNFSF14	10
1.10425472791114e-31	6.23660686950527	0.125	0.002	3.7169214141489e-27	14	RBFOX3	1
2.88476805699947e-28	5.98577120815237	0.125	0.002	9.7101292798602e-24	14	MYZAP	2
2.40367802393294e-19	5.5510677677404	0.125	0.003	8.09078022855826e-15	14	RP11-488C13.5	3
3.36315914219397e-31	5.13812723506366	0.188	0.004	1.13203936726249e-26	14	LINGO3	4
8.74464337054999e-21	4.94105139656773	0.125	0.003	2.94344695852713e-16	14	AP000476.1	5
9.86812300240226e-07	4.92748810421389	0.125	0.009	0.033216102026086	14	PXYLP1	6
1.17424363270819e-10	4.87541003562806	0.125	0.005	3.95250406769578e-06	14	C10orf111	7
1.33663126960005e-15	4.86487570571871	0.125	0.004	4.49910085347378e-11	14	ZNF2	8
7.76318106377668e-12	4.80229402273717	0.125	0.005	2.61308674606723e-07	14	CBLN3	9
5.29528118591676e-12	4.68442815736066	0.125	0.005	1.78239164717958e-07	14	TEF	10
0	10.0349061216497	0.453	0.002	0	9	TREM2	1
0	10.010591922914	0.212	0.001	0	9	MARCO	2
0	9.63659444337451	0.503	0.002	0	9	MSR1	3
0	9.35267381102137	0.487	0.002	0	9	CD163	4
0	9.17633784051429	0.389	0.002	0	9	VSIG4	5
0	9.15097778990254	0.659	0.021	0	9	C1QB	6
0	9.06206112122336	0.329	0.002	0	9	SDS	7
0	9.00359918586008	0.665	0.021	0	9	C1QA	8
0	9.00121442988411	0.131	0	0	9	CD300E	9
0	8.99554615797804	0.683	0.024	0	9	C1QC	10
5.38612630919278e-274	5.22027613569812	0.16	0.037	1.61163671423666e-269	0	IGKV3OR2-268	1
0	3.76325819098914	0.178	0.036	0	0	IGLV2-18	2
2.16571721043616e-231	2.9882744609292	0.157	0.042	6.48025903706707e-227	0	IGLV3-25	3
9.61825866587379e-279	2.93019916897824	0.19	0.052	2.87797535800276e-274	0	IGHV1-18	4
1.96998104520973e-216	2.88771237853692	0.137	0.035	5.89457728347654e-212	0	IGHV7-4-1	5
0	2.85680232446113	0.369	0.098	0	0	IGLV6-57	6
2.16799844762812e-266	2.83933770093131	0.168	0.042	6.48708495499286e-262	0	IGHV3-72	7
0	2.8127016878514	0.315	0.078	0	0	IGLV2-23	8
2.15912655843554e-227	2.7599431840302	0.138	0.034	6.46053848815084e-223	0	IGKV3D-11	9
0	2.74713562948817	0.342	0.094	0	0	IGLV2-11	10
5.89054546025962e-257	3.19445167160476	0.133	0.026	1.76256901261888e-252	1	DNAAF1	1
4.76246689466356e-216	3.13268342747859	0.117	0.024	1.42502534422123e-211	1	AC009522.1	2
0	3.11641095072327	0.341	0.096	0	1	IGHG1	3
0	2.93523001611393	0.202	0.049	0	1	IGHG4	4
0	2.93295512771773	0.2	0.048	0	1	AC239799.2	5
0	2.82681214793974	0.251	0.072	0	1	IGHG2	6
0	2.79648658442007	0.392	0.109	0	1	AC007569.1	7
0	2.76537214103966	0.225	0.061	0	1	IGHG3	8
2.51849534701896e-200	2.63017374034133	0.138	0.036	7.53584177735012e-196	1	LINC00309	9
3.52502329525026e-286	2.58456746474461	0.219	0.066	1.05475747040478e-281	1	HIST1H2BG	10
0	10.462671942048	0.311	0.006	0	10	PI3	1
0	9.88702545572799	0.208	0.001	0	10	CXCR1	2
0	9.83253524762501	0.672	0.006	0	10	FCGR3B	3
0	9.31127740917152	0.325	0.003	0	10	FFAR2	4
0	9.30536810952807	0.359	0.003	0	10	CXCR2	5
0	9.21559416060827	0.128	0.001	0	10	CEACAM3	6
0	9.0621724496531	0.38	0.003	0	10	CMTM2	7
0	8.96230536948883	0.8	0.013	0	10	CSF3R	8
0	8.93933455308356	0.408	0.005	0	10	HCAR3	9
0	8.93608895923103	0.154	0.001	0	10	ADGRE3	10
0	24.2992004704595	1	0	0	15	MT-CO1	1
0	23.9850874857405	1	0	0	15	MT-CO2	2
0	23.1843258535436	0.99	0	0	15	MT-CO3	3
0	22.8089806781825	0.981	0	0	15	MT-ATP6	4
0	22.789662571461	0.981	0	0	15	MT-CYB	5
0	22.046188241068	0.99	0	0	15	MT-ND4L	6
0	21.9267158105511	1	0	0	15	MT-ND1	7
0	21.8787529914126	0.981	0	0	15	MT-ND4	8
0	21.7893830425746	0.981	0	0	15	MT-ND3	9
0	21.138995656824	0.971	0	0	15	MT-ND2	10
