dataset_id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	marker_rank
GSE178318	8.51200223784894e-63	2.05970033422232	0.17	0.068	2.86513995325995e-58	2	CD8A	17
GSE178318	2.4638505327411e-114	2.03267009259405	0.242	0.085	8.29332089320653e-110	2	CD96	18
GSE178318	7.14344313222229e-10	2.01793392366994	0.104	0.072	2.40448295830602e-05	2	PERP	19
GSE178318	2.16955174454683e-58	2.01202121771212	0.13	0.044	7.30271117214462e-54	2	GPR171	20
GSE178318	0	1.97059465701472	0.68	0.38	0	2	TNFAIP3	21
GSE178318	1.8849407030534e-32	1.96521008309038	0.108	0.047	6.34471040647775e-28	2	JAML	22
GSE178318	4.54624783247826e-91	1.93485333235605	0.242	0.099	1.53026702041218e-86	2	SPOCK2	23
GSE178318	5.49794278443597e-255	1.92515550533912	0.533	0.226	1.85060754124115e-250	2	CD2	24
GSE178318	4.60834285515988e-208	1.91051783299794	0.556	0.299	1.55116820504682e-203	2	TRBC2	25
GSE178318	1.84050683633456e-71	1.91046932290267	0.188	0.074	6.19514601110213e-67	2	CD6	26
GSE178318	7.41777452397313e-43	1.90011788972753	0.119	0.046	2.49682290476936e-38	2	TC2N	27
GSE178318	8.52735412069988e-28	1.88787203104122	0.108	0.051	2.87030739702758e-23	2	OXNAD1	28
GSE178318	6.89290056978756e-41	1.87627728460501	0.128	0.054	2.32015033179049e-36	2	CXCR3	29
GSE178318	1.55328353840238e-39	1.83429820495748	0.2	0.113	5.22835239026239e-35	2	RNF19A	30
GSE178318	1.67250925518223e-192	1.80934567083339	0.58	0.336	5.62966615294338e-188	2	CREM	31
GSE178318	7.55829575970765e-66	1.80694116137933	0.191	0.079	2.54412235271759e-61	2	SH2D1A	32
GSE178318	5.14275624754001e-53	1.78521568788508	0.152	0.061	1.73105175292197e-48	2	GATA3	33
GSE178318	1.58403707732378e-21	1.77919212970404	0.128	0.073	5.33186880227184e-17	2	GALM	34
GSE178318	1.17887973246802e-105	1.75185612833991	0.401	0.23	3.96810917948734e-101	2	ITM2A	35
GSE178318	2.24538248436812e-248	1.74207628936934	0.524	0.209	7.55795744238309e-244	2	CD3E	36
GSE178318	7.38547011180132e-55	1.73683134501379	0.266	0.153	2.48594923963232e-50	2	RORA	37
GSE178318	6.06459366319591e-31	1.73549252673535	0.138	0.07	2.04134222703174e-26	2	RCAN3	38
GSE178318	7.75504805124593e-62	1.71165450954321	0.351	0.237	2.61034917404938e-57	2	RP11-138A9.1	39
GSE178318	3.09699674095543e-85	1.70904788750581	0.372	0.205	1.0424491030056e-80	2	KLRB1	40
GSE178318	4.32172095485536e-37	1.68450450907204	0.256	0.168	1.45469127340431e-32	2	RP11-138A9.2	41
GSE178318	1.41361724671571e-12	1.68436301269653	0.1	0.063	4.75823565244509e-08	2	FAM129A	42
GSE178318	1.04003785311579e-70	1.67856372903812	0.267	0.134	3.50076741358776e-66	2	PTGER4	43
GSE178318	2.52106133372933e-16	1.64119547575654	0.203	0.156	8.48589244933292e-12	2	RBPJ	44
GSE178318	1.4696526450653e-12	1.63002975924327	0.15	0.109	4.94685080328981e-08	2	SLC7A5	45
GSE178318	1.03841349211907e-14	1.63001826886942	0.102	0.061	3.4952998144728e-10	2	PDE4D	46
GSE178318	6.01028708920967e-40	1.62779505881021	0.227	0.135	2.02306263422798e-35	2	EML4	47
GSE178318	8.08970793049509e-51	1.62646356864354	0.215	0.111	2.72299568940465e-46	2	SLA	48
GSE178318	4.77636298501078e-61	1.61967809813163	0.369	0.258	1.60772378075463e-56	2	FAM177A1	49
GSE178318	2.58229892480331e-21	1.61896265249842	0.182	0.122	8.69201818088794e-17	2	AC016831.7	50
GSE178318	0	8.06731706528897	0.296	0.013	0	3	IGLL5	1
GSE178318	0	7.82469108467046	0.705	0.118	0	3	IGHG2	2
GSE178318	0	7.48448819156617	0.328	0.004	0	3	IGLV6-57	3
GSE178318	0	7.26131629074186	0.918	0.335	0	3	IGHG1	4
GSE178318	0	7.14871277783562	0.78	0.156	0	3	IGHA2	5
GSE178318	0	6.83883162048194	0.981	0.316	0	3	JCHAIN	6
GSE178318	0	6.7369788203217	0.929	0.29	0	3	IGHG3	7
GSE178318	0	6.7231795948453	0.373	0.038	0	3	IGLC7	8
GSE178318	0	6.70828290000419	0.892	0.353	0	3	IGLC3	9
GSE178318	2.68926352337768e-288	6.57503849037643	0.958	0.508	9.05206101968926e-284	3	IGLC2	10
GSE178318	0	6.55930228838953	0.96	0.469	0	3	IGHA1	11
GSE178318	0	6.5003076529824	0.997	0.793	0	3	IGKC	12
GSE178318	0	6.50010312630213	0.42	0.002	0	3	RP11-290F5.1	13
GSE178318	0	6.40925548933272	0.264	0.001	0	3	FAM92B	14
GSE178318	1.73421870770034e-280	6.38516644124272	0.958	0.454	5.83738017011935e-276	3	IGHG4	15
GSE178318	0	6.24598898015738	0.271	0.005	0	3	IGKV1-12	16
GSE178318	0	5.81332412195279	0.159	0.001	0	3	SCNN1B	17
GSE178318	0	5.77121799709364	0.997	0.07	0	3	MZB1	18
GSE178318	0	5.69940605045458	0.705	0.009	0	3	TNFRSF17	19
GSE178318	0	5.58956485398706	0.627	0.009	0	3	JSRP1	20
GSE178318	0	5.53251156590716	0.248	0.002	0	3	IGLV3-1	21
GSE178318	1.20767924549252e-201	5.37314051142389	0.649	0.205	4.06504834032781e-197	3	IGHM	22
GSE178318	0	5.22272286361884	0.161	0.001	0	3	SMPDL3B	23
GSE178318	1.22209128564102e-272	5.05141566583166	0.138	0.005	4.11355926746768e-268	3	DNAAF1	24
GSE178318	0	4.86136217634587	0.942	0.043	0	3	DERL3	25
GSE178318	0	4.58404305660917	0.636	0.015	0	3	SDC1	26
GSE178318	1.71171891480331e-269	4.49632904498742	0.115	0.002	5.76164586722793e-265	3	TAS1R3	27
GSE178318	1.0734583762646e-188	4.44568561142819	0.105	0.005	3.61326089450664e-184	3	IGKV1-5	28
GSE178318	0	4.33987102968707	0.185	0.007	0	3	IGKV4-1	29
GSE178318	0	4.30750131898698	0.375	0.01	0	3	CCR10	30
GSE178318	0	4.29946703694677	0.176	0.003	0	3	LMTK3	31
GSE178318	1.21399838975419e-284	4.21910655416025	0.146	0.005	4.08631857991259e-280	3	IGKV3-20	32
GSE178318	0	4.14025259243431	0.396	0.006	0	3	RP11-16E12.2	33
GSE178318	2.12354994229e-246	4.12607984353116	0.137	0.006	7.14786910574812e-242	3	IGLV2-14	34
GSE178318	0	3.93229134174127	0.147	0.003	0	3	ABCB9	35
GSE178318	0	3.82728454617729	0.308	0.009	0	3	TXNDC5	36
GSE178318	0	3.78054663133928	0.168	0.004	0	3	HID1	37
GSE178318	0	3.68444948853781	0.571	0.014	0	3	FCRL5	38
GSE178318	0	3.62492778285666	0.51	0.014	0	3	SPAG4	39
GSE178318	5.68705695026776e-230	3.46820853473245	0.125	0.005	1.91426336946013e-225	3	IGHV3-23	40
GSE178318	0	3.46106882614135	0.193	0.005	0	3	C2orf88	41
GSE178318	0	3.43973096990256	0.271	0.008	0	3	PAIP2B	42
GSE178318	0	3.29853781327242	0.199	0.006	0	3	RP11-1070N10.3	43
GSE178318	0	3.26540245548643	0.238	0.009	0	3	KCNN3	44
GSE178318	0	3.26121558268608	0.185	0.009	0	3	B9D1	45
GSE178318	0	3.07608578490741	0.997	0.567	0	3	SSR4	46
GSE178318	2.40908074546671e-189	3.03384403485665	0.116	0.007	8.10896578924096e-185	3	SPINK2	47
GSE178318	0	3.02116708156353	0.378	0.014	0	3	CTA-384D8.34	48
GSE178318	0	2.96666973013154	0.887	0.119	0	3	PRDX4	49
GSE178318	0	2.94603500615235	0.152	0.004	0	3	RP11-492E3.2	50
GSE178318	0	12.2992803473079	0.275	0	0	4	OMD	1
GSE178318	0	12.1783323884309	0.166	0	0	4	C16orf89	2
GSE178318	0	10.1025056134419	0.231	0.001	0	4	CCL11	3
GSE178318	0	9.85239545440423	0.709	0.009	0	4	SFRP2	4
GSE178318	0	9.78490626262279	0.349	0.005	0	4	PLA2G2A	5
GSE178318	0	9.65619284781	0.895	0.01	0	4	FBLN1	6
GSE178318	0	9.54818373775238	0.426	0.002	0	4	DPT	7
GSE178318	0	9.47851412018974	0.557	0.004	0	4	SFRP4	8
GSE178318	0	9.46081532359004	0.153	0	0	4	WNT2	9
GSE178318	0	9.2817480487439	0.281	0	0	4	CILP	10
GSE178318	0	9.23819043473681	0.163	0	0	4	COL11A1	11
GSE178318	0	9.21107817024691	0.488	0.008	0	4	CXCL14	12
GSE178318	0	9.20074531405188	0.385	0.002	0	4	SFRP1	13
GSE178318	0	9.19804625058119	0.258	0	0	4	COL10A1	14
GSE178318	0	9.0508744716485	0.165	0.001	0	4	LINC01082	15
GSE178318	8.28121677974391e-302	8.93763633010382	0.114	0	2.7874575680618e-297	4	LMO3	16
GSE178318	0	8.89841208866318	0.614	0.006	0	4	APOD	17
GSE178318	0	8.89256634775972	0.433	0.002	0	4	OGN	18
GSE178318	0	8.88746447519094	0.953	0.024	0	4	LUM	19
GSE178318	0	8.87051228146976	0.249	0.001	0	4	GREM1	20
GSE178318	0	8.85441716398469	0.138	0	0	4	AOX1	21
GSE178318	0	8.68794370233639	0.242	0.001	0	4	SLIT2	22
GSE178318	7.59735291471419e-305	8.62236503592514	0.113	0	2.5572689910928e-300	4	RP5-1172A22.1	23
GSE178318	0	8.56034873829543	0.338	0.001	0	4	ABCA8	24
GSE178318	0	8.54878177596578	0.401	0.002	0	4	MXRA5	25
GSE178318	0	8.49862724679443	0.129	0	0	4	PLPP4	26
GSE178318	0	8.44445999355805	0.127	0	0	4	DIO2	27
GSE178318	0	8.43707683564493	0.487	0.002	0	4	HTRA3	28
GSE178318	0	8.35351533396308	0.186	0	0	4	PCDH7	29
GSE178318	0	8.26486525738044	0.332	0.001	0	4	MFAP5	30
GSE178318	0	8.24600476403027	0.243	0.001	0	4	HSD11B1	31
GSE178318	0	8.21643824652807	0.871	0.007	0	4	COL6A3	32
GSE178318	0	8.20961372045452	0.432	0.002	0	4	COL8A1	33
GSE178318	0	8.16284420431296	0.348	0.001	0	4	PDGFRL	34
GSE178318	0	8.11561796061201	0.252	0.001	0	4	PTGIS	35
GSE178318	0	8.06372729461483	0.971	0.034	0	4	DCN	36
GSE178318	2.38075633459738e-297	8.02615309654432	0.125	0.001	8.01362582225478e-293	4	THBS4	37
GSE178318	0	8.02119610491834	0.369	0.002	0	4	ADH1B	38
GSE178318	0	7.91846139611851	0.494	0.002	0	4	PDGFRA	39
GSE178318	2.27320932781758e-274	7.913793121877	0.107	0.001	7.65162259743396e-270	4	BDKRB1	40
GSE178318	0	7.86187594829186	0.2	0.001	0	4	SCARA5	41
GSE178318	0	7.8531330748959	0.209	0.001	0	4	CHRDL1	42
GSE178318	0	7.83306707491354	0.248	0.001	0	4	ITGBL1	43
GSE178318	0	7.80638291436694	0.192	0	0	4	SPOCK1	44
GSE178318	0	7.80025698718654	0.721	0.009	0	4	C3	45
GSE178318	0	7.78725807036113	0.117	0	0	4	FAM198A	46
GSE178318	0	7.75378086777826	0.91	0.024	0	4	COL3A1	47
GSE178318	0	7.74892049381635	0.193	0.001	0	4	FNDC1	48
GSE178318	0	7.72725139247252	0.965	0.027	0	4	COL1A2	49
GSE178318	0	7.72355689836461	0.234	0.001	0	4	COMP	50
GSE178318	0	4.65292673185311	0.753	0.085	0	5	HSPA6	1
GSE178318	0	3.99934572885067	0.975	0.335	0	5	HSPA1A	2
GSE178318	0	3.8849038031681	0.933	0.275	0	5	HSPA1B	3
GSE178318	1.75499844664062e-256	3.7626979572837	0.442	0.092	5.90732477139234e-252	5	BAG3	4
GSE178318	0	3.71302746788114	0.989	0.518	0	5	DNAJB1	5
GSE178318	9.48562003758642e-173	3.56794926795862	0.234	0.034	3.19285970465159e-168	5	DNAJA4	6
GSE178318	0	3.49161643694332	0.781	0.233	0	5	CACYBP	7
GSE178318	3.40127881747559e-261	3.4637726531854	0.565	0.162	1.14487044996228e-256	5	ZFAND2A	8
GSE178318	9.79113851843086e-84	3.35141428781587	0.146	0.026	3.29569722530383e-79	5	NKRF	9
GSE178318	1.26971798958049e-106	3.24087550230649	0.161	0.025	4.27387075292792e-102	5	TNFSF14	10
GSE178318	1.69598527509598e-297	3.2164251947183	0.742	0.298	5.70868643597306e-293	5	HSPD1	11
GSE178318	0	3.05264578477141	0.992	0.758	0	5	HSP90AA1	12
GSE178318	0	3.04200860434055	0.718	0.224	0	5	HSPH1	13
GSE178318	0	2.94588804863146	0.887	0.458	0	5	HSPE1	14
GSE178318	9.67942556027349e-44	2.84348072368358	0.132	0.037	3.25809464358806e-39	5	MB21D1	15
GSE178318	1.58911866211986e-77	2.83082077909655	0.309	0.117	5.34897341669544e-73	5	ANKRD37	16
GSE178318	7.21052639685773e-148	2.79995445617648	0.421	0.125	2.42706318518231e-143	5	IFNG	17
GSE178318	1.92657139812519e-118	2.79476061440052	0.272	0.064	6.48483932608938e-114	5	TNF	18
GSE178318	1.83585984614175e-36	2.76488899321561	0.1	0.026	6.17950424211313e-32	5	HYPK	19
GSE178318	7.26677936597284e-79	2.75917212756821	0.271	0.09	2.44599793458646e-74	5	FKBP4	20
GSE178318	3.34508593015935e-54	2.75701339116038	0.217	0.077	1.12595592409164e-49	5	DNAJB4	21
GSE178318	1.16184091300148e-57	2.60805377373084	0.138	0.032	3.91075651316297e-53	5	XCL1	22
GSE178318	2.80048145255804e-161	2.55937389169344	0.515	0.189	9.42642056931035e-157	5	DEDD2	23
GSE178318	3.942570328726e-37	2.51239563776901	0.104	0.027	1.32706917264917e-32	5	TNFRSF9	24
GSE178318	1.47359005208369e-35	2.50203773614109	0.152	0.054	4.96010411531371e-31	5	ARL4D	25
GSE178318	2.37211274126157e-94	2.49264185263345	0.407	0.174	7.98453148708645e-90	5	MRPL18	26
GSE178318	1.01764299378876e-164	2.47391984437351	0.441	0.125	3.42538631709297e-160	5	DUSP4	27
GSE178318	3.1200696518423e-176	2.44949908622153	0.494	0.151	1.05021544481012e-171	5	DOK2	28
GSE178318	2.69921920075708e-90	2.43687497312007	0.33	0.116	9.08557182974833e-86	5	CHORDC1	29
GSE178318	0	2.42979107542759	0.948	0.718	0	5	HSPA8	30
GSE178318	8.70592468223797e-68	2.42479460120602	0.248	0.083	2.9304142480413e-63	5	HSPA2	31
GSE178318	1.65530903471708e-39	2.41969181745138	0.151	0.05	5.57177021085768e-35	5	HNRNPLL	32
GSE178318	8.2120649847951e-75	2.34728462096363	0.229	0.065	2.76418107388203e-70	5	GATA3	33
GSE178318	1.85431078305326e-97	2.32548048923898	0.223	0.05	6.24161009575726e-93	5	TRAT1	34
