gene_symbol	cluster	mean_log_norm	pct_expr	program
VWF	E04_endothelial_CD36	1.07653963257954	0.548507462686567	endothelial
EPCAM	E04_endothelial_CD36	0.142732416856259	0.0970149253731343	epithelial_tumor
KRT18	E04_endothelial_CD36	0.0440785021473766	0.0373134328358209	epithelial_tumor
KRT19	E04_endothelial_CD36	0.0191962309365856	0.0111940298507463	epithelial_tumor
KRT8	E04_endothelial_CD36	0.0762379059967236	0.0559701492537313	epithelial_tumor
COL1A1	E04_endothelial_CD36	0.941828968132305	0.477611940298507	f01_prelp
COL1A2	E04_endothelial_CD36	0.447486289216828	0.261194029850746	f01_prelp
DCN	E04_endothelial_CD36	0.192853013309795	0.115671641791045	f01_prelp
LUM	E04_endothelial_CD36	0.0847866054855396	0.0559701492537313	f01_prelp
PRELP	E04_endothelial_CD36	0.0164672480990884	0.0149253731343284	f01_prelp
ACTA2	E04_endothelial_CD36	0.228442553694548	0.130597014925373	f02_mcam
CSPG4	E04_endothelial_CD36	0.010091776489728	0.00746268656716418	f02_mcam
MCAM	E04_endothelial_CD36	1.03851283688882	0.529850746268657	f02_mcam
PDGFRB	E04_endothelial_CD36	0.052148891013418	0.0298507462686567	f02_mcam
RGS5	E04_endothelial_CD36	0.241277778347037	0.115671641791045	f02_mcam
TAGLN	E04_endothelial_CD36	0.126230400016634	0.0858208955223881	f02_mcam
C3	E04_endothelial_CD36	0.0579357897049498	0.041044776119403	f03_cxcl14
CFD	E04_endothelial_CD36	0	0	f03_cxcl14
CXCL12	E04_endothelial_CD36	1.24302037288127	0.555970149253731	f03_cxcl14
CXCL14	E04_endothelial_CD36	0.227091461572969	0.145522388059702	f03_cxcl14
SFRP1	E04_endothelial_CD36	0	0	f03_cxcl14
C3	E04_endothelial_CD36	0.0579357897049498	0.041044776119403	f04_c3
CCL2	E04_endothelial_CD36	0.414428862435028	0.186567164179104	f04_c3
CFD	E04_endothelial_CD36	0	0	f04_c3
CXCL12	E04_endothelial_CD36	1.24302037288127	0.555970149253731	f04_c3
COCH	E04_endothelial_CD36	0	0	f05_coch
COL14A1	E04_endothelial_CD36	0.0329259283652747	0.0223880597014925	f05_coch
PI16	E04_endothelial_CD36	0.0149916602849082	0.0111940298507463	f05_coch
CENPF	E04_endothelial_CD36	0.0151462656600664	0.0111940298507463	f06_cycling
MKI67	E04_endothelial_CD36	0.00937844606897995	0.00746268656716418	f06_cycling
TOP2A	E04_endothelial_CD36	0.00442455790059534	0.00373134328358209	f06_cycling
