geo_accession	subject	genotype	treatment	cells	mitochondrial_gene_count	nCount_RNA_min	nCount_RNA_q01	nCount_RNA_q05	nCount_RNA_median	nCount_RNA_mean	nCount_RNA_q95	nCount_RNA_q99	nCount_RNA_max	nCount_RNA_mad	nFeature_RNA_min	nFeature_RNA_q01	nFeature_RNA_q05	nFeature_RNA_median	nFeature_RNA_mean	nFeature_RNA_q95	nFeature_RNA_q99	nFeature_RNA_max	nFeature_RNA_mad	percent_mt_min	percent_mt_q01	percent_mt_q05	percent_mt_median	percent_mt_mean	percent_mt_q95	percent_mt_q99	percent_mt_max	percent_mt_mad
GSM6213979	P27	normal	anti-PD-1	7546	13	501	554.796666666667	797	7616	10137.6790352505	29462.6500000001	49779.2800000001	92347	4008.5	38	56	112.65	861	1213.13411078717	3845	5749.84666666667	7867	495	0.908894178749189	7.12679801421977	14.9833403328234	72.6983414230407	65.5638731674637	98.5135640181471	99.3620885906023	99.6740704973443	18.7640898781853
GSM6213980	P27	tumor	untreated	7069	13	500	523	625	10060	19389.4291979064	71343.6	116704.906666667	220055	8740	83	158	286	2175	2840.8030838874	7353.4	8788.76	10155	1615	0.203411338782518	2.47260266376737	6.05399727640148	26.1682242990654	31.2087389912606	72.4386921308434	90.2151821833029	99.2226654392963	13.6998339393606
GSM6213981	P28	tumor	anti-PD-1	4109	13	748	798.28	1008.4	4622	6079.31881236311	16024.8000000001	31185.2800000001	73178	2462	15	24	33	598	864.019469457289	2731.6	5011.16000000001	7964	416	1.82429377420433	10.0947611388227	18.5845663452978	70.9466811751904	66.5301365334393	99.5784132524989	99.7609443005666	99.8803827751196	21.3667121546137
GSM6213982	P28	normal	anti-PD-1	10942	13	1056	1097.75666666667	1322	4892	5920.71358069823	14713.65	24089.4333333333	68942	1751	45	65.7566666666667	86	475	788.33549625297	2719.65	4212.73	7722	297	5.39036591535046	18.4543110941259	31.5072339477905	82.8301152993293	76.395435473533	98.1193622383532	98.7061140862583	99.4711538461539	12.1528016777178
GSM6213983	P28	tumor	untreated	6227	13	500	528	656	5638	11497.3329050907	43470.4	81255.9200000001	228001	4483	58	135.606666666667	251	1299	2041.08414967079	6234	8043.78666666667	10312	846	0.567031186715269	4.79992211093835	9.41049006919375	35.414551607445	39.2506457410831	78.5832119338115	88.9702521859743	99.22419460881	16.8555996423795
GSM6213984	P29	tumor	anti-PD-1	7355	13	500	520.886666666667	617.1	3034	6327.12780421482	23421.8	40536.5533333334	85573	2230	29	50	128	795	1074.8643099932	3317.49999999999	5060.00666666669	8393	439	1.87891440501044	5.30413911315199	9.2948026292508	42.8030303030303	47.6176267642567	97.1927254333498	99.3776811592	99.7630331753555	24.6006560803056
GSM6213985	P29	normal	anti-PD-1	7260	13	511	562	885.75	5651	7137.22424242424	19719.6	31764.3933333333	58317	2015	19	31.9366666666667	41	445	770.343388429752	2793.8	4390.82333333334	7081	371	4.20866489832007	10.6317473376297	21.7694648666537	85.6013074334254	76.3210618592507	99.4178540462559	99.6025260387272	99.8201843110811	13.1972886461039
GSM6213986	P30	tumor	anti-PD-1	5926	13	777	808	936	3860	5386.53374957813	15203	27634.9600000001	71122	2258.5	17	28	36	522.5	813.731690853864	2606.75	4438.03333333334	7651	399.5	2.15610780539027	7.94314560578237	13.2096170137853	65.4429923388914	61.8146874346036	99.5056927454982	99.69225804583	99.9138414683017	29.8693384205014
GSM6213987	P30	normal	anti-PD-1	8097	13	890	949	1183.4	4750	5959.76633320983	15187.2	25444.3466666667	46170	1937	17	24	31	448	725.103618624182	2427.8	3993.54666666667	6201	383	3.36546262940967	12.0928110110239	23.2527643488059	84.2348754448399	75.3938719782573	99.5462577799012	99.6995736629824	99.8578243973334	14.7215395336746
GSM6213988	P30	tumor	untreated	10080	13	678	701	791	2996.5	4848.10912698413	15075.3	27738.1666666666	67026	1888.5	20	44	89.35	670	1129.26488095238	3662	5377.31666666666	8710	405.5	1.7547613952493	7.66054706952595	12.9673388802206	45.7415819208585	49.2878575053507	98.0880649671985	99.2994574421149	99.8316498316498	20.2255724153534
GSM6213989	P31	tumor	anti-PD-1	11830	13	821	852.636666666667	991	4030	5931.12789518174	17452.15	25330.6133333333	53987	2207	41	81	182	1266	1673.49129332206	4376.15	5381.45333333333	7388	861	2.37565990552931	7.57699923988768	11.0650753183016	43.7852509661101	45.4028847459119	84.1179362202428	97.963374993854	99.0314769975787	20.3233376411444
GSM6213990	P31	normal	anti-PD-1	11441	13	848	911	1181.4	5036	5894.3400052443	13960	23223.04	58659	1867	14	21	26	246	433.568481776069	1448.6	2552.50666666666	4990	204	4.37163295946304	21.839526173166	39.8698652987896	93.0441682094684	85.4952193652252	99.6424511342672	99.7715175328045	99.9245709975486	6.30223701928978
GSM6213991	P31	tumor	untreated	4045	13	500	558.573333333333	928.6	10253	14109.4504326329	37936.4	60189.1333333332	101218	6005	54	86	154.6	2408	2768.16860321384	6438.4	7846.56	8863	1653	0.886699507389163	5.10917471723771	8.66296517305051	30.9842041312272	39.1535110982737	97.6144929433551	99.0084069225395	99.5423922715139	17.0237639962628
GSM6213992	P32	tumor	Anti-PD-1+celecoxib	9662	13	621	649.956666666667	769	4426.5	5812.68215690333	17447.3	31983.8233333333	67551	2443.5	39	68	118	628	922.641171600083	2955.2	4742.30333333333	7386	359	1.99116052307833	10.0826849258222	15.9055324676914	66.0497561357014	61.4571982154339	97.7967744173082	98.9558848621349	99.4847131569907	20.8075496620602
GSM6213993	P32	normal	Anti-PD-1+celecoxib	11307	13	615	651	844	5057	6323.11506146635	17249.6	29357.02	88664	2371	45	72.4066666666667	107	510	794.82603696825	2545.3	4060.11999999999	7341	312	2.26537216828479	9.55141500214885	18.4110065564835	76.7230169050715	69.8307832116366	98.0708699976734	98.7810179927642	99.3741575197381	16.9994406618122
GSM6213994	P32	tumor	untreated	13730	13	500	520	597	1770.5	3818.81048798252	14520.05	29163.0599999999	93186	922.5	50	121	256	723	1110.35433357611	3695.3	5566.36333333333	9398	327	0.534079348931841	3.42889193313995	6.10959588185304	19.5546622672162	25.0279661278954	62.4619660947446	97.9266620751326	99.3417215232064	9.29675418516772
GSM6213995	P33	tumor	untreated	6785	13	500	542	725.6	5733	9596.29624170965	31639.6	67728.2133333334	187267	3964	51	223	342.6	1563	2061.93574060427	5512.8	7502.06666666667	9925	880	0.563216158477374	3.31230289652974	7.63382515446334	33.7981598619897	35.4348855021038	68.9538563089686	77.307571618718	92.8327301970245	17.1115672198858
