tar_member_name	extracted_absolute_path	member_size_bytes	geo_accession	sample_stem	file_role	matrix_format	extraction_verified
GSM6213967_Colon_MGI_191_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_barcodes.tsv.gz	44667	GSM6213967	GSM6213967_Colon_MGI_191_v3	barcodes	TSV gzip	TRUE
GSM6213967_Colon_MGI_191_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_features.tsv.gz	304728	GSM6213967	GSM6213967_Colon_MGI_191_v3	features	TSV gzip	TRUE
GSM6213967_Colon_MGI_191_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_matrix.mtx.gz	56578122	GSM6213967	GSM6213967_Colon_MGI_191_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213968_Colon_MGI_192_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213968_Colon_MGI_192_v3_barcodes.tsv.gz	36646	GSM6213968	GSM6213968_Colon_MGI_192_v3	barcodes	TSV gzip	TRUE
GSM6213968_Colon_MGI_192_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213968_Colon_MGI_192_v3_features.tsv.gz	304728	GSM6213968	GSM6213968_Colon_MGI_192_v3	features	TSV gzip	TRUE
GSM6213968_Colon_MGI_192_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213968_Colon_MGI_192_v3_matrix.mtx.gz	21706671	GSM6213968	GSM6213968_Colon_MGI_192_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213969_Colon_MGI_211_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213969_Colon_MGI_211_v3_barcodes.tsv.gz	7736	GSM6213969	GSM6213969_Colon_MGI_211_v3	barcodes	TSV gzip	TRUE
GSM6213969_Colon_MGI_211_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213969_Colon_MGI_211_v3_features.tsv.gz	304728	GSM6213969	GSM6213969_Colon_MGI_211_v3	features	TSV gzip	TRUE
GSM6213969_Colon_MGI_211_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213969_Colon_MGI_211_v3_matrix.mtx.gz	10580515	GSM6213969	GSM6213969_Colon_MGI_211_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213970_Colon_MGI_213_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213970_Colon_MGI_213_v3_barcodes.tsv.gz	39772	GSM6213970	GSM6213970_Colon_MGI_213_v3	barcodes	TSV gzip	TRUE
GSM6213970_Colon_MGI_213_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213970_Colon_MGI_213_v3_features.tsv.gz	304728	GSM6213970	GSM6213970_Colon_MGI_213_v3	features	TSV gzip	TRUE
GSM6213970_Colon_MGI_213_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213970_Colon_MGI_213_v3_matrix.mtx.gz	44436173	GSM6213970	GSM6213970_Colon_MGI_213_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213971_Colon_MGI_233_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213971_Colon_MGI_233_v3_barcodes.tsv.gz	52376	GSM6213971	GSM6213971_Colon_MGI_233_v3	barcodes	TSV gzip	TRUE
GSM6213971_Colon_MGI_233_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213971_Colon_MGI_233_v3_features.tsv.gz	304728	GSM6213971	GSM6213971_Colon_MGI_233_v3	features	TSV gzip	TRUE
GSM6213971_Colon_MGI_233_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213971_Colon_MGI_233_v3_matrix.mtx.gz	48410706	GSM6213971	GSM6213971_Colon_MGI_233_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213972_Colon_MGI_241_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213972_Colon_MGI_241_v3_barcodes.tsv.gz	25637	GSM6213972	GSM6213972_Colon_MGI_241_v3	barcodes	TSV gzip	TRUE
GSM6213972_Colon_MGI_241_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213972_Colon_MGI_241_v3_features.tsv.gz	304728	GSM6213972	GSM6213972_Colon_MGI_241_v3	features	TSV gzip	TRUE
GSM6213972_Colon_MGI_241_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213972_Colon_MGI_241_v3_matrix.mtx.gz	43107307	GSM6213972	GSM6213972_Colon_MGI_241_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213973_Colon_MGI_243_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213973_Colon_MGI_243_v3_barcodes.tsv.gz	37824	GSM6213973	GSM6213973_Colon_MGI_243_v3	barcodes	TSV gzip	TRUE
GSM6213973_Colon_MGI_243_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213973_Colon_MGI_243_v3_features.tsv.gz	304728	GSM6213973	GSM6213973_Colon_MGI_243_v3	features	TSV gzip	TRUE
GSM6213973_Colon_MGI_243_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213973_Colon_MGI_243_v3_matrix.mtx.gz	43439943	GSM6213973	GSM6213973_Colon_MGI_243_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213974_Colon_MGI_251_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213974_Colon_MGI_251_v3_barcodes.tsv.gz	41803	GSM6213974	GSM6213974_Colon_MGI_251_v3	barcodes	TSV gzip	TRUE
GSM6213974_Colon_MGI_251_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213974_Colon_MGI_251_v3_features.tsv.gz	304728	GSM6213974	GSM6213974_Colon_MGI_251_v3	features	TSV gzip	TRUE
GSM6213974_Colon_MGI_251_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213974_Colon_MGI_251_v3_matrix.mtx.gz	47693079	GSM6213974	GSM6213974_Colon_MGI_251_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213975_Colon_MGI_252_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213975_Colon_MGI_252_v3_barcodes.tsv.gz	35277	GSM6213975	GSM6213975_Colon_MGI_252_v3	barcodes	TSV gzip	TRUE
GSM6213975_Colon_MGI_252_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213975_Colon_MGI_252_v3_features.tsv.gz	304728	GSM6213975	GSM6213975_Colon_MGI_252_v3	features	TSV gzip	TRUE
GSM6213975_Colon_MGI_252_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213975_Colon_MGI_252_v3_matrix.mtx.gz	33206129	GSM6213975	GSM6213975_Colon_MGI_252_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213976_Colon_MGI_253_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213976_Colon_MGI_253_v3_barcodes.tsv.gz	49876	GSM6213976	GSM6213976_Colon_MGI_253_v3	barcodes	TSV gzip	TRUE
GSM6213976_Colon_MGI_253_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213976_Colon_MGI_253_v3_features.tsv.gz	304728	GSM6213976	GSM6213976_Colon_MGI_253_v3	features	TSV gzip	TRUE
GSM6213976_Colon_MGI_253_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213976_Colon_MGI_253_v3_matrix.mtx.gz	66015329	GSM6213976	GSM6213976_Colon_MGI_253_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213977_Colon_MGI_261_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213977_Colon_MGI_261_v3_barcodes.tsv.gz	26927	GSM6213977	GSM6213977_Colon_MGI_261_v3	barcodes	TSV gzip	TRUE
GSM6213977_Colon_MGI_261_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213977_Colon_MGI_261_v3_features.tsv.gz	304728	GSM6213977	GSM6213977_Colon_MGI_261_v3	features	TSV gzip	TRUE
GSM6213977_Colon_MGI_261_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213977_Colon_MGI_261_v3_matrix.mtx.gz	41772801	GSM6213977	GSM6213977_Colon_MGI_261_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213978_Colon_MGI_271_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213978_Colon_MGI_271_v3_barcodes.tsv.gz	35094	GSM6213978	GSM6213978_Colon_MGI_271_v3	barcodes	TSV gzip	TRUE
GSM6213978_Colon_MGI_271_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213978_Colon_MGI_271_v3_features.tsv.gz	304728	GSM6213978	GSM6213978_Colon_MGI_271_v3	features	TSV gzip	TRUE
GSM6213978_Colon_MGI_271_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213978_Colon_MGI_271_v3_matrix.mtx.gz	36436971	GSM6213978	GSM6213978_Colon_MGI_271_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213979_Colon_MGI_272_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213979_Colon_MGI_272_v3_barcodes.tsv.gz	38994	GSM6213979	GSM6213979_Colon_MGI_272_v3	barcodes	TSV gzip	TRUE
GSM6213979_Colon_MGI_272_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213979_Colon_MGI_272_v3_features.tsv.gz	304728	GSM6213979	GSM6213979_Colon_MGI_272_v3	features	TSV gzip	TRUE
GSM6213979_Colon_MGI_272_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213979_Colon_MGI_272_v3_matrix.mtx.gz	34680695	GSM6213979	GSM6213979_Colon_MGI_272_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213980_Colon_MGI_273_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213980_Colon_MGI_273_v3_barcodes.tsv.gz	36625	GSM6213980	GSM6213980_Colon_MGI_273_v3	barcodes	TSV gzip	TRUE
GSM6213980_Colon_MGI_273_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213980_Colon_MGI_273_v3_features.tsv.gz	304728	GSM6213980	GSM6213980_Colon_MGI_273_v3	features	TSV gzip	TRUE
GSM6213980_Colon_MGI_273_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213980_Colon_MGI_273_v3_matrix.mtx.gz	75018377	GSM6213980	GSM6213980_Colon_MGI_273_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213981_Colon_MGI_281_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213981_Colon_MGI_281_v3_barcodes.tsv.gz	22084	GSM6213981	GSM6213981_Colon_MGI_281_v3	barcodes	TSV gzip	TRUE
GSM6213981_Colon_MGI_281_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213981_Colon_MGI_281_v3_features.tsv.gz	304728	GSM6213981	GSM6213981_Colon_MGI_281_v3	features	TSV gzip	TRUE
GSM6213981_Colon_MGI_281_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213981_Colon_MGI_281_v3_matrix.mtx.gz	13516679	GSM6213981	GSM6213981_Colon_MGI_281_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213982_Colon_MGI_282_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213982_Colon_MGI_282_v3_barcodes.tsv.gz	55253	GSM6213982	GSM6213982_Colon_MGI_282_v3	barcodes	TSV gzip	TRUE
GSM6213982_Colon_MGI_282_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213982_Colon_MGI_282_v3_features.tsv.gz	304728	GSM6213982	GSM6213982_Colon_MGI_282_v3	features	TSV gzip	TRUE
GSM6213982_Colon_MGI_282_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213982_Colon_MGI_282_v3_matrix.mtx.gz	32943205	GSM6213982	GSM6213982_Colon_MGI_282_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213983_Colon_MGI_283_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213983_Colon_MGI_283_v3_barcodes.tsv.gz	32532	GSM6213983	GSM6213983_Colon_MGI_283_v3	barcodes	TSV gzip	TRUE
GSM6213983_Colon_MGI_283_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213983_Colon_MGI_283_v3_features.tsv.gz	304728	GSM6213983	GSM6213983_Colon_MGI_283_v3	features	TSV gzip	TRUE
GSM6213983_Colon_MGI_283_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213983_Colon_MGI_283_v3_matrix.mtx.gz	47465224	GSM6213983	GSM6213983_Colon_MGI_283_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213984_Colon_MGI_291_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213984_Colon_MGI_291_v3_barcodes.tsv.gz	38137	GSM6213984	GSM6213984_Colon_MGI_291_v3	barcodes	TSV gzip	TRUE
